epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20
0,0,0,93.98907537082435,87.1146088674282,0.14,0.001,202,399,597,796,992,1190,1388,1588,1785,1983,2179,2377,2577,2772,2970,3168,3366,3564,3763,3960
1,0,0,85.86210328922766,78.6516219586014,0.16,0.001,202,399,597,797,992,1189,1387,1588,1786,1984,2178,2376,2578,2772,2970,3167,3365,3564,3763,3961
2,0,0,82.13465506410799,74.92656887016948,0.18,0.001,203,400,596,797,991,1189,1387,1589,1787,1985,2178,2375,2577,2771,2969,3167,3365,3563,3763,3961
3,0,0,81.55095105017169,74.6338327059183,0.19,0.001,203,400,596,798,991,1190,1387,1590,1788,1985,2177,2374,2577,2770,2968,3166,3364,3563,3764,3960
4,0,0,82.44602282516422,75.85098273609414,0.21,0.001,203,400,596,799,991,1190,1387,1591,1789,1986,2177,2373,2576,2769,2968,3166,3363,3562,3764,3960
5,0,0,83.10299579531565,76.69645806481222,0.23,0.001,203,400,596,799,990,1190,1388,1591,1790,1986,2177,2373,2576,2768,2967,3165,3363,3562,3764,3960
6,0,0,83.01994653959673,76.6858636235356,0.24,0.001,203,401,595,800,990,1191,1388,1591,1790,1987,2176,2373,2575,2767,2967,3164,3362,3562,3764,3960
7,0,0,82.00468022085691,75.5770121506864,0.26,0.001,204,401,596,800,991,1191,1389,1591,1790,1987,2176,2372,2574,2766,2967,3164,3361,3562,3764,3960
8,0,0,80.6066930523995,73.99454622533845,0.28,0.001,204,401,596,801,991,1192,1390,1591,1790,1988,2176,2372,2573,2765,2967,3163,3361,3562,3764,3960
9,0,0,79.31495021825961,72.50673123385684,0.29,0.001,204,401,596,802,991,1193,1390,1590,1790,1989,2176,2373,2572,2764,2967,3162,3360,3562,3764,3959
10,0,0,78.32101971314118,71.33826084884254,0.31,0.001,204,402,596,802,991,1194,1391,1590,1789,1989,2176,2373,2571,2763,2967,3162,3359,3562,3763,3959
11,0,0,77.5782650426732,70.44824050211439,0.32,0.001,204,402,596,803,992,1194,1392,1589,1789,1990,2175,2373,2570,2762,2967,3161,3359,3562,3763,3959
12,0,0,77.04199025024438,69.80151827234849,0.34,0.001,205,402,596,803,992,1195,1393,1589,1789,1990,2175,2372,2569,2762,2968,3160,3358,3562,3763,3959
13,0.004930017492362326,0.008394180424130204,76.64080816746716,69.32522848637068,0.35,0.001,205,402,596,804,993,1196,1393,1588,1789,1991,2175,2372,2568,2761,2968,3160,3357,3562,3763,3959
14,0.01390308433623555,0.019481143966846304,76.29446705446601,68.93658275115071,0.37,0.001,205,403,596,804,993,1197,1394,1588,1788,1991,2175,2372,2567,2760,2968,3159,3357,3562,3763,3958
15,0.02320665336329575,0.030261057255715595,75.93370618095102,68.55659229903605,0.39,0.001,205,403,596,805,994,1198,1395,1588,1788,1991,2175,2372,2567,2759,2968,3158,3356,3562,3763,3958
16,0.03394815716443789,0.04209971129584411,75.51504467757567,68.13683240133416,0.4,0.001,205,404,596,806,994,1199,1395,1588,1788,1992,2175,2371,2566,2758,2968,3158,3355,3562,3762,3958
17,0.045984229992652836,0.0549483765103701,75.04314514206145,67.67831626294718,0.42,0.001,206,404,596,806,995,1200,1396,1587,1788,1992,2174,2371,2565,2757,2968,3157,3355,3562,3762,3958
18,0.058182641578092054,0.06756118489530061,74.5618385867563,67.22517112520056,0.44,0.001,206,404,596,807,996,1200,1397,1587,1788,1992,2174,2370,2564,2756,2968,3157,3354,3562,3762,3958
19,0.06924117413987363,0.07859695443512194,74.12280311352404,66.82617230312911,0.45,0.001,206,405,595,807,996,1201,1398,1587,1788,1992,2174,2370,2564,2755,2968,3156,3353,3561,3762,3957
20,0.07852938171584045,0.08741556723273447,73.75203254614411,66.50561316183206,0.47,0.001,206,405,595,808,997,1202,1398,1587,1789,1992,2174,2369,2563,2754,2969,3156,3353,3561,3762,3957
