epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,lr,band_1,band_2,band_3,band_4,band_5
0,0,0,78.13531181946483,71.17055260846125,0.14,0.001,696,1390,2080,2772,3465
1,0.02279292616951545,0.03095416506705606,75.76367386382309,68.74428598413652,0.15,0.001,695,1391,2080,2772,3464
2,0.06026116558332728,0.06794905217909097,74.29700479746812,67.41929854578918,0.16,0.001,695,1391,2080,2771,3464
3,0.06828979681756309,0.07293747499268655,73.97895142475494,67.2386433254717,0.17,0.001,694,1392,2080,2770,3463
4,0.09711212578109141,0.10787072590892322,72.825699581475,65.95964527411817,0.18,0.001,694,1392,2081,2769,3463
5,0.12746943041126502,0.14753898687427636,71.59094003651929,64.4765317346649,0.2,0.001,693,1393,2082,2768,3462
6,0.13639134459064606,0.16127636676908153,71.2239775670297,63.95490392712763,0.21,0.001,693,1393,2083,2767,3462
7,0.14182886815205398,0.16804714276130184,70.9994016810177,63.69623767036303,0.22,0.001,692,1394,2084,2766,3461
8,0.15801894264380967,0.1846993323966578,70.32648124884217,63.055548504993794,0.23,0.001,692,1394,2085,2765,3461
9,0.17071276895194043,0.19557897561559145,69.79434424279127,62.63342204159553,0.25,0.001,691,1395,2086,2764,3460
10,0.17273212254453274,0.1940782749783052,69.70931553153423,62.69181503095121,0.26,0.001,691,1396,2087,2763,3460
11,0.17670861428436835,0.19711155021122972,69.541575778226,62.57372604700994,0.27,0.001,690,1396,2088,2762,3459
12,0.18681448119117872,0.20984590621177412,69.11344981486961,62.07551356827928,0.28,0.001,689,1397,2089,2761,3459
13,0.19222531022203382,0.21794064438934957,68.88312749800382,61.75672684450557,0.29,0.001,689,1397,2090,2760,3459
14,0.1917865569271766,0.21817125834768558,68.90183517603141,61.74762180706335,0.3,0.001,688,1398,2091,2759,3458
15,0.19525906913719582,0.2211085521897871,68.75365402221361,61.63152261690543,0.32,0.001,688,1399,2092,2758,3458
16,0.20178246788387522,0.22600731335048618,68.47442283094652,61.43740264170821,0.33,0.001,687,1399,2093,2757,3458
17,0.20403056248758777,0.22539320419435194,68.37792783950827,61.46177117856473,0.34,0.001,686,1400,2094,2756,3457
18,0.2045558908443469,0.2239084763577156,68.35535881059363,61.520645273939344,0.35,0.001,686,1400,2095,2755,3457
19,0.20922492656935798,0.2293548554709275,68.15444819374412,61.30440026774179,0.36,0.001,685,1401,2096,2754,3457
20,0.21458659392005963,0.23697125015763576,67.92300543975325,61.00070640280016,0.37,0.001,684,1402,2097,2753,3456
21,0.2168028904047813,0.24086238614063016,67.82710456212361,60.844967806893244,0.39,0.001,684,1402,2098,2752,3456
22,0.21959383253970755,0.24426942070573088,67.70614499668771,60.70827881918166,0.4,0.001,683,1403,2099,2751,3456
23,0.22491106690152007,0.24929574175566438,67.47509306102326,60.506058823037506,0.41,0.001,683,1403,2100,2750,3456
24,0.2289740117659842,0.2521782790902036,67.29801593820393,60.38978007170895,0.42,0.001,682,1404,2101,2749,3456
25,0.2312783602480578,0.25348434303691647,67.19737572768373,60.337023430762436,0.43,0.001,681,1405,2102,2748,3456
26,0.23532276837073995,0.25823075045046684,67.02036989206155,60.144903556561836,0.44,0.001,681,1405,2103,2747,3455
27,0.2404732537518256,0.26543859776159073,66.79428174790677,59.851971938457254,0.45,0.001,680,1406,2103,2746,3455
28,0.2439730517282812,0.2708436829287285,66.64021285042539,59.63136471860362,0.47,0.001,679,1406,2104,2745,3455
29,0.24718647051474396,0.2750312468250412,66.49843601309357,59.45988381424173,0.48,0.001,679,1407,2105,2744,3455
30,0.25170615891815806,0.2795175489284968,66.29851554946386,59.275622014740385,0.49,0.001,678,1407,2106,2743,3455
31,0.2556391840015253,0.2825884467541879,66.12405481366066,59.149165499581436,0.5,0.001,678,1407,2107,2741,3455
32,0.2584227964670248,0.2845262891191226,66.00030332553405,59.06922084776893,0.51,0.001,677,1408,2108,2740,3455
33,0.261991394279138,0.28843605980136877,65.8413064627271,58.90760940075993,0.53,0.001,676,1408,2108,2739,3456
34,0.2659571586119248,0.29369233404483874,65.66416242184545,58.68962988680368,0.54,0.001,675,1409,2109,2738,3456
35,0.26891994465111024,0.29778824599501297,65.53151078870378,58.51921092149996,0.55,0.001,675,1409,2110,2737,3456
36,0.2719243444254158,0.3011200852162206,65.3967197727168,58.38021507085042,0.56,0.001,674,1410,2110,2736,3456
37,0.27560070360501276,0.3042513954246475,65.23140524677319,58.249283290923415,0.57,0.001,673,1410,2111,2735,3456
38,0.27871124150211424,0.30636849858981297,65.09120329271651,58.1605926810897,0.58,0.001,673,1410,2112,2734,3456
39,0.28159499277489297,0.3087936399056106,64.96095582155485,58.05883120473039,0.59,0.001,672,1411,2112,2733,3457
40,0.2852110210473957,0.3130274941050848,64.79726119670298,57.88074308370509,0.61,0.001,671,1411,2113,2732,3457
41,0.2886382270180867,0.31746244752060604,64.64173350814086,57.69360663101025,0.62,0.001,671,1412,2114,2731,3457
42,0.29180509997945736,0.32110577962004927,64.49768724656916,57.5394205055054,0.63,0.001,670,1412,2114,2730,3457
43,0.2955049723514007,0.32452771040107875,64.32898461594704,57.39422378452491,0.64,0.001,669,1413,2115,2729,3458
44,0.2988490049273901,0.3270104645067251,64.17612636574835,57.288648594747805,0.65,0.001,668,1413,2115,2728,3458
45,0.3020883720973234,0.3298662742319318,64.02770777781484,57.16696822343629,0.67,0.001,668,1413,2116,2727,3458
46,0.3058016490676393,0.3341328877991021,63.85714991841654,56.98468989836218,0.68,0.001,667,1414,2117,2726,3459
47,0.30920742655565914,0.3381741365160261,63.700313817663016,56.8115051652447,0.69,0.001,666,1414,2117,2725,3459
48,0.31253133353773166,0.34149415030794195,63.54687115810168,56.66882918476325,0.7,0.001,665,1415,2118,2724,3460
49,0.31601024928739374,0.3444950788335782,63.38587993702245,56.539558538137705,0.71,0.001,665,1415,2118,2723,3460
50,0.31941210029862865,0.347228696688066,63.228056346648835,56.42153965214659,0.72,0.001,664,1415,2119,2723,3460
51,0.32270512292773446,0.34998757602965735,63.07490857541432,56.30218499451198,0.73,0.001,663,1416,2119,2722,3461
52,0.3260509835982316,0.3531720341697966,62.91892220536184,56.16410325234994,0.75,0.001,662,1416,2120,2721,3461
53,0.32936490951453,0.3564431789234275,62.76403991961679,56.0219051570176,0.76,0.001,662,1416,2120,2720,3461
54,0.3326827814727764,0.3595628540298951,62.60858926072963,55.88595521447562,0.77,0.001,661,1417,2121,2720,3462
