epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20
0,0.0584045584045584,0.05929487179487179,-0.01973321656769511,-0.018825100133511352,0.01,0.001,6,12,19,25,31,37,43,50,56,62,68,74,80,87,93,99,105,111,117,124
1,0.09882478632478632,0.09935897435897435,-0.0021475464701159463,-0.003112128146453008,0.01,0.001,6,12,19,25,31,37,43,50,56,62,68,74,80,87,93,99,105,111,117,124
2,0.1111111111111111,0.11538461538461539,-0.004432497096611865,-0.0008251879917713367,0.02,0.001,6,13,19,25,31,37,43,50,56,62,68,74,80,87,93,99,105,111,117,123
3,0.260505698005698,0.25801282051282054,0.0887419826713175,0.0865078160570647,0.03,0.001,6,13,19,25,31,37,43,50,56,62,68,74,80,87,93,99,105,111,117,123
4,0.3315527065527066,0.32051282051282054,0.13394782440092057,0.1153020484320767,0.03,0.001,6,13,19,25,31,37,43,50,56,62,68,74,80,87,93,99,105,111,117,123
5,0.36894586894586895,0.358974358974359,0.1396572782180283,0.12184412733260153,0.04,0.001,6,13,19,25,31,37,43,50,56,62,68,74,80,87,93,99,105,111,117,123
6,0.400997150997151,0.3958333333333333,0.10202969208282575,0.08183719986261584,0.04,0.001,6,13,19,25,31,37,43,50,56,62,68,74,80,87,93,99,105,111,117,123
7,0.37428774928774927,0.38461538461538464,0.0,0.0,0.05,0.001,6,13,19,25,31,37,43,50,56,62,68,74,80,87,93,99,105,111,117,123
8,0.37428774928774927,0.38461538461538464,0.0,0.0,0.05,0.001,6,13,19,25,31,37,43,50,56,62,68,74,80,87,93,99,105,111,117,123
9,0.37428774928774927,0.38461538461538464,0.0,0.0,0.06,0.001,6,13,19,25,31,37,43,50,56,62,68,74,80,87,93,99,105,111,117,123
10,0.37428774928774927,0.38461538461538464,0.0,0.0,0.06,0.001,6,13,19,25,31,37,43,50,56,61,68,74,80,87,93,99,105,111,117,123
11,0.37428774928774927,0.38461538461538464,0.0,0.0,0.07,0.001,6,13,19,25,31,37,43,50,56,61,68,74,80,87,93,99,105,111,117,123
12,0.37446581196581197,0.38782051282051283,0.0003934786910970711,0.005772631719443422,0.07,0.001,6,13,19,25,31,37,43,50,56,61,68,74,80,87,93,99,105,111,117,123
13,0.37428774928774927,0.38621794871794873,0.0006097232423663002,0.0034525894420815995,0.08,0.001,6,13,19,25,31,37,43,50,56,61,68,74,80,87,93,99,105,111,117,123
14,0.37393162393162394,0.3894230769230769,0.0010632940747232755,0.009779584492611071,0.08,0.001,6,13,19,25,31,37,43,50,56,61,68,74,80,87,93,99,105,111,117,123
15,0.37962962962962965,0.38782051282051283,0.012196252330656354,0.009145023444514622,0.09,0.001,6,13,19,25,31,37,43,49,56,61,68,74,80,87,93,99,105,111,117,123
16,0.38461538461538464,0.3958333333333333,0.023970063896635696,0.029248646507328724,0.09,0.001,6,13,19,25,31,37,43,49,56,61,68,74,80,87,93,99,105,111,117,123
17,0.3798076923076923,0.3894230769230769,0.02276877304936975,0.02822013668617762,0.1,0.001,6,13,19,25,31,37,43,49,56,61,69,74,80,87,93,99,105,111,117,123
18,0.37749287749287747,0.3766025641025641,0.02579747660002918,0.016833271227905455,0.11,0.001,6,13,19,25,31,37,43,49,56,61,69,74,80,87,93,99,105,111,117,123
19,0.37749287749287747,0.375,0.030287225300411058,0.01997422680412375,0.11,0.001,6,13,19,25,31,38,43,49,56,61,69,74,80,87,93,99,105,111,117,123
20,0.3787393162393162,0.375,0.032413815989077666,0.01943719176095171,0.12,0.001,6,13,19,25,31,38,43,49,56,61,69,74,80,87,93,99,105,111,117,123
21,0.3782051282051282,0.375,0.030160891518768218,0.01863053472054188,0.12,0.001,6,13,19,25,31,38,43,49,56,61,69,73,81,87,93,99,105,111,117,123
22,0.37695868945868943,0.3782051282051282,0.025938285647211012,0.021247695740758687,0.13,0.001,6,13,19,25,31,38,43,49,56,61,68,73,81,87,93,99,105,112,117,123
23,0.37624643874643876,0.38301282051282054,0.021864211051045968,0.023716250264146033,0.13,0.001,6,13,19,25,31,38,43,49,56,61,68,73,81,87,93,99,105,112,117,123
24,0.3806980056980057,0.391025641025641,0.02521866949891738,0.031040062766635512,0.14,0.001,6,13,19,25,31,38,43,49,56,61,68,73,81,87,92,99,105,112,117,123
25,0.3839031339031339,0.3958333333333333,0.02597863498580233,0.03196497349968719,0.14,0.001,6,13,19,25,31,38,43,49,56,61,68,73,81,87,92,99,105,112,117,123
26,0.3863960113960114,0.40064102564102566,0.026036037913094834,0.035620423478073926,0.15,0.001,6,13,19,25,31,38,42,49,56,61,68,73,81,87,92,99,105,112,117,123
27,0.38301282051282054,0.3958333333333333,0.018456870934057568,0.02487067250298458,0.15,0.001,6,13,19,25,32,38,42,49,56,61,68,73,81,87,92,98,105,112,117,123
28,0.3790954415954416,0.3894230769230769,0.010378922492570553,0.010620235043446447,0.16,0.001,6,13,19,25,32,38,42,49,56,61,68,73,81,87,92,98,105,112,117,123
29,0.3766025641025641,0.3894230769230769,0.00508689745404145,0.00921835669872817,0.17,0.001,6,13,19,25,32,38,42,49,56,61,68,73,81,87,92,98,105,112,117,123
30,0.3751780626780627,0.38782051282051283,0.0020534667024928455,0.006336290268792122,0.17,0.001,7,13,19,25,32,38,42,49,57,61,68,73,81,87,92,98,105,112,117,123
31,0.37393162393162394,0.38782051282051283,-0.0002204492626296517,0.006336290268792122,0.18,0.001,7,13,19,25,32,38,42,49,57,61,68,73,81,88,92,98,105,112,117,123
32,0.3735754985754986,0.38621794871794873,-0.0010074375276256653,0.0034525894420815995,0.18,0.001,7,13,19,25,32,38,42,49,57,61,68,73,81,88,92,98,105,112,117,123
33,0.37393162393162394,0.38621794871794873,-0.0004819534965543326,0.0034525894420815995,0.19,0.001,7,13,19,25,32,38,42,49,57,61,68,73,81,88,92,98,105,112,117,123
34,0.37428774928774927,0.38461538461538464,0.0,0.0005672528279222488,0.19,0.001,7,13,19,25,32,38,42,49,57,61,68,73,81,88,92,98,105,112,117,123
35,0.37232905982905984,0.38461538461538464,0.002287596028382466,0.00418910831837227,0.2,0.001,7,13,19,25,32,38,42,49,57,61,68,73,81,88,92,98,105,112,117,123
36,0.38354700854700857,0.40384615384615385,0.041510094747702286,0.05596043727225397,0.2,0.001,7,13,19,25,32,38,42,49,57,61,68,73,81,88,92,98,105,112,117,123
37,0.4043803418803419,0.41185897435897434,0.09457101783980693,0.09422857866092904,0.21,0.001,7,13,19,25,32,38,42,49,57,61,68,73,81,88,92,98,105,112,117,123
38,0.41933760683760685,0.4407051282051282,0.12996018785184582,0.15217391304347827,0.22,0.001,7,13,19,25,32,38,42,49,57,61,68,73,81,88,92,98,105,112,117,123
39,0.43144586894586895,0.4407051282051282,0.15605263982754225,0.15950351982215638,0.22,0.001,7,13,19,25,32,38,42,49,57,61,68,73,81,88,92,98,105,112,117,123
40,0.43643162393162394,0.4358974358974359,0.1685893573353232,0.15773973863427204,0.23,0.001,7,13,19,25,32,38,42,49,57,61,68,73,81,88,92,98,105,112,117,123
41,0.43999287749287747,0.4439102564102564,0.17762529474838384,0.17396081303790523,0.24,0.001,7,13,19,25,32,38,42,49,57,61,68,73,81,88,92,98,105,112,117,123
42,0.44836182336182334,0.44551282051282054,0.19315448868000862,0.17992038652040476,0.24,0.001,7,13,19,25,32,38,42,49,57,61,68,73,81,88,92,98,105,112,117,123
43,0.4618945868945869,0.4567307692307692,0.21521538333130252,0.19864228024184383,0.25,0.001,7,13,19,25,32,38,42,49,57,61,68,73,81,88,92,98,105,112,117,123
44,0.4775641025641026,0.47115384615384615,0.24040057073183485,0.223962494535478,0.26,0.001,7,13,19,25,32,38,42,49,57,61,68,73,81,88,92,98,105,112,117,123
45,0.4934116809116809,0.4855769230769231,0.2655732520527381,0.24686419010377503,0.26,0.001,7,13,19,25,32,38,42,49,57,61,68,73,81,88,92,98,105,112,117,123
46,0.5026709401709402,0.49198717948717946,0.2800456717288492,0.2571316979374785,0.27,0.001,7,13,19,25,32,38,42,49,57,61,68,73,81,88,92,98,105,112,117,123
47,0.5108618233618234,0.5080128205128205,0.292955389852408,0.28239859752168894,0.27,0.001,7,13,19,25,32,38,42,49,57,61,68,73,81,88,92,98,105,112,117,123
48,0.5194088319088319,0.5192307692307693,0.30612087945892974,0.3001869158878504,0.28,0.001,7,13,19,25,32,38,42,49,57,61,68,73,81,88,92,98,105,112,117,123
49,0.5249287749287749,0.5240384615384616,0.31452165321396885,0.3083021065046355,0.28,0.001,7,13,19,25,32,38,42,49,57,62,67,73,81,88,92,98,105,112,117,123
50,0.5254629629629629,0.5288461538461539,0.31543583640320505,0.31598335595293137,0.29,0.001,7,13,19,25,32,38,42,49,57,62,67,73,81,88,92,98,105,112,117,123
51,0.5252849002849003,0.5288461538461539,0.3151971626265957,0.31598335595293137,0.3,0.001,7,13,19,25,32,38,42,49,57,62,67,73,81,88,92,98,105,112,117,123
52,0.5242165242165242,0.5240384615384616,0.31357167284298615,0.30847761194029855,0.3,0.001,7,13,19,25,32,38,42,49,57,62,67,73,81,88,92,98,105,112,117,123
53,0.5183404558404558,0.5208333333333334,0.30495141726949093,0.30311360784079366,0.31,0.001,7,13,19,25,32,38,42,49,57,62,67,73,82,88,92,98,105,112,117,123
54,0.5153133903133903,0.5096153846153846,0.30078510751946985,0.28630804652692643,0.31,0.001,7,13,19,25,32,38,42,49,57,62,67,73,82,88,92,98,106,112,117,123
55,0.5119301994301995,0.5016025641025641,0.29609861881565525,0.27426665270526995,0.32,0.001,7,13,19,25,32,38,42,49,58,62,67,73,82,88,91,98,106,112,117,123
56,0.511039886039886,0.5,0.29523477175512847,0.27223792221773646,0.32,0.001,7,13,19,25,32,38,42,49,58,62,67,73,82,88,91,98,106,112,117,123
57,0.5128205128205128,0.5,0.2986899355636654,0.2726620640186497,0.33,0.001,7,13,19,25,32,38,42,49,58,62,67,73,82,88,91,98,106,112,117,123
58,0.5142450142450142,0.5064102564102564,0.3013749378232756,0.28301548930074316,0.33,0.001,7,13,19,25,32,38,42,49,58,62,67,73,82,88,91,98,106,111,117,123
59,0.5176282051282052,0.5064102564102564,0.3070405437295337,0.28349662237730944,0.34,0.001,7,13,19,25,32,38,42,48,58,62,67,73,82,88,91,97,106,111,117,123
60,0.5217236467236467,0.5128205128205128,0.31387147971720253,0.29351825643928675,0.35,0.001,7,13,19,25,32,38,42,48,58,62,67,73,82,88,91,97,106,111,117,123
61,0.5261752136752137,0.5240384615384616,0.32107697258230905,0.31141693665844306,0.35,0.001,7,13,19,25,32,38,42,48,58,62,67,73,82,88,91,97,106,111,117,123
62,0.5311609686609686,0.532051282051282,0.32882787503474,0.3244850444144558,0.36,0.001,7,13,19,25,32,38,42,48,58,62,67,73,82,88,91,97,106,111,117,123
63,0.5373931623931624,0.5368589743589743,0.3384939478483414,0.33249433677321916,0.36,0.001,7,13,19,25,32,38,42,48,58,62,67,73,82,88,91,97,106,111,117,123
64,0.5405982905982906,0.5400641025641025,0.3434379731027293,0.3379469434832757,0.37,0.001,7,13,19,25,32,38,42,48,58,62,67,73,82,88,91,97,106,111,117,123
65,0.5443376068376068,0.5416666666666666,0.34902104775523635,0.3407509198102753,0.37,0.001,7,13,19,25,33,38,42,48,58,62,67,73,82,88,91,97,106,111,117,123
66,0.5457621082621082,0.5432692307692307,0.35111799358791296,0.3432209649304222,0.38,0.001,7,13,19,25,33,38,42,48,58,62,67,73,82,88,91,97,106,111,117,123
67,0.5468304843304843,0.5416666666666666,0.3527198143035284,0.3406437501847309,0.38,0.001,7,13,19,25,33,38,42,48,58,62,67,73,82,88,91,97,106,111,117,123
68,0.5464743589743589,0.5416666666666666,0.352113968535842,0.3406437501847309,0.39,0.001,7,13,19,24,33,38,42,48,58,62,67,73,82,88,91,97,106,111,117,123
69,0.5452279202279202,0.5400641025641025,0.3501606151572756,0.3377314951778001,0.4,0.001,7,13,19,24,33,38,42,48,58,62,66,73,82,88,91,97,106,111,117,123
70,0.5441595441595442,0.5400641025641025,0.348451813057856,0.3377314951778001,0.4,0.001,7,13,19,24,33,38,42,48,58,63,66,74,82,88,91,97,106,111,117,123
71,0.5439814814814815,0.5416666666666666,0.3480486279493533,0.34031227821149757,0.41,0.001,7,13,19,24,33,38,42,48,58,63,66,74,82,88,91,97,106,111,117,123
