epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20
0,0,0,94.11340503781861,94.56383735835544,0.14,0.001,202,399,597,796,992,1190,1388,1588,1785,1983,2179,2377,2577,2772,2970,3168,3366,3564,3763,3960
1,0,0,85.98211625917479,86.54595679012827,0.16,0.001,202,399,597,797,992,1189,1387,1588,1786,1984,2178,2376,2578,2772,2970,3167,3365,3564,3763,3961
2,0,0,82.242852083023,82.88192549777514,0.18,0.001,203,400,596,797,991,1189,1387,1589,1787,1985,2178,2375,2577,2771,2969,3167,3365,3563,3763,3961
3,0,0,81.64711846186,82.32581042722872,0.19,0.001,203,400,596,798,991,1190,1387,1590,1788,1985,2177,2374,2577,2770,2968,3166,3364,3563,3764,3960
4,0,0,82.54089303755745,83.201811902784,0.21,0.001,203,400,596,799,991,1190,1387,1591,1789,1986,2177,2373,2576,2769,2968,3166,3363,3562,3764,3960
5,0,0,83.21216940279078,83.84169420699942,0.23,0.001,203,400,596,799,990,1190,1388,1591,1790,1986,2177,2373,2575,2768,2967,3165,3363,3562,3764,3960
6,0,0,83.14224445190303,83.75978254433926,0.24,0.001,203,401,595,800,990,1191,1388,1591,1790,1987,2176,2373,2575,2767,2967,3164,3362,3562,3764,3960
7,0,0,82.12585615992079,82.74183895746154,0.26,0.001,204,401,595,800,991,1191,1389,1591,1790,1987,2176,2372,2574,2766,2967,3164,3361,3562,3764,3960
8,0,0,80.72807122912698,81.33729985471764,0.28,0.001,204,401,596,801,991,1192,1390,1591,1790,1988,2176,2372,2573,2765,2967,3163,3361,3562,3764,3960
9,0,0,79.44507856256736,80.04493062005082,0.29,0.001,204,401,596,802,991,1193,1390,1590,1790,1989,2176,2373,2572,2764,2967,3162,3360,3562,3764,3959
10,0,0,78.4343811630939,79.02599824385327,0.31,0.001,204,402,596,802,991,1194,1391,1590,1789,1989,2176,2373,2571,2763,2967,3162,3359,3562,3763,3959
11,0,0,77.70448388868077,78.28261600604569,0.32,0.001,204,402,596,803,992,1194,1392,1589,1789,1990,2175,2373,2570,2762,2967,3161,3359,3562,3763,3959
12,0,0,77.16146764962257,77.7260312733128,0.34,0.001,205,402,596,803,992,1195,1392,1589,1789,1990,2175,2372,2569,2762,2968,3160,3358,3562,3763,3959
13,0.005404813369163319,0.004940148508587372,76.75381072583627,77.30611458068825,0.36,0.001,205,402,596,804,993,1196,1393,1588,1789,1991,2175,2372,2568,2761,2968,3160,3357,3562,3763,3959
14,0.014472060717248603,0.014151052456633506,76.40314410865236,76.94748551670645,0.37,0.001,205,403,596,804,993,1197,1394,1588,1788,1991,2175,2372,2567,2760,2968,3159,3357,3562,3763,3958
15,0.0237784498189596,0.02353319683950783,76.04155358153692,76.58046345388946,0.39,0.001,205,403,596,805,994,1198,1395,1588,1788,1991,2175,2372,2566,2759,2968,3158,3356,3562,3763,3958
16,0.03437763702761554,0.03423690409987812,75.62762133886666,76.15957753296692,0.4,0.001,205,403,596,806,995,1199,1395,1587,1788,1992,2175,2371,2566,2758,2968,3158,3355,3562,3762,3958
17,0.046185742279219344,0.046105183652819126,75.16379574905893,75.69017078277074,0.42,0.001,206,404,596,806,995,1200,1396,1587,1788,1992,2174,2371,2565,2757,2968,3157,3355,3562,3762,3958
18,0.05815899461735563,0.05813800889844467,74.69053667989841,75.21126494747978,0.43,0.001,206,404,595,807,996,1200,1397,1587,1788,1992,2174,2370,2564,2756,2968,3157,3354,3562,3762,3958
19,0.06909656752711324,0.06915130523936563,74.25557967776732,74.77024051845427,0.45,0.001,206,405,595,807,996,1201,1397,1587,1788,1992,2174,2370,2563,2755,2968,3156,3353,3561,3762,3957
20,0.07838850710719814,0.07855299509279878,73.88405123802937,74.39168996034604,0.47,0.001,206,405,595,808,997,1202,1398,1587,1788,1992,2174,2369,2563,2754,2969,3156,3353,3561,3762,3957
21,0.08658259124545475,0.08687470405625874,73.55486632014907,74.05500687305856,0.48,0.001,206,405,595,808,998,1203,1399,1587,1788,1992,2174,2369,2562,2753,2969,3155,3352,3561,3762,3957
22,0.09506073069801724,0.09550033018056758,73.21271448662452,73.70440526500943,0.5,0.001,207,406,595,809,998,1204,1400,1587,1788,1992,2174,2368,2561,2752,2969,3154,3351,3561,3762,3957
23,0.10482369493679988,0.10547112205005627,72.81671460441792,73.29703987670648,0.51,0.001,207,406,594,809,999,1205,1400,1587,1789,1992,2173,2368,2561,2752,2969,3154,3351,3560,3761,3957
24,0.11583891353538933,0.11678026734002478,72.3673186500215,72.83223310930059,0.53,0.001,207,407,594,810,999,1206,1401,1586,1789,1992,2173,2367,2560,2751,2970,3153,3350,3560,3761,3956
25,0.12721191384502772,0.1285005611508846,71.90037935074648,72.34737436925407,0.54,0.001,207,407,594,810,1000,1207,1402,1586,1789,1991,2173,2367,2560,2750,2970,3153,3350,3560,3761,3956
26,0.13769990376169516,0.13934555733926657,71.46707611725836,71.8958189957003,0.56,0.001,207,407,594,811,1001,1208,1402,1586,1789,1991,2173,2366,2559,2749,2970,3152,3349,3560,3761,3956
27,0.14681517906249275,0.1488028805458982,71.08833427174426,71.49971317687225,0.58,0.001,208,408,594,811,1001,1209,1403,1586,1789,1991,2173,2366,2559,2748,2971,3152,3348,3559,3761,3956
28,0.15503000723840765,0.15736077324105258,70.74527231333201,71.13937752859698,0.59,0.001,208,408,594,812,1002,1210,1403,1586,1789,1990,2173,2365,2559,2747,2971,3151,3348,3559,3761,3956
29,0.16315645176776972,0.16588142646475812,70.404259570178,70.77878720880996,0.61,0.001,208,409,594,812,1003,1210,1404,1586,1789,1990,2173,2364,2559,2746,2971,3151,3347,3559,3761,3955
30,0.1718019360437516,0.17484143602010294,70.03963721529402,70.39761514959154,0.62,0.001,208,409,593,812,1003,1211,1404,1587,1789,1990,2173,2364,2559,2745,2971,3150,3346,3558,3760,3955
31,0.18053830047193864,0.18378965636826872,69.66924508660547,70.01486658538136,0.64,0.001,208,409,593,813,1004,1212,1405,1587,1789,1989,2172,2363,2559,2744,2972,3149,3346,3558,3760,3955
32,0.18839175402781572,0.19177898794417492,69.3345954975761,69.67136514446771,0.66,0.001,209,410,592,813,1005,1213,1405,1587,1790,1989,2172,2363,2559,2743,2972,3149,3345,3557,3760,3955
33,0.19475666180627105,0.1983441518564868,69.06219244841023,69.38781553927534,0.67,0.001,209,410,592,813,1005,1214,1406,1587,1790,1988,2172,2362,2559,2742,2972,3148,3344,3557,3760,3955
34,0.20034459859495368,0.20415364392025537,68.82214609389008,69.13593734109092,0.69,0.001,209,411,592,814,1006,1215,1406,1587,1790,1988,2172,2362,2560,2741,2972,3148,3344,3557,3760,3955
35,0.20653755628591253,0.2105546538170885,68.55513221009606,68.85734517373582,0.7,0.001,209,411,591,814,1007,1216,1406,1588,1790,1987,2172,2361,2560,2740,2972,3147,3343,3556,3760,3954
36,0.21346383279510606,0.2177110850163121,68.2552617877827,68.54453316890961,0.72,0.001,209,412,591,814,1007,1217,1407,1588,1791,1987,2172,2360,2561,2739,2972,3147,3342,3556,3760,3954
37,0.2200020972863025,0.22447757277118074,67.97097697501118,68.24744944295537,0.73,0.001,210,412,590,815,1008,1218,1407,1588,1791,1986,2172,2360,2562,2738,2973,3146,3342,3555,3759,3954
38,0.22570894198112623,0.23038413572698802,67.72186483376325,67.98705572455502,0.75,0.001,210,412,590,815,1009,1219,1407,1589,1791,1986,2172,2359,2563,2737,2973,3146,3341,3555,3759,3954
39,0.2314048962233678,0.23619945207989035,67.47231058228627,67.72970896558245,0.77,0.001,210,413,589,815,1010,1219,1408,1589,1791,1985,2172,2358,2563,2736,2973,3145,3340,3554,3759,3953
40,0.2377208985404763,0.2425772001190739,67.19450908207642,67.44634731121471,0.78,0.001,210,413,589,815,1010,1220,1408,1590,1792,1985,2172,2358,2564,2735,2973,3145,3340,3554,3759,3953
41,0.24406161327205067,0.24897216359899688,66.91446338540159,67.16101222063288,0.8,0.001,211,414,588,816,1011,1221,1408,1590,1792,1984,2172,2357,2565,2734,2973,3144,3339,3553,3759,3953
42,0.24979176406330328,0.2546900313998621,66.66036306461471,66.90486701629972,0.81,0.001,211,414,588,816,1012,1222,1408,1591,1792,1984,2172,2357,2566,2733,2973,3143,3338,3553,3759,3953
43,0.2553947573060734,0.2602673468799216,66.41096674425279,66.65406700597872,0.83,0.001,211,414,587,816,1012,1223,1409,1591,1792,1983,2172,2356,2567,2732,2973,3143,3338,3552,3759,3953
