epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15
36,0.28414839797639124,0.26652221018418204,0.0625000285019165,0.05465523345002554,0.26,0.001,12,26,36,51,62,76,86,101,110,125,138,148,161,174,185
37,0.34642254878342565,0.3293607800650054,0.15630634368060192,0.14690169025861566,0.26,0.001,12,26,36,51,62,76,86,101,110,125,138,148,160,174,185
38,0.3618405203565406,0.3477789815817985,0.1791801826189896,0.1734754591918699,0.27,0.001,12,26,36,51,62,76,86,101,110,125,138,148,160,174,185
39,0.36352686099735004,0.35102925243770317,0.1827777491715772,0.1787914706022149,0.28,0.001,12,26,36,51,62,76,86,101,110,125,138,148,160,174,185
40,0.3640086726090099,0.34994582881906827,0.18561032667246868,0.17968923582823537,0.28,0.001,12,26,36,51,62,76,86,101,110,125,138,148,160,174,185
41,0.36412912551192483,0.34994582881906827,0.18758022009539432,0.18099700083408754,0.29,0.001,12,26,36,51,62,76,86,101,110,125,138,148,160,174,185
42,0.36437003131775475,0.34994582881906827,0.19007893770055007,0.18265541059094403,0.3,0.001,12,26,36,51,62,76,86,102,110,125,138,148,160,174,185
43,0.36461093712358467,0.34994582881906827,0.1919031269491741,0.18454253101035445,0.3,0.001,12,26,36,51,62,76,86,102,110,124,138,148,160,174,185
44,0.36461093712358467,0.34994582881906827,0.1930483162529093,0.18513047035246266,0.31,0.001,12,26,36,51,62,76,86,102,110,124,138,148,160,174,185
45,0.3647313900264996,0.34994582881906827,0.19409446102913985,0.18595216256261904,0.32,0.001,12,26,36,51,62,76,86,102,110,124,138,148,160,174,185
46,0.36461093712358467,0.34994582881906827,0.19452637586980137,0.18665515235896435,0.32,0.001,12,26,36,51,62,76,86,102,110,124,138,148,160,174,185
47,0.3644904842206697,0.34994582881906827,0.19462197660217384,0.1871231380745767,0.33,0.001,12,26,36,51,62,76,86,102,110,124,138,149,160,174,185
48,0.3644904842206697,0.34994582881906827,0.19488471270384544,0.18735692903680212,0.34,0.001,12,26,36,51,62,76,86,102,110,124,138,149,160,174,185
49,0.3644904842206697,0.34994582881906827,0.1950160164814465,0.18747377409482113,0.34,0.001,12,26,36,51,62,76,86,102,110,124,138,149,160,174,185
50,0.3644904842206697,0.34994582881906827,0.1950451892827728,0.18747377409482113,0.35,0.001,12,26,37,51,61,76,86,102,110,124,138,149,160,174,185
51,0.3644904842206697,0.34994582881906827,0.19513269500138442,0.18759058555677477,0.36,0.001,12,26,37,51,61,76,86,102,110,124,138,149,160,174,185
52,0.3644904842206697,0.34994582881906827,0.19516185934656516,0.18759058555677477,0.36,0.001,12,26,37,51,61,76,86,102,110,124,138,149,160,174,185
53,0.3644904842206697,0.34994582881906827,0.1952056019016668,0.18770736343715078,0.37,0.001,12,26,37,51,61,76,86,102,110,124,138,149,160,174,185
54,0.3644904842206697,0.34994582881906827,0.19532222547308542,0.18770736343715078,0.38,0.001,12,26,37,51,61,76,86,102,110,124,138,149,160,174,185
55,0.36437003131775475,0.34994582881906827,0.1952863207108927,0.18782410775042824,0.38,0.001,12,26,37,51,61,76,86,102,110,124,138,149,160,174,185
56,0.3642495784148398,0.34994582881906827,0.1952941427095427,0.18782410775042824,0.39,0.001,12,26,37,50,61,76,86,102,110,124,138,149,160,174,185
57,0.3642495784148398,0.34994582881906827,0.19545439539433251,0.18817413943233763,0.4,0.001,12,26,37,50,61,76,86,102,110,124,138,149,160,174,185
58,0.3642495784148398,0.34994582881906827,0.19573104520195028,0.188523869530815,0.4,0.001,12,26,37,50,61,76,86,102,110,124,138,149,160,174,185
59,0.3642495784148398,0.34994582881906827,0.19599295905053615,0.18864037927912358,0.41,0.001,12,26,37,50,61,77,86,102,110,124,139,149,160,174,185
60,0.3642495784148398,0.34994582881906827,0.19618201298694393,0.18922242653517762,0.42,0.001,12,26,37,50,61,77,86,102,110,124,139,149,160,174,185
61,0.3642495784148398,0.34994582881906827,0.196414572738712,0.18957125421823917,0.42,0.001,12,26,37,50,61,77,86,102,110,124,139,149,160,174,185
62,0.3642495784148398,0.34994582881906827,0.19680671232556302,0.18968746342034426,0.43,0.001,12,26,37,50,61,77,86,102,110,124,139,149,160,174,185
63,0.36412912551192483,0.34994582881906827,0.1968722659851917,0.19003589115065211,0.44,0.001,12,26,37,50,61,77,86,102,110,124,139,149,160,174,185
64,0.3640086726090099,0.34994582881906827,0.19686524573568454,0.19026800988405246,0.44,0.001,12,26,37,50,61,77,86,102,110,124,139,149,160,174,185
65,0.3640086726090099,0.34994582881906827,0.1970103094029928,0.190499995614843,0.45,0.001,12,26,37,50,61,77,86,102,110,124,139,149,160,174,185
66,0.3640086726090099,0.34994582881906827,0.197068320198044,0.1908477250810906,0.46,0.001,12,26,37,50,61,77,86,102,110,124,139,149,160,174,185
67,0.3640086726090099,0.34994582881906827,0.19712632261189345,0.1908477250810906,0.47,0.001,12,26,37,50,61,77,86,102,110,124,139,149,160,174,185
68,0.3640086726090099,0.34994582881906827,0.19719881384590732,0.19096356852559015,0.47,0.001,12,26,37,50,61,77,86,102,110,124,139,149,160,174,185
69,0.3640086726090099,0.34994582881906827,0.19725679740869295,0.19096356852559015,0.48,0.001,12,26,37,50,61,77,86,102,110,124,139,149,160,174,185
70,0.3640086726090099,0.34994582881906827,0.19731477259617758,0.19107937880505277,0.49,0.001,12,26,37,50,61,77,86,102,110,124,139,149,160,174,185
71,0.3638882197060949,0.34994582881906827,0.19720623300835127,0.19107937880505277,0.49,0.001,12,26,37,50,61,77,86,102,110,124,139,149,160,174,185
72,0.3638882197060949,0.34994582881906827,0.19722072667142787,0.19107937880505277,0.5,0.001,12,27,37,50,61,77,86,102,110,124,139,149,160,174,185
73,0.3638882197060949,0.34994582881906827,0.19724971242762357,0.19107937880505277,0.51,0.001,12,27,37,50,61,77,86,102,110,124,139,149,160,174,185
74,0.3638882197060949,0.34994582881906827,0.19724971242762357,0.19107937880505277,0.51,0.001,12,27,37,50,61,77,86,102,111,124,139,149,160,174,185
75,0.3638882197060949,0.34994582881906827,0.1972642045207994,0.19107937880505277,0.52,0.001,12,27,37,50,61,77,86,102,111,124,139,149,160,174,185
76,0.3638882197060949,0.34994582881906827,0.1972642045207994,0.19107937880505277,0.53,0.001,12,27,37,50,61,77,86,102,111,124,139,149,160,174,185
77,0.3638882197060949,0.34994582881906827,0.1972642045207994,0.19107937880505277,0.53,0.001,12,27,37,50,61,77,86,102,111,124,139,149,160,174,185
78,0.3638882197060949,0.34994582881906827,0.19727869609073134,0.19107937880505277,0.54,0.001,12,27,37,50,61,77,86,101,111,124,139,149,160,174,185
79,0.36461093712358467,0.34994582881906827,0.19847201592870545,0.19134632513776895,0.55,0.001,12,27,37,50,61,77,86,101,111,124,139,149,160,174,185
80,0.36497229583232954,0.3531960996749729,0.19911084175793925,0.19584519066590778,0.55,0.001,12,27,37,50,61,77,86,101,111,124,139,149,160,174,185
81,0.3668995422789689,0.3564463705308776,0.2020668177721444,0.20026197866828477,0.56,0.001,12,27,37,50,61,77,86,101,111,124,139,149,160,174,185
82,0.3683449771139484,0.35752979414951247,0.2042273785945904,0.2023971554726549,0.57,0.001,12,27,37,50,61,76,86,101,111,124,139,149,160,174,185
83,0.3708744880751626,0.35861321776814736,0.20797122262998546,0.20404143990863643,0.57,0.001,12,27,37,50,61,76,86,101,111,124,139,149,160,174,185
84,0.37460852806552636,0.3640303358613218,0.213155395350222,0.21169419960482927,0.58,0.001,12,27,37,50,61,76,86,101,111,124,139,149,160,174,185
85,0.3777403035413153,0.36836403033586135,0.21775027290560345,0.21765559393791356,0.59,0.001,12,27,37,50,61,76,86,101,111,124,139,149,160,174,185
86,0.37978800289086967,0.3781148429035753,0.22088087470875528,0.23071047931580246,0.6,0.001,12,27,37,50,61,76,86,101,111,124,139,149,160,174,185
87,0.38195615514333897,0.38028169014084506,0.22412831655861032,0.2336424179435519,0.6,0.001,12,27,37,50,61,76,86,101,111,124,139,149,160,174,185
88,0.38508793061912794,0.38353196099674974,0.2287765242495049,0.23794716573753516,0.61,0.001,12,27,37,50,61,76,86,101,111,124,139,149,160,174,185
89,0.38870151770657674,0.38678223185265437,0.23396814162432766,0.2422926529286178,0.62,0.001,12,27,37,50,61,76,86,101,111,124,139,149,160,174,185
90,0.3952059744639846,0.39219934994582883,0.2431733008895237,0.24968048571966772,0.62,0.001,12,27,37,50,61,76,85,101,111,124,139,149,160,174,185
91,0.4002649963864129,0.39544962080173346,0.250355252686287,0.25431095641699064,0.63,0.001,12,27,37,50,61,76,86,101,111,124,139,149,160,174,185
92,0.40616718862924595,0.39978331527627303,0.2588417320270089,0.26048726025297275,0.64,0.001,12,27,37,50,61,76,86,101,111,124,139,149,160,174,185
93,0.4123102866779089,0.40411700975081255,0.2673752815703333,0.26610902614337506,0.64,0.001,12,27,37,50,61,76,86,101,111,124,139,149,160,174,185
94,0.4164056853770176,0.41170097508125675,0.2733143136964601,0.27587028951375914,0.65,0.001,12,27,37,50,61,76,86,101,111,124,139,149,160,174,185
95,0.4208624427848711,0.4171180931744312,0.27961940039257804,0.2831057611517106,0.66,0.001,12,27,37,50,61,76,86,101,111,124,139,149,160,174,185
96,0.42471693567814983,0.419284940411701,0.2851587878102573,0.2860202391054615,0.66,0.001,12,27,37,50,61,76,86,101,111,124,139,149,160,174,185
97,0.4284509756685136,0.4257854821235103,0.29047520036115115,0.29503197784176227,0.67,0.001,12,27,37,50,61,76,86,101,111,124,139,149,160,174,185
98,0.43194410985304743,0.4268689057421452,0.2953876110936272,0.29653444520003225,0.68,0.001,12,27,37,50,61,76,86,101,111,124,139,149,160,174,185
99,0.4350758853288364,0.4301191765980498,0.2999136461907491,0.30144172661870505,0.68,0.001,12,27,37,50,61,76,86,101,110,124,139,149,160,174,185
100,0.4380872079017104,0.4322860238353196,0.3041122065910167,0.304470125342982,0.69,0.001,12,27,37,50,61,76,86,101,110,124,139,149,160,174,185
101,0.4397735485425199,0.4322860238353196,0.3065358106565531,0.304470125342982,0.7,0.001,12,27,37,50,61,76,86,101,110,124,139,149,160,174,185
102,0.4418212478920742,0.4344528710725894,0.30944947776394593,0.307841492216546,0.7,0.001,12,27,37,50,61,76,86,101,110,124,139,149,160,174,185
103,0.4444712117562033,0.4355362946912243,0.3131155632898954,0.30936788195790865,0.71,0.001,12,27,37,50,61,76,86,101,110,124,139,149,160,174,185
104,0.44591664659118285,0.437703141928494,0.31519318161277954,0.31228968313215655,0.72,0.001,12,27,37,50,61,76,86,101,110,124,139,149,160,174,185
105,0.44736208142616235,0.4398699891657638,0.31734809670086017,0.3156079329019229,0.73,0.001,12,27,37,50,61,76,86,101,110,124,139,149,160,174,185
106,0.448566610455312,0.4409534127843987,0.3190901410170096,0.3169630564479119,0.73,0.001,12,27,37,50,61,76,86,101,110,124,139,149,160,174,185
107,0.4502529510961214,0.4431202600216685,0.3214579534288875,0.3197119520952588,0.74,0.001,12,27,37,50,61,76,86,101,110,124,139,149,160,174,185
108,0.451577933028186,0.447453954496208,0.3232998984565104,0.325363953485039,0.75,0.001,12,27,37,50,61,76,86,101,110,124,139,149,160,174,185
109,0.45254155625150566,0.4485373781148429,0.32469377734518357,0.326748521820876,0.75,0.001,12,27,37,50,61,76,86,101,110,124,139,149,160,174,185
110,0.4536256323777403,0.4496208017334778,0.32626376024354786,0.32814053790712006,0.76,0.001,12,27,37,50,61,76,86,101,110,124,139,149,160,174,185
111,0.45458925560106,0.4517876489707476,0.32767716934113444,0.33101762990380046,0.77,0.001,12,27,37,50,61,76,86,101,110,124,139,149,160,174,185
