epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15
0,0,0,82.49165440743081,77.95344288620292,0.14,0.001,264,523,784,1043,1301,1561,1820,2082,2342,2599,2859,3119,3379,3638,3899
1,0.04301117472496563,0.04582137410194853,75.6433410093876,70.16032838925072,0.16,0.001,264,523,784,1044,1301,1560,1821,2083,2341,2599,2858,3118,3378,3638,3899
2,0.04981252957926907,0.06483560200347616,75.37406068029969,69.4577596175816,0.17,0.001,265,523,785,1044,1300,1559,1822,2084,2341,2598,2857,3117,3377,3637,3899
3,0,0.006992084125514442,77.5455700197471,71.57364132704511,0.19,0.001,265,523,785,1045,1300,1559,1822,2085,2341,2597,2857,3117,3377,3637,3899
4,0,0,78.69095628827051,72.73355094860796,0.2,0.001,265,523,785,1044,1300,1559,1822,2086,2340,2597,2856,3117,3376,3637,3899
5,0,0,78.24242737419546,72.28225315451746,0.22,0.001,265,523,785,1044,1300,1558,1822,2086,2340,2597,2855,3116,3375,3636,3899
6,0.012116285872370458,0.026225515990397463,76.85465622585107,70.87710465900642,0.23,0.001,265,524,785,1044,1301,1558,1821,2087,2340,2597,2854,3116,3375,3636,3898
7,0.05054249238247599,0.06689383566441343,75.34510121662689,69.38127786910529,0.25,0.001,266,524,785,1043,1301,1559,1820,2087,2341,2597,2853,3115,3374,3636,3898
8,0.07629795247836402,0.09232605979565123,74.31615319027216,68.42923751493217,0.26,0.001,266,524,784,1043,1302,1559,1820,2087,2341,2597,2853,3115,3373,3636,3898
9,0.08370906956609447,0.09677340275689283,74.0174210120918,68.26139227836808,0.28,0.001,266,525,784,1043,1302,1559,1819,2087,2341,2597,2852,3115,3373,3635,3898
10,0.07666947003106728,0.0852458889359008,74.30120748408972,68.69560348013546,0.29,0.001,266,525,783,1042,1302,1559,1818,2088,2341,2598,2851,3114,3372,3635,3898
