epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,lr,band_1,band_2,band_3,band_4,band_5
0,0.20067663817663817,0.20673076923076922,0.002609176531226609,-0.0025251377790473928,0.01,0.001,22,43,65,86,108
1,0.3821225071225071,0.36698717948717946,0.1591860368288005,0.13020156964598262,0.01,0.001,22,43,65,86,108
2,0.43447293447293445,0.3958333333333333,0.16067582184418694,0.08852519992560914,0.02,0.001,22,43,65,86,108
3,0.4373219373219373,0.42628205128205127,0.11749041408812022,0.08358767352564733,0.02,0.001,22,43,65,86,108
4,0.4305555555555556,0.4342948717948718,0.10070319527333571,0.09308300395256919,0.03,0.001,22,43,65,86,108
5,0.42574786324786323,0.4326923076923077,0.09484515123246617,0.09381204771828489,0.03,0.001,22,43,65,86,108
6,0.4202279202279202,0.42467948717948717,0.08751708002208047,0.0848421465455258,0.04,0.001,22,43,65,86,108
7,0.42094017094017094,0.42467948717948717,0.08824678519091556,0.08356924285316891,0.05,0.001,22,43,65,86,108
8,0.421474358974359,0.42467948717948717,0.08818749420946781,0.08229279323567018,0.05,0.001,22,43,65,86,108
9,0.42111823361823364,0.421474358974359,0.08707693166193597,0.07589307691045444,0.06,0.001,22,43,65,86,108
10,0.41915954415954415,0.4230769230769231,0.08319950371021267,0.07793849639614492,0.06,0.001,22,43,65,86,108
11,0.4186253561253561,0.421474358974359,0.08172399256134066,0.0743437597593648,0.07,0.001,22,43,65,86,108
12,0.416488603988604,0.4166666666666667,0.07753456006380599,0.06560695068371414,0.07,0.001,22,43,65,86,108
13,0.4129273504273504,0.41346153846153844,0.07118393354724184,0.059420456979062064,0.08,0.001,22,43,64,86,108
14,0.4099002849002849,0.41185897435897434,0.0655078578700512,0.055792858909870624,0.08,0.001,22,43,64,86,108
15,0.40544871794871795,0.41025641025641024,0.057298130354088594,0.05189099917423612,0.09,0.001,22,43,64,86,108
16,0.400997150997151,0.40705128205128205,0.04892405145495482,0.04486108123314181,0.09,0.001,22,43,64,86,108
17,0.3976139601139601,0.39903846153846156,0.04255749539872522,0.02977029604444814,0.1,0.001,22,43,64,86,108
18,0.3945868945868946,0.3974358974358974,0.03697409416737474,0.02608464642104036,0.1,0.001,22,43,64,86,108
19,0.39155982905982906,0.3958333333333333,0.03136070147115033,0.02239066473844309,0.11,0.001,22,43,64,86,108
20,0.3887108262108262,0.3942307692307692,0.0262755767883448,0.019243243243243113,0.11,0.001,22,43,64,86,108
21,0.38675213675213677,0.3926282051282051,0.022816027238577785,0.01609226007222364,0.12,0.001,22,43,64,86,108
22,0.38461538461538464,0.3926282051282051,0.01894231416618708,0.01609226007222364,0.12,0.001,22,43,64,86,109
23,0.3831908831908832,0.3926282051282051,0.01641480712070753,0.015813829610147434,0.13,0.001,22,43,64,86,109
24,0.38247863247863245,0.3926282051282051,0.01517197272254811,0.015256495669553782,0.14,0.001,22,43,64,86,109
25,0.38301282051282054,0.3942307692307692,0.016109471639626505,0.01813277386482859,0.14,0.001,22,43,64,86,109
