epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20
0,0.13683449771139483,0.13326110509209102,0.011182593873786839,0.00884708674332979,0.01,0.001,10,19,28,38,47,57,66,76,85,94,104,113,123,132,141,151,160,170,179,189
1,0.13671404480847987,0.13326110509209102,0.00691651730466214,0.005358456204251794,0.02,0.001,10,19,29,38,47,57,66,76,85,94,104,113,123,132,141,151,160,170,179,189
2,0.13671404480847987,0.13326110509209102,0.002264992862976767,0.0018977999578267957,0.02,0.001,10,19,29,38,47,57,66,76,85,95,104,113,123,132,141,151,160,170,179,189
3,0.13683449771139483,0.13326110509209102,0.0004365729587273437,0.0005278901988384765,0.03,0.001,10,19,29,38,47,57,66,76,85,94,104,113,123,132,141,151,160,170,179,189
4,0.13683449771139483,0.13326110509209102,0.00010917898812723426,0.00015842560157730556,0.04,0.001,10,19,29,38,47,57,66,76,85,94,104,113,123,132,141,151,160,170,179,189
5,0.13683449771139483,0.13326110509209102,0.0001403686060773568,0.00015842560157730556,0.04,0.001,10,19,29,38,47,57,66,76,85,94,104,113,123,132,141,151,160,170,179,189
6,0.13683449771139483,0.13326110509209102,0.00010917898812723426,0.0,0.05,0.001,10,19,29,38,47,56,66,76,85,94,104,114,123,132,141,151,160,170,179,189
7,0.13683449771139483,0.13326110509209102,3.1196429461144426e-05,0.0,0.06,0.001,10,19,29,38,47,56,66,76,85,94,104,114,123,132,141,151,160,170,179,188
8,0.13695495061430982,0.13326110509209102,0.0001248754880107672,0.0,0.06,0.001,10,19,29,38,47,56,66,76,85,94,104,114,123,132,141,151,160,170,179,188
9,0.13827993254637436,0.1267605633802817,-0.0031981227221129505,-0.01184116034122562,0.07,0.001,10,19,29,38,47,56,66,76,85,94,104,114,123,132,141,151,160,170,179,188
10,0.20886533365454107,0.20043336944745396,0.040108061993759714,0.038541666666666696,0.08,0.001,10,19,29,38,47,56,66,76,85,95,104,114,123,132,141,150,160,170,179,188
11,0.23078776198506384,0.21776814734561215,0.045825424183849495,0.039827216561390655,0.08,0.001,10,19,29,38,47,56,66,76,85,94,104,114,123,132,141,150,160,170,179,188
12,0.23464225487834256,0.2275189599133261,0.03735725006515289,0.04158851011277853,0.09,0.001,9,19,29,37,47,56,66,76,85,94,104,114,123,131,141,150,160,170,179,188
13,0.2403035413153457,0.2296858071505959,0.03779433862153936,0.03811325953894151,0.1,0.001,9,19,29,37,47,56,66,76,85,94,104,114,123,131,141,150,160,170,179,188
