epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10
0,0.018518518518518517,0.017628205128205128,-0.0008606872590997128,-0.0007744312116708674,0.01,0.001,12,24,35,47,59,71,83,94,106,118
1,0.08796296296296297,0.10256410256410256,-0.07154831673929185,-0.06110847939365227,0.01,0.001,12,24,36,47,59,71,83,94,106,118
2,0.35113960113960113,0.36698717948717946,-0.014986355142439622,-0.004540156337878853,0.02,0.001,12,24,36,47,59,71,83,94,106,118
3,0.37428774928774927,0.38461538461538464,0.0,0.0,0.02,0.001,12,24,36,47,59,71,83,94,106,118
4,0.37428774928774927,0.38461538461538464,0.0,0.0,0.03,0.001,12,24,36,47,59,71,83,94,106,118
5,0.37428774928774927,0.38461538461538464,0.0,0.0,0.03,0.001,12,24,36,47,59,71,83,94,106,118
6,0.37428774928774927,0.38461538461538464,0.0,0.0,0.04,0.001,12,24,36,47,59,71,83,94,106,118
7,0.37428774928774927,0.38461538461538464,0.0,0.0,0.04,0.001,12,24,36,47,59,71,83,94,106,118
8,0.37428774928774927,0.38461538461538464,0.0,0.0,0.05,0.001,12,24,36,47,59,71,83,94,106,118
9,0.37428774928774927,0.38461538461538464,0.0,0.0,0.05,0.001,12,24,36,47,59,71,83,94,106,118
10,0.37428774928774927,0.38461538461538464,0.0,0.0,0.06,0.001,12,23,36,47,59,71,83,94,106,118
11,0.37428774928774927,0.38461538461538464,0.0,0.0,0.06,0.001,12,23,36,47,59,71,83,94,106,118
12,0.37428774928774927,0.38461538461538464,0.0,0.0,0.07,0.001,12,23,36,47,59,71,83,94,106,118
13,0.37428774928774927,0.38461538461538464,0.0,0.0,0.07,0.001,12,23,36,47,59,71,83,94,106,118
14,0.37428774928774927,0.38461538461538464,0.0,0.0,0.08,0.001,12,23,36,47,59,71,83,94,106,118
15,0.37428774928774927,0.38461538461538464,0.0,0.0,0.08,0.001,12,23,36,47,58,71,83,94,106,118
16,0.37428774928774927,0.38461538461538464,0.0,0.0,0.09,0.001,12,24,36,47,58,71,83,94,106,118
17,0.37428774928774927,0.38461538461538464,0.0,0.0,0.1,0.001,12,24,36,47,58,71,83,94,106,118
18,0.37428774928774927,0.38461538461538464,0.0,0.0,0.1,0.001,12,24,36,47,58,71,83,94,106,118
19,0.37428774928774927,0.38461538461538464,0.0,0.0,0.11,0.001,12,24,36,47,58,71,83,94,106,118
20,0.37428774928774927,0.38461538461538464,0.0,0.0,0.11,0.001,12,24,36,47,58,71,83,94,106,118
21,0.37428774928774927,0.38461538461538464,0.0,0.0,0.12,0.001,12,24,36,47,58,72,83,94,106,118
22,0.37428774928774927,0.38461538461538464,0.0,0.0,0.12,0.001,12,24,36,47,58,72,83,94,106,118
23,0.37428774928774927,0.38461538461538464,0.0,0.0,0.13,0.001,12,24,36,47,59,72,83,94,106,118
24,0.37428774928774927,0.38461538461538464,0.0,0.0,0.13,0.001,12,24,36,47,59,72,83,94,106,118
25,0.37428774928774927,0.38461538461538464,0.0,0.0,0.14,0.001,12,24,36,47,59,72,83,94,106,118
26,0.37428774928774927,0.38461538461538464,0.0,0.0,0.14,0.001,12,24,36,47,59,72,83,94,106,118
27,0.37428774928774927,0.38461538461538464,0.0,0.0,0.15,0.001,12,24,36,47,59,72,83,94,106,118
28,0.37304131054131057,0.38301282051282054,-0.0013251624854597743,-0.0012002400480095599,0.15,0.001,12,24,36,47,59,72,83,94,106,118
29,0.37250712250712253,0.38301282051282054,-0.0003205549087510473,-0.0002664712544133696,0.16,0.001,12,24,36,47,59,72,83,94,106,118
30,0.3748219373219373,0.38782051282051283,0.012714684921821928,0.014878000396746582,0.16,0.001,12,24,36,47,59,72,83,94,106,118
31,0.391025641025641,0.40064102564102566,0.05535883509837458,0.053932219880006516,0.17,0.001,12,24,36,47,59,72,83,93,106,118
32,0.41025641025641024,0.40865384615384615,0.09887964281120487,0.08366762177650444,0.17,0.001,12,24,36,46,59,72,83,93,106,118
33,0.4293091168091168,0.4391025641025641,0.13848547921412568,0.14354284638672332,0.18,0.001,12,24,36,46,59,72,83,93,106,118
34,0.43963675213675213,0.453525641025641,0.161773115342023,0.17326909627787712,0.18,0.001,12,24,36,46,59,72,83,93,106,118
35,0.4488960113960114,0.4567307692307692,0.18108500046642984,0.1818941245629777,0.19,0.001,12,24,37,46,59,72,83,93,106,118
36,0.4547720797720798,0.4583333333333333,0.1932938113012571,0.18726204972486404,0.19,0.001,12,24,37,46,59,72,83,93,106,118
37,0.4547720797720798,0.4599358974358974,0.1945311543074374,0.1925168187263846,0.2,0.001,12,24,37,46,59,72,83,93,106,118
38,0.45245726495726496,0.4599358974358974,0.19230983475914165,0.19340881892663175,0.21,0.001,12,24,37,46,59,72,83,93,106,118
39,0.4494301994301994,0.46153846153846156,0.18820187502962782,0.1956541754902864,0.21,0.001,12,24,37,46,59,72,83,93,106,118
40,0.4478276353276353,0.4599358974358974,0.18627299994318236,0.19443465469422783,0.22,0.001,12,24,37,46,59,72,83,93,106,118
41,0.4456908831908832,0.4567307692307692,0.18345836279894312,0.18894546346849894,0.23,0.001,12,24,37,46,59,72,83,93,106,118
42,0.4440883190883191,0.453525641025641,0.18156981977934372,0.18464816148858887,0.23,0.001,12,24,37,46,59,72,83,93,106,118
43,0.4439102564102564,0.453525641025641,0.18193202142518472,0.1851352593364174,0.24,0.001,12,24,37,46,59,72,83,93,106,118
44,0.44551282051282054,0.4583333333333333,0.1848710119644562,0.19389705095473253,0.24,0.001,12,24,37,46,59,72,83,93,106,118
45,0.44871794871794873,0.46153846153846156,0.19056702089421285,0.20058565153733532,0.25,0.001,12,24,37,46,59,73,83,93,106,118
46,0.4521011396011396,0.46153846153846156,0.19647170618829657,0.20222820875759095,0.26,0.001,12,24,37,46,59,73,83,93,106,118
47,0.457977207977208,0.4599358974358974,0.2067259577594699,0.2000608642726719,0.26,0.001,12,24,37,46,59,73,83,93,106,118
48,0.46545584045584043,0.46474358974358976,0.21963607278544273,0.20880722800091112,0.27,0.001,12,24,37,46,59,73,83,93,106,118
49,0.47150997150997154,0.47275641025641024,0.23025885677682134,0.2236340533672173,0.27,0.001,12,24,37,47,59,73,83,93,106,118
50,0.48344017094017094,0.4791666666666667,0.2496722385310427,0.235559308233946,0.28,0.001,12,24,37,47,59,73,83,93,106,118
51,0.48913817663817666,0.4823717948717949,0.2592678613321534,0.2413616585615561,0.28,0.001,12,24,37,47,59,73,83,93,106,118
52,0.49376780626780625,0.48878205128205127,0.2669988602556652,0.25234375,0.29,0.001,12,24,37,47,59,73,83,93,106,118
53,0.4985754985754986,0.4951923076923077,0.2748264429112526,0.26247223389565943,0.29,0.001,12,24,37,47,59,73,83,93,106,118
54,0.5032051282051282,0.4983974358974359,0.2821554139686172,0.26783625730994154,0.3,0.001,13,24,37,47,59,73,83,93,106,118
55,0.5065883190883191,0.5016025641025641,0.28743208552388655,0.2732556397735103,0.3,0.001,13,24,37,47,59,73,83,93,106,118
56,0.5089031339031339,0.5064102564102564,0.2912864617514599,0.2809984137910394,0.31,0.001,13,24,37,47,59,73,83,93,106,118
57,0.5117521367521367,0.5096153846153846,0.2956653502590575,0.28621200113641465,0.31,0.001,13,24,37,47,59,73,83,93,106,118
58,0.5142450142450142,0.5112179487179487,0.2994123467006303,0.28842760147159985,0.32,0.001,13,24,37,47,59,73,83,93,106,118
59,0.5154914529914529,0.5128205128205128,0.3012642655751958,0.29094089678991664,0.33,0.001,13,24,37,47,59,73,83,93,106,118
60,0.5167378917378918,0.5176282051282052,0.30311181860470593,0.2982319797940548,0.33,0.001,13,24,37,47,60,73,83,93,106,118
61,0.5194088319088319,0.5160256410256411,0.30719500340332995,0.29607936887401376,0.34,0.001,13,24,38,47,60,73,83,93,106,118
62,0.5208333333333334,0.5192307692307693,0.309361150234849,0.3010961440817179,0.34,0.001,13,24,38,47,60,73,83,93,106,118
63,0.5213675213675214,0.5208333333333334,0.3103933261158822,0.3036026217172546,0.35,0.001,13,24,38,47,60,73,83,93,106,118
64,0.5236823361823362,0.5208333333333334,0.3141111759180101,0.3036026217172546,0.35,0.001,13,24,38,47,60,73,83,93,106,118
