epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10
0,0.12179255511384171,0.12026002166847237,0.030581270546323314,0.025068065306271148,0.01,0.001,18,36,54,72,90,108,126,144,162,180
1,0.23346584748825444,0.24918743228602383,0.000238492441578253,0.0,0.02,0.001,18,36,54,72,90,108,126,144,162,180
2,0.23346584748825444,0.24918743228602383,0.0,0.0,0.02,0.001,18,36,54,72,90,108,126,144,162,180
3,0.23346584748825444,0.24918743228602383,0.0,0.0,0.03,0.001,18,36,54,72,90,108,126,144,162,180
4,0.23346584748825444,0.24918743228602383,0.0,0.0,0.04,0.001,18,36,54,72,90,108,126,144,162,180
5,0.23346584748825444,0.24918743228602383,0.0,0.0,0.04,0.001,18,36,54,72,90,108,126,144,162,180
6,0.23346584748825444,0.24918743228602383,0.0,0.0,0.05,0.001,18,36,54,72,90,108,126,144,162,180
7,0.23346584748825444,0.24918743228602383,0.0,0.0,0.06,0.001,18,36,54,72,90,108,126,144,162,180
8,0.23346584748825444,0.24918743228602383,0.0,0.0,0.06,0.001,18,36,54,72,91,108,126,144,162,180
9,0.23346584748825444,0.24918743228602383,0.0,0.0,0.07,0.001,18,36,55,72,91,109,126,144,162,180
10,0.23346584748825444,0.24918743228602383,0.0,0.0,0.08,0.001,18,36,55,72,91,109,126,144,162,180
11,0.23346584748825444,0.24918743228602383,0.0,0.0,0.08,0.001,18,36,55,72,91,109,126,145,162,180
12,0.23346584748825444,0.24918743228602383,0.0,0.0,0.09,0.001,18,36,55,72,91,109,125,145,162,180
13,0.23346584748825444,0.24918743228602383,0.0,0.0,0.1,0.001,18,36,55,72,91,109,125,145,162,180
14,0.23346584748825444,0.24918743228602383,0.0,0.0,0.1,0.001,18,36,55,71,91,108,125,145,162,180
15,0.23346584748825444,0.24918743228602383,0.0,0.0,0.11,0.001,18,36,55,71,91,108,125,145,162,180
16,0.23346584748825444,0.24918743228602383,0.0,0.0,0.12,0.001,18,36,55,71,91,108,125,145,161,180
17,0.23346584748825444,0.24918743228602383,0.0,0.0,0.12,0.001,18,36,55,71,91,108,125,145,161,180
18,0.23346584748825444,0.24918743228602383,0.0,0.0,0.13,0.001,18,36,55,71,91,108,125,145,161,180
19,0.23346584748825444,0.24918743228602383,0.0,0.0,0.14,0.001,19,36,55,71,91,108,125,145,161,180
20,0.23346584748825444,0.24918743228602383,0.0,0.0,0.14,0.001,19,36,55,71,91,108,125,145,161,180
21,0.23346584748825444,0.24918743228602383,0.0,0.0,0.15,0.001,19,36,55,71,91,108,125,145,161,180
22,0.23346584748825444,0.24918743228602383,0.0,0.0,0.16,0.001,19,36,55,71,91,108,125,145,161,180
23,0.23346584748825444,0.24918743228602383,0.0,0.0,0.16,0.001,19,36,55,71,91,108,125,145,161,180
24,0.23346584748825444,0.24918743228602383,0.0,0.0,0.17,0.001,19,36,55,71,91,108,125,145,161,180
25,0.23346584748825444,0.24918743228602383,0.0,0.0,0.17,0.001,19,36,55,72,91,108,125,145,161,180
26,0.23346584748825444,0.24918743228602383,0.0,0.0,0.18,0.001,19,36,55,72,91,108,125,145,161,180
27,0.23346584748825444,0.24918743228602383,0.0,0.0,0.19,0.001,19,36,55,72,91,108,125,145,161,180
28,0.23346584748825444,0.24918743228602383,0.0,0.0,0.19,0.001,19,36,55,72,91,108,125,145,161,180
29,0.23346584748825444,0.24918743228602383,0.0,0.0,0.2,0.001,19,36,55,72,91,108,125,145,161,180
30,0.23346584748825444,0.24918743228602383,0.0,0.0,0.21,0.001,19,36,55,72,91,108,124,145,161,180
31,0.23346584748825444,0.24918743228602383,0.0,0.0,0.22,0.001,19,36,55,72,91,108,124,145,161,180
32,0.23346584748825444,0.24918743228602383,3.4683112873801214e-05,0.0,0.22,0.001,19,36,55,72,91,108,124,145,161,180
33,0.3046620889049512,0.3326110509209101,0.1052324085356875,0.125783011005975,0.23,0.001,19,36,55,72,91,107,124,145,161,180
34,0.35019877123238163,0.3694474539544962,0.17093464098335565,0.1804430177936377,0.24,0.001,19,36,55,72,91,107,124,146,161,180
35,0.3536923262257559,0.37269772481040087,0.17687182658729983,0.18593063569726853,0.25,0.001,19,36,56,72,91,108,124,146,161,180
36,0.3554993374292254,0.37378114842903576,0.18040816311465335,0.1888724516092739,0.25,0.001,19,36,56,72,91,108,124,146,161,180
37,0.3557402722563547,0.37378114842903576,0.18240075309285275,0.18998577334833433,0.26,0.001,19,36,56,72,91,108,124,146,161,180
38,0.35610167449704855,0.37594799566630555,0.1847298779177926,0.19513613021993992,0.27,0.001,19,36,56,72,91,108,124,146,161,180
39,0.3559812070834839,0.37594799566630555,0.186371323563991,0.196647864040847,0.28,0.001,19,36,56,72,91,108,124,146,161,181
40,0.35610167449704855,0.37594799566630555,0.18806437468431914,0.19870019081150658,0.28,0.001,19,36,56,72,91,108,124,146,161,181
41,0.35610167449704855,0.37594799566630555,0.18900238500190403,0.19951818838834012,0.29,0.001,19,36,56,72,91,108,124,146,161,181
42,0.35610167449704855,0.37594799566630555,0.1896536366751016,0.20006259291135275,0.3,0.001,19,36,56,72,91,108,124,146,161,181
43,0.3559812070834839,0.37594799566630555,0.18982732298866045,0.20087781268319083,0.3,0.001,19,36,56,72,91,108,124,146,160,181
44,0.3559812070834839,0.37594799566630555,0.19028771030039437,0.20087781268319083,0.31,0.001,19,36,56,72,91,108,124,146,160,181
45,0.35586073966991927,0.37594799566630555,0.19050154640277983,0.20142037005326385,0.32,0.001,19,36,56,72,91,108,124,146,160,181
46,0.35586073966991927,0.37594799566630555,0.19073137947449603,0.20142037005326385,0.32,0.001,19,36,56,72,91,108,124,146,160,181
47,0.35586073966991927,0.37594799566630555,0.19097458993159655,0.20155589430131193,0.33,0.001,19,36,56,72,91,108,124,146,160,181
48,0.35561980484279004,0.37594799566630555,0.19096915072680687,0.20182680484805904,0.34,0.001,19,36,56,73,91,108,124,146,160,181
49,0.35561980484279004,0.37594799566630555,0.19113115143014803,0.20182680484805904,0.34,0.001,19,36,56,73,91,108,124,146,160,181
50,0.35561980484279004,0.37594799566630555,0.19130657899474612,0.20196219119355618,0.35,0.001,19,36,56,73,91,108,124,146,160,181
51,0.35561980484279004,0.37594799566630555,0.19152238541164368,0.2023680747989972,0.36,0.001,19,36,56,73,91,108,124,146,160,181
52,0.35561980484279004,0.37594799566630555,0.1916706855224687,0.20277354574790962,0.36,0.001,19,37,56,73,91,108,124,146,160,181
53,0.35561980484279004,0.37594799566630555,0.19183240542441093,0.20304363077089127,0.37,0.001,19,37,56,73,91,108,124,146,160,181
54,0.35561980484279004,0.37594799566630555,0.19204793132782572,0.20344841535605596,0.38,0.001,19,37,56,73,91,108,123,146,160,181
55,0.35561980484279004,0.37594799566630555,0.19212872390775793,0.20371804338416244,0.38,0.001,19,37,56,73,91,108,123,146,160,181
56,0.35561980484279004,0.37594799566630555,0.1923171771056279,0.20385278895917203,0.39,0.001,19,37,56,73,91,108,123,147,160,181
57,0.3554993374292254,0.37594799566630555,0.192354580641923,0.2039874889390304,0.4,0.001,19,37,56,73,91,108,123,147,160,181
58,0.3554993374292254,0.37594799566630555,0.1925832345857018,0.20425675220583284,0.4,0.001,19,37,56,73,91,108,123,147,160,181
59,0.35537887001566076,0.37594799566630555,0.1926339992439029,0.20425675220583284,0.41,0.001,19,37,56,73,91,108,123,147,160,181
60,0.35537887001566076,0.37594799566630555,0.1927280838237586,0.20466030572036376,0.42,0.001,19,37,56,73,91,108,123,147,160,181
61,0.35537887001566076,0.37594799566630555,0.19290275416581215,0.20492911407549197,0.42,0.001,19,37,56,73,91,108,123,147,160,181
62,0.35537887001566076,0.37594799566630555,0.19294305197253925,0.20492911407549197,0.43,0.001,19,37,56,73,91,108,123,147,160,181
63,0.35537887001566076,0.37594799566630555,0.19303706454084646,0.20506345012582372,0.44,0.001,19,37,56,74,91,108,123,147,160,181
64,0.35537887001566076,0.37594799566630555,0.19307734893697615,0.20546618604400935,0.44,0.001,19,37,56,74,91,108,123,147,160,181
65,0.35537887001566076,0.37594799566630555,0.19313105520900498,0.20560034068241084,0.45,0.001,19,37,56,74,91,108,123,147,160,181
66,0.35537887001566076,0.37594799566630555,0.1931713302216992,0.20573445002524804,0.46,0.001,19,37,56,74,91,108,123,147,160,181
67,0.35537887001566076,0.37594799566630555,0.19331897087547867,0.20586851409545748,0.46,0.001,19,37,56,74,91,108,123,147,160,181
68,0.35561980484279004,0.37594799566630555,0.19375906434464496,0.2060025329159597,0.47,0.001,19,37,56,74,91,108,123,147,160,181
69,0.3567040115648717,0.37703141928494044,0.19536163585516708,0.20777381044787713,0.48,0.001,19,37,56,74,91,108,123,147,160,181
70,0.35766775087338876,0.37703141928494044,0.1971568996825862,0.2081520539034012,0.48,0.001,19,37,56,74,92,108,123,147,160,181
71,0.3580291531140826,0.3781148429035753,0.19881118915695717,0.210812630525259,0.49,0.001,19,37,56,74,92,108,122,147,160,181
72,0.360197566558246,0.3781148429035753,0.20266927204727903,0.21228638292431246,0.5,0.001,20,37,56,74,92,108,122,147,160,181
73,0.36200457776171546,0.37919826652221017,0.20612679096462216,0.21490303541315336,0.5,0.001,20,37,56,74,92,108,122,147,160,181
74,0.3644139260330081,0.38028169014084506,0.21006434999146062,0.21683006317800657,0.51,0.001,20,37,56,74,92,108,122,147,160,181
75,0.3674256113721238,0.38244853737811485,0.21456744896054847,0.2204091551654136,0.52,0.001,20,37,56,74,92,108,122,147,160,181
76,0.368991687748464,0.38244853737811485,0.21702864244752818,0.22161907847723716,0.52,0.001,20,37,56,74,92,108,122,147,160,181
77,0.3706782315383689,0.38244853737811485,0.21965150377123055,0.22203459004175885,0.53,0.001,20,37,56,74,92,108,122,147,160,181
78,0.37212384050114444,0.38353196099674974,0.2219237290590872,0.22377248226027924,0.54,0.001,20,37,56,74,92,108,122,147,160,181
79,0.37332851463679073,0.38461538461538464,0.2237768407324493,0.22527179414429,0.54,0.001,20,37,56,74,92,108,122,147,160,181
80,0.3751355258402602,0.3856988082340195,0.2263434993639032,0.22749535027898315,0.55,0.001,20,37,56,74,92,108,122,147,160,181
81,0.3765811348030358,0.38678223185265437,0.22844517738935366,0.22909334525659364,0.56,0.001,20,37,56,74,92,108,122,147,160,181
82,0.3774244066979882,0.38786565547128926,0.2298008665096809,0.23095243362016205,0.57,0.001,20,37,56,74,92,108,122,147,160,181
83,0.37850861342006986,0.38894907908992415,0.23144411954917554,0.23301597404549113,0.57,0.001,20,37,56,74,92,108,122,147,160,181
84,0.3793518853150223,0.39003250270855905,0.23276119199753464,0.2348099206168064,0.58,0.001,20,37,56,74,92,108,122,147,160,181
85,0.383688712203349,0.39219934994582883,0.23864401635903887,0.23767747672412276,0.59,0.001,20,37,56,74,92,108,122,147,160,181
86,0.39043488736296833,0.39869989165763814,0.2475157602164374,0.24639649049509083,0.59,0.001,20,37,56,74,92,108,122,147,160,181
87,0.3969401276954584,0.409534127843987,0.2561997175102967,0.26103486115620167,0.6,0.001,20,37,56,74,92,108,122,147,160,181
88,0.4012769545837851,0.409534127843987,0.26206475633309023,0.2613571288027182,0.61,0.001,20,37,56,74,92,108,122,147,160,181
89,0.4051319118178533,0.42145178764897073,0.2673302668107709,0.27723977335382366,0.61,0.001,20,37,56,74,92,108,121,147,160,181
90,0.40802312974340443,0.4268689057421452,0.27128586164002577,0.28461353626696284,0.62,0.001,20,37,56,74,92,108,121,147,160,181
