epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25
31,0,0,78.12458437389444,72.72485336441044,0.7,0.001,169,327,481,648,822,955,1125,1291,1435,1612,1763,1914,2075,2242,2400,2549,2724,2862,3024,3195,3341,3520,3666,3836,3992
32,0,0,77.79390465558662,72.42981516613169,0.72,0.001,169,327,481,648,822,955,1126,1291,1435,1612,1762,1914,2075,2242,2400,2548,2724,2862,3024,3195,3340,3520,3665,3836,3992
33,0,0,77.40013096524773,72.05348761944144,0.74,0.001,169,327,481,648,823,954,1126,1292,1435,1612,1762,1914,2076,2242,2400,2548,2724,2862,3023,3194,3339,3519,3665,3836,3992
34,0.010483258284453734,0.007271984951577992,76.91815036432396,71.56355757952157,0.76,0.001,170,327,481,648,823,954,1127,1292,1435,1612,1762,1914,2076,2242,2400,2548,2724,2862,3022,3194,3339,3519,3665,3835,3992
35,0.02482657395400778,0.02342053706721936,76.35864122575617,70.97911430814526,0.77,0.001,170,327,481,648,824,954,1128,1292,1435,1612,1762,1914,2076,2242,2400,2548,2724,2861,3022,3194,3338,3519,3664,3835,3991
36,0.039991005186943984,0.04095027565812959,75.76260724295331,70.33918590813197,0.79,0.001,170,327,481,648,824,953,1128,1293,1435,1612,1763,1914,2076,2242,2401,2548,2724,2861,3021,3193,3337,3519,3664,3835,3991
37,0.05490750704502634,0.05844823132388588,75.17171098766144,69.69455891939306,0.81,0.001,170,327,482,648,825,953,1129,1293,1435,1612,1763,1915,2077,2242,2401,2548,2724,2861,3020,3193,3337,3518,3663,3835,3991
38,0.06870534020891361,0.07490825511617927,74.62095623465972,69.08267875456373,0.83,0.001,170,327,482,648,825,952,1130,1293,1436,1612,1763,1915,2077,2242,2401,2548,2724,2861,3020,3193,3336,3518,3663,3835,3991
39,0.08076250594571066,0.08949412257297817,74.1363391147941,68.53590242985788,0.85,0.001,170,328,482,648,826,952,1130,1294,1436,1612,1763,1915,2077,2242,2401,2548,2724,2861,3019,3193,3336,3517,3662,3835,3991
40,0.09112094100142876,0.10187719644556603,73.71745176898412,68.06826048855297,0.86,0.001,171,328,482,648,826,951,1131,1294,1436,1612,1763,1915,2077,2242,2401,2548,2724,2860,3018,3192,3335,3517,3662,3835,3991
41,0.10040892582780114,0.11277489896973136,73.3398186792567,67.65403070840458,0.88,0.001,171,328,482,648,827,951,1132,1294,1436,1612,1763,1915,2078,2242,2402,2548,2724,2860,3018,3192,3334,3517,3662,3835,3990
42,0.10957101910043532,0.12324721736280131,72.965390714965,67.25357216349181,0.9,0.001,171,328,482,648,827,950,1132,1295,1436,1612,1763,1916,2078,2243,2402,2549,2724,2860,3017,3192,3334,3516,3661,3834,3990
43,0.11927316109377228,0.1339439174993825,72.56678295391941,66.84205526135847,0.92,0.001,171,328,483,648,828,950,1133,1295,1436,1612,1764,1916,2078,2243,2402,2549,2724,2860,3016,3191,3333,3516,3661,3834,3990
44,0.12946605158481372,0.144846428521886,72.14564533376218,66.41999490105559,0.94,0.001,171,328,483,648,828,949,1133,1295,1436,1612,1764,1916,2079,2243,2402,2549,2724,2860,3016,3191,3332,3515,3660,3834,3990
45,0.13947664679748673,0.15522545543590738,71.7296356117888,66.01568971890319,0.96,0.001,171,328,483,648,829,949,1134,1296,1437,1612,1764,1916,2079,2243,2402,2549,2724,2860,3015,3191,3332,3515,3660,3834,3990
46,0.14857444279885446,0.16434890682788028,71.34944403471201,65.65823934991899,0.97,0.001,172,329,483,647,829,948,1135,1296,1437,1612,1764,1916,2079,2243,2402,2549,2724,2860,3014,3191,3331,3514,3659,3833,3989
47,0.15669535546752444,0.1722933597386136,71.00836562181424,65.34539392958389,0.99,0.001,172,329,483,647,829,948,1135,1297,1437,1613,1764,1916,2080,2243,2402,2549,2724,2860,3014,3190,3331,3514,3659,3833,3989
48,0.16446393762561395,0.18000437985865891,70.68054370060052,65.04030075773213,1.01,0.001,172,329,483,647,830,947,1136,1297,1437,1613,1765,1916,2080,2243,2402,2550,2723,2860,3013,3190,3330,3513,3659,3832,3989
49,0.17246417576113737,0.1882842766097601,70.34134477784917,64.71109548528946,1.03,0.001,172,329,483,647,830,947,1137,1297,1437,1613,1765,1916,2080,2243,2402,2550,2723,2860,3012,3190,3329,3513,3658,3832,3989
50,0.18057164887413868,0.19698891711505961,69.99592273281887,64.36318914711654,1.05,0.001,172,329,483,647,830,946,1138,1298,1437,1613,1765,1916,2081,2243,2402,2550,2723,2860,3012,3189,3329,3512,3658,3831,3989
