epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10
45,0.3626069148295386,0.37378114842903576,0.1931756696358946,0.20354415639672452,0.32,0.001,19,36,56,72,91,108,124,146,160,181
46,0.36248644741597397,0.37378114842903576,0.19338769078937146,0.20390427046369552,0.32,0.001,19,36,56,72,91,108,124,146,160,181
47,0.36248644741597397,0.37378114842903576,0.19366449906910221,0.20390427046369552,0.33,0.001,19,36,56,72,91,108,124,146,160,181
48,0.36248644741597397,0.37378114842903576,0.19385378476751525,0.20402423613069376,0.33,0.001,19,36,56,72,91,108,124,146,160,181
49,0.36224551258884474,0.37378114842903576,0.193782051825371,0.20402423613069376,0.34,0.001,19,36,56,73,91,108,124,146,160,181
50,0.36224551258884474,0.37378114842903576,0.1938548158107829,0.20402423613069376,0.35,0.001,19,36,56,73,91,108,124,146,160,181
51,0.36224551258884474,0.37378114842903576,0.1940148503547524,0.20414416564728344,0.36,0.001,19,36,56,73,91,108,124,146,160,181
52,0.36224551258884474,0.37378114842903576,0.19417482137177278,0.20450373745793227,0.36,0.001,19,36,56,73,91,108,124,146,160,181
53,0.36224551258884474,0.37378114842903576,0.19434926280073783,0.20450373745793227,0.37,0.001,19,36,56,73,91,108,124,146,160,181
54,0.36224551258884474,0.37378114842903576,0.19450910111085562,0.20486298450247853,0.38,0.001,19,36,56,73,91,108,123,146,160,181
55,0.36224551258884474,0.37378114842903576,0.194697919182921,0.20498266142311938,0.38,0.001,19,37,56,73,91,108,123,146,160,181
56,0.36224551258884474,0.37378114842903576,0.19481407092628966,0.2053414761301855,0.39,0.001,19,37,56,73,91,108,123,147,160,181
57,0.36224551258884474,0.37378114842903576,0.19501725587370689,0.20558050605165346,0.4,0.001,19,37,56,73,91,108,123,147,160,181
58,0.3621250451752801,0.37378114842903576,0.19498128177145535,0.20569996709610472,0.4,0.001,19,37,56,73,91,108,123,147,160,181
59,0.3621250451752801,0.37378114842903576,0.195169842953565,0.20569996709610472,0.41,0.001,19,37,56,73,91,108,123,147,160,181
60,0.36200457776171546,0.37378114842903576,0.19532231460687233,0.20569996709610472,0.42,0.001,19,37,56,73,91,108,123,147,160,181
61,0.36200457776171546,0.37378114842903576,0.19540926367754585,0.20629673380365932,0.42,0.001,19,37,56,73,91,108,123,147,160,181
62,0.36200457776171546,0.37378114842903576,0.19559758888396683,0.20653518948182514,0.43,0.001,19,37,56,73,91,108,123,147,160,181
63,0.36200457776171546,0.37378114842903576,0.19564103602789162,0.20653518948182514,0.44,0.001,19,37,56,73,91,108,123,147,160,181
64,0.36200457776171546,0.37378114842903576,0.19569895825294814,0.2066543635987812,0.44,0.001,19,37,56,74,91,108,123,147,160,181
65,0.36200457776171546,0.37378114842903576,0.1958147776806436,0.20689260446910263,0.45,0.001,19,37,56,74,91,108,123,147,160,181
66,0.36200457776171546,0.37378114842903576,0.19585820136689536,0.20701167125470443,0.46,0.001,19,37,56,74,91,108,123,147,160,181
