epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25,band_26,band_27,band_28,band_29,band_30
0,0,0,96.99069704100492,98.8901201302486,0.15,0.001,138,272,407,540,675,809,943,1077,1211,1345,1479,1611,1745,1879,2015,2147,2281,2417,2549,2683,2817,2951,3085,3219,3353,3487,3622,3756,3890,4024
1,0,0,86.39092031736466,88.40629418521343,0.17,0.001,138,273,407,540,675,809,944,1078,1212,1346,1480,1610,1745,1878,2016,2146,2281,2418,2548,2682,2816,2950,3084,3219,3353,3487,3621,3755,3889,4024
2,0,0,80.36335330663785,82.42446826489086,0.18,0.001,139,273,407,540,676,810,944,1078,1213,1347,1481,1610,1744,1877,2017,2145,2282,2419,2547,2682,2816,2949,3084,3218,3352,3486,3621,3755,3889,4024
3,0,0,78.74338699912362,80.75110958506237,0.2,0.001,139,273,408,540,676,811,945,1079,1214,1348,1482,1610,1744,1876,2018,2145,2282,2420,2547,2681,2815,2949,3083,3217,3351,3486,3620,3755,3889,4023
4,0,0,80.37262158708803,82.2643295838178,0.22,0.001,139,273,408,540,677,811,946,1080,1214,1348,1482,1609,1744,1876,2018,2144,2283,2421,2546,2680,2815,2948,3083,3217,3351,3486,3620,3754,3889,4023
5,0,0,82.7312455144669,84.51866819488757,0.24,0.001,139,274,408,541,677,812,946,1081,1215,1349,1483,1609,1744,1875,2019,2144,2283,2421,2546,2679,2814,2948,3082,3216,3350,3485,3619,3754,3888,4023
6,0,0,83.97591672523588,85.70328879884073,0.26,0.001,139,274,409,541,678,813,947,1081,1216,1349,1483,1610,1744,1875,2019,2144,2283,2421,2545,2679,2814,2947,3081,3215,3350,3485,3619,3754,3888,4023
7,0,0,83.81173098081199,85.52961726611139,0.28,0.001,139,274,409,542,678,813,948,1082,1217,1350,1484,1610,1743,1874,2020,2144,2282,2421,2545,2678,2813,2947,3081,3215,3349,3484,3618,3754,3888,4023
8,0,0,82.74838319795137,84.48749734150758,0.3,0.001,139,274,409,542,679,814,948,1082,1218,1350,1484,1610,1743,1874,2021,2144,2282,2420,2544,2677,2812,2947,3081,3215,3348,3484,3618,3753,3888,4023
9,0,0,81.19296375475679,82.9723869259376,0.32,0.001,140,275,409,542,679,814,949,1083,1219,1350,1484,1611,1743,1873,2021,2144,2282,2420,2544,2677,2811,2947,3080,3215,3348,3484,3618,3753,3888,4022
10,0,0,79.59202307215686,81.41784946151243,0.33,0.001,140,275,410,543,680,815,950,1083,1220,1351,1484,1611,1742,1873,2022,2144,2282,2420,2544,2676,2810,2947,3080,3215,3347,3484,3617,3753,3888,4022
11,0,0,78.28276882259115,80.15345999043024,0.35,0.001,140,275,410,543,680,815,950,1084,1220,1351,1484,1612,1742,1873,2022,2145,2282,2420,2544,2675,2810,2947,3079,3215,3346,3483,3617,3753,3888,4022
12,0,0,77.44861262576786,79.34458078533152,0.37,0.001,140,275,410,544,681,816,951,1085,1221,1351,1484,1612,1742,1872,2023,2145,2282,2421,2543,2675,2809,2948,3079,3215,3346,3483,3616,3752,3887,4022
13,0,0,77.12995387757113,79.03967061703888,0.39,0.001,140,276,410,544,681,816,951,1085,1222,1352,1484,1612,1742,1872,2023,2145,2282,2421,2543,2674,2808,2948,3079,3214,3345,3483,3616,3752,3887,4022
14,0,0,77.11628166890245,79.03105538232265,0.41,0.001,140,276,410,545,682,817,952,1086,1223,1352,1485,1613,1742,1872,2023,2146,2282,2421,2543,2673,2808,2948,3078,3214,3344,3483,3615,3752,3887,4021
