epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,lr,band_1,band_2,band_3,band_4,band_5
61,0.35819202279365636,0.37283373749200754,61.55109943613416,55.13318834451033,0.84,0.001,656,1421,2123,2715,3464
62,0.36151566389772183,0.3763469461974247,61.39151779383899,54.978551393077375,0.85,0.001,655,1421,2124,2714,3464
63,0.3650192427125978,0.3791586965517735,61.22284953093494,54.85447722725101,0.86,0.001,654,1421,2124,2714,3464
64,0.3683722052271754,0.38175969373133967,61.06099465583062,54.73945077093051,0.88,0.001,653,1422,2125,2713,3464
65,0.3719153600643841,0.38558584164038534,60.88949030248878,54.56980191690272,0.89,0.001,652,1422,2125,2713,3464
66,0.3753674195359662,0.3896042769063379,60.721930404354325,54.391058153259436,0.9,0.001,652,1422,2125,2712,3465
67,0.37890192723062954,0.3929756415745619,60.54988903788346,54.24064309428171,0.91,0.001,651,1422,2126,2712,3464
68,0.38239977915652357,0.3959422591537527,60.37914670995173,54.10793791406673,0.92,0.001,650,1423,2126,2711,3464
69,0.38598763411401726,0.39970327859237154,60.20350822289138,53.939231305499014,0.93,0.001,649,1423,2126,2711,3464
70,0.3897285604781764,0.4041128086146929,60.019831114000354,53.74076047040551,0.94,0.001,649,1423,2127,2710,3464
71,0.39336787289320563,0.40748599607551095,59.84060043931294,53.58843586991857,0.96,0.001,648,1424,2127,2710,3464
72,0.3969343451092512,0.41033134047871056,59.664436398101714,53.45961256669609,0.97,0.001,647,1424,2127,2709,3464
73,0.4007424269194412,0.4145634919716268,59.47576359390542,53.26742168427739,0.98,0.001,646,1424,2127,2709,3464
74,0.4044549997179828,0.41837592643946686,59.291242321405484,53.09369711960286,0.99,0.001,645,1424,2128,2708,3464
75,0.4083139317118344,0.42128901820817855,59.0988334837552,52.960570441455545,1.0,0.001,645,1424,2128,2708,3463
76,0.41225000188004257,0.4250387976966027,58.90193535259474,52.78870812094311,1.01,0.001,644,1424,2128,2708,3463
77,0.41622782728896135,0.4293874461724795,58.70227657757938,52.5886992524297,1.02,0.001,643,1424,2128,2707,3463
78,0.4204014015493661,0.43295797720705687,58.49205967412906,52.423907840614575,1.04,0.001,642,1424,2128,2707,3463
