epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25,band_26,band_27,band_28,band_29,band_30
0,0.21370919166365498,0.22643553629469124,0.04596489022384176,0.03913463767545422,0.01,0.001,7,13,19,26,32,38,45,51,58,64,70,77,83,89,96,102,109,115,121,128,134,141,147,153,160,166,172,179,185,192
1,0.2364775328273702,0.2676056338028169,0.0003504073138262953,0.0,0.02,0.001,7,13,19,26,32,38,45,51,58,64,70,77,83,89,96,102,109,115,121,128,134,141,147,153,160,166,172,179,185,192
2,0.23623659800024094,0.2676056338028169,0.0,0.0,0.03,0.001,7,13,19,26,32,38,45,51,58,64,71,77,83,89,96,102,109,115,121,128,134,141,147,153,160,166,172,179,185,192
3,0.23623659800024094,0.2676056338028169,0.0,0.0,0.03,0.001,7,13,19,26,32,38,45,51,58,64,71,77,83,89,96,102,108,115,122,128,134,141,147,153,160,166,172,179,185,192
4,0.23623659800024094,0.2676056338028169,0.0,0.0,0.04,0.001,7,13,19,26,32,38,45,51,58,64,71,77,83,89,96,102,108,115,122,128,134,141,147,153,160,166,172,179,185,192
5,0.23623659800024094,0.2676056338028169,0.0,0.0,0.05,0.001,7,13,19,26,32,38,45,51,58,64,71,77,83,89,96,102,108,115,122,128,134,141,147,153,160,166,172,179,185,192
6,0.23623659800024094,0.2676056338028169,0.0,0.0,0.05,0.001,7,13,19,26,32,38,45,51,58,64,71,77,83,89,96,102,108,115,122,128,134,141,147,153,160,166,172,179,185,192
7,0.23623659800024094,0.2676056338028169,0.0,0.0,0.06,0.001,7,13,19,26,32,38,45,51,58,64,71,77,83,89,96,102,108,115,122,128,134,141,147,153,160,166,172,179,185,192
8,0.23623659800024094,0.2676056338028169,0.0,0.0,0.07,0.001,7,13,20,26,32,38,45,51,58,64,71,77,83,89,96,102,108,115,122,128,134,141,147,153,160,166,172,179,185,192
9,0.23623659800024094,0.2676056338028169,0.0,0.0,0.08,0.001,7,13,20,26,32,38,45,51,58,64,71,77,83,89,96,102,108,115,122,128,134,141,147,153,160,166,172,179,185,192
10,0.23623659800024094,0.2676056338028169,0.0,0.0,0.08,0.001,7,13,20,26,32,38,45,51,58,64,71,77,83,89,96,102,108,115,122,128,134,141,147,153,160,166,172,179,185,192
11,0.23623659800024094,0.2676056338028169,0.0,0.0,0.09,0.001,7,13,20,26,32,38,45,51,58,64,71,77,83,89,97,102,108,114,122,128,134,141,147,153,160,166,172,179,185,192
12,0.23623659800024094,0.2676056338028169,0.0,0.0,0.1,0.001,7,13,20,26,32,38,45,51,58,64,71,77,83,89,97,102,108,114,122,128,134,141,147,153,160,166,172,179,185,192
13,0.23623659800024094,0.2676056338028169,0.0,0.0,0.11,0.001,7,13,20,26,32,38,45,51,58,64,71,77,83,89,97,102,108,114,122,128,134,141,147,153,160,166,172,179,185,192
14,0.23623659800024094,0.2676056338028169,0.0,0.0,0.11,0.001,7,13,20,26,32,38,45,51,58,64,71,77,83,89,97,102,108,114,122,128,134,141,147,153,160,166,172,179,185,192
15,0.23623659800024094,0.2676056338028169,0.0,0.0,0.12,0.001,7,13,20,26,32,38,45,51,58,64,71,77,83,89,97,101,108,114,122,128,134,141,148,153,160,166,172,179,185,192
16,0.23623659800024094,0.2676056338028169,0.0,0.0,0.13,0.001,7,13,20,26,32,38,45,51,58,64,71,77,83,89,97,101,108,114,122,128,134,141,148,153,160,166,173,179,185,192
17,0.23623659800024094,0.2676056338028169,0.0,0.0,0.14,0.001,7,13,20,26,32,38,45,51,58,64,70,77,83,89,97,101,108,114,122,128,134,141,148,153,160,166,173,179,185,192
18,0.23623659800024094,0.2676056338028169,0.0,0.0,0.14,0.001,7,13,20,26,32,38,45,50,58,64,70,77,83,89,97,101,108,114,122,128,134,141,148,153,160,167,173,178,185,192
19,0.23623659800024094,0.2676056338028169,0.0,0.0,0.15,0.001,7,13,20,26,32,38,45,50,58,64,70,77,83,89,97,101,108,114,122,128,134,141,148,153,160,167,173,178,185,192
20,0.23623659800024094,0.2676056338028169,0.0,0.0,0.16,0.001,7,13,20,26,32,38,45,50,58,64,70,77,83,89,97,101,108,114,122,128,134,141,148,153,160,167,173,178,185,192
21,0.23623659800024094,0.2676056338028169,0.0,0.0,0.16,0.001,7,13,20,26,32,39,45,50,59,64,70,77,83,89,97,101,108,114,122,128,134,141,148,153,160,167,173,178,185,192
22,0.23623659800024094,0.2676056338028169,0.0,0.0,0.17,0.001,7,13,20,26,32,39,45,50,59,64,70,78,83,89,97,101,107,114,122,129,134,142,148,153,160,167,173,178,185,192
23,0.23623659800024094,0.2676056338028169,0.0,0.0,0.18,0.001,7,13,20,26,32,39,45,50,59,64,70,78,83,89,97,101,107,114,122,129,134,142,148,153,160,167,173,178,185,192
24,0.23623659800024094,0.2676056338028169,0.0,0.0,0.19,0.001,7,13,20,26,32,39,45,50,59,64,70,78,83,89,97,101,107,114,122,129,135,142,148,153,160,167,173,178,185,192
25,0.23623659800024094,0.2676056338028169,0.0,0.0,0.19,0.001,7,13,20,26,32,39,45,50,59,64,70,78,83,89,97,101,107,114,122,129,135,142,148,153,160,167,173,178,185,192
26,0.23623659800024094,0.2676056338028169,0.0,0.0,0.2,0.001,7,13,20,26,32,39,45,50,59,64,70,78,83,89,97,101,108,114,122,129,135,142,148,153,160,167,173,178,185,192
27,0.23623659800024094,0.2676056338028169,0.0,0.0,0.21,0.001,7,13,20,26,32,39,45,50,59,64,70,78,83,89,97,101,108,114,122,129,135,142,148,153,160,167,173,178,185,192
28,0.23623659800024094,0.2676056338028169,0.0,0.0,0.22,0.001,7,13,20,26,32,39,45,50,59,64,70,78,83,89,97,101,108,114,122,129,135,142,148,153,160,167,173,178,185,192
29,0.2643055053607999,0.29469122426868904,0.04175936073698072,0.04399354678580292,0.22,0.001,7,13,20,26,32,39,45,50,59,64,70,78,83,89,97,101,108,113,122,129,135,142,148,153,160,166,173,178,185,192
30,0.3483917600289122,0.37269772481040087,0.164632038981263,0.1667882767846285,0.23,0.001,7,13,20,26,32,39,45,50,59,64,70,78,83,89,97,101,108,113,122,129,135,142,148,153,160,166,173,178,185,192
31,0.3582700879412119,0.37594799566630555,0.1793189595366712,0.17368463590075167,0.24,0.001,7,13,20,26,32,39,45,50,59,64,70,78,83,89,97,101,108,113,122,129,135,142,148,153,160,166,173,178,185,192
32,0.3600770991446814,0.3781148429035753,0.18270440030085877,0.17783291976840365,0.25,0.001,7,13,20,26,32,39,45,50,59,64,70,78,83,89,97,101,108,113,122,129,135,141,148,153,160,166,173,178,185,192
33,0.3605589687989399,0.3781148429035753,0.18430739348737457,0.1798349768565104,0.26,0.001,7,13,20,26,32,39,45,50,59,64,70,78,83,89,97,101,108,113,122,129,135,141,148,153,160,166,173,178,185,192
34,0.3607999036260692,0.37919826652221017,0.1864299164026194,0.18379343551881866,0.26,0.001,7,13,20,26,32,39,45,50,59,65,70,78,83,89,97,101,108,113,122,129,135,141,148,153,160,166,173,178,185,192
35,0.3607999036260692,0.38028169014084506,0.18921310877900888,0.18844170896446988,0.27,0.001,7,12,20,26,32,39,45,50,59,65,70,78,83,89,97,101,108,113,122,129,135,141,148,153,160,166,173,178,185,192
36,0.36092037103963376,0.38028169014084506,0.19158383960917102,0.19199395169312794,0.28,0.001,7,12,20,26,32,39,45,50,59,65,70,78,83,89,97,101,108,113,122,129,135,141,148,153,160,166,173,178,185,192
37,0.36092037103963376,0.38028169014084506,0.19283800711101917,0.1948134343153971,0.29,0.001,7,12,20,27,32,39,45,50,59,65,70,78,83,89,97,101,108,113,122,129,135,141,148,153,160,166,173,178,185,192
38,0.36092037103963376,0.38028169014084506,0.19381681837703768,0.1956904917513318,0.29,0.001,7,12,20,27,31,39,45,50,59,65,70,78,83,89,97,101,108,113,122,129,135,141,148,153,160,166,173,178,185,192
39,0.3607999036260692,0.38028169014084506,0.19412633038819804,0.19691516709511558,0.3,0.001,7,12,20,27,31,39,45,50,59,65,70,78,83,89,97,101,108,113,122,129,135,141,148,153,160,166,173,178,185,192
40,0.3607999036260692,0.38028169014084506,0.19456018099448213,0.19743888702250856,0.31,0.001,7,12,20,27,31,39,45,50,59,65,70,78,82,89,97,101,108,113,121,129,135,141,148,153,160,166,173,178,185,192
41,0.3605589687989399,0.38028169014084506,0.1946359643430945,0.1976133085707512,0.31,0.001,7,12,20,27,31,39,45,50,59,65,70,78,82,89,97,101,108,113,121,129,135,141,148,153,160,166,173,178,185,192
42,0.3605589687989399,0.38028169014084506,0.1950149864641335,0.1976133085707512,0.32,0.001,7,12,20,27,31,39,45,50,59,65,70,78,82,89,97,101,108,113,121,129,135,141,148,153,160,166,173,178,185,192
43,0.3605589687989399,0.38028169014084506,0.19524493303404278,0.1976133085707512,0.33,0.001,7,12,20,27,31,39,45,50,59,65,71,78,82,89,97,101,108,113,121,129,136,141,149,153,160,166,173,178,185,192
44,0.3605589687989399,0.38028169014084506,0.19547474827150624,0.19813611862499247,0.34,0.001,7,12,20,27,31,39,45,50,59,65,71,78,82,89,97,101,108,113,121,129,136,141,149,153,160,166,173,178,185,192
45,0.3605589687989399,0.38028169014084506,0.19569092509482122,0.19831023727742902,0.34,0.001,7,12,20,27,31,39,45,50,59,65,71,78,82,89,97,101,108,112,121,129,136,141,149,153,160,166,173,178,185,192
46,0.36043850138537525,0.38028169014084506,0.19589050318961543,0.1990059563725297,0.35,0.001,7,12,20,27,31,39,45,50,59,65,71,78,82,89,97,101,108,112,121,129,136,141,149,153,160,166,173,178,185,191
47,0.36043850138537525,0.38028169014084506,0.19624130264691342,0.199179697513458,0.36,0.001,7,12,20,27,31,39,45,50,59,65,71,77,82,89,97,101,108,112,121,129,136,141,149,153,160,166,173,178,185,191
48,0.3603180339718106,0.38028169014084506,0.19642698927495172,0.20056691797405568,0.37,0.001,7,12,20,27,31,39,45,50,59,65,71,77,82,89,97,101,108,112,121,129,136,141,149,153,160,166,173,178,185,191
49,0.360197566558246,0.38028169014084506,0.19669332535491968,0.2010858873981981,0.37,0.001,7,12,20,27,31,39,45,50,59,65,71,77,82,89,97,101,108,112,121,129,136,141,149,154,160,166,173,178,185,191
50,0.3600770991446814,0.38028169014084506,0.19694592983083659,0.20212180746561892,0.38,0.001,7,12,20,27,31,39,45,50,59,65,71,77,82,89,97,101,108,112,121,129,136,141,149,154,160,166,173,178,185,191
51,0.35995663173111675,0.38028169014084506,0.19711760732990957,0.20263876072487386,0.39,0.001,7,12,20,27,31,39,45,50,59,65,71,77,82,89,97,101,108,112,121,129,136,141,149,154,160,166,173,178,185,191
52,0.35995663173111675,0.37919826652221017,0.19756110918450853,0.2017619589530275,0.4,0.001,7,12,20,27,31,39,45,50,59,66,71,77,82,89,97,101,108,112,121,129,136,141,149,154,160,166,173,178,185,191
53,0.3598361643175521,0.37919826652221017,0.1977994891262007,0.20227847604854987,0.4,0.001,7,12,20,27,31,39,45,50,59,66,71,77,82,89,97,101,108,112,121,130,136,141,149,154,160,166,173,178,185,191
54,0.3598361643175521,0.37919826652221017,0.1981482969370716,0.20296612659914182,0.41,0.001,7,12,20,27,31,39,45,50,59,66,71,77,82,89,97,101,108,112,121,130,136,141,149,154,160,166,173,178,185,191
55,0.35971569690398747,0.37919826652221017,0.1983325720004666,0.20348108700759648,0.42,0.001,7,12,20,27,31,39,45,50,59,66,71,77,82,89,97,101,108,112,121,130,136,141,149,154,160,166,173,178,185,191
56,0.35959522949042283,0.37919826652221017,0.19835595096700964,0.20348108700759648,0.43,0.001,7,12,20,27,31,39,45,50,59,66,71,77,82,89,97,101,108,112,121,130,136,141,149,154,160,166,173,178,185,191
57,0.35959522949042283,0.37919826652221017,0.1985300853739027,0.20382402442365655,0.43,0.001,7,12,20,27,31,39,45,50,59,66,71,77,82,89,97,101,108,112,121,130,136,141,149,154,160,166,173,179,185,191
58,0.35959522949042283,0.37919826652221017,0.1985836499725948,0.20416666666666672,0.44,0.001,7,12,20,27,31,39,45,50,59,66,71,77,82,89,97,101,108,112,121,130,136,141,149,154,160,166,173,179,185,191
59,0.35959522949042283,0.37919826652221017,0.19862381872325685,0.20416666666666672,0.45,0.001,7,12,20,27,31,39,45,50,59,66,72,77,82,89,97,101,108,112,121,130,136,141,149,154,160,166,173,179,185,191
60,0.35959522949042283,0.37919826652221017,0.1986372074120052,0.20416666666666672,0.46,0.001,7,12,20,27,31,39,45,50,59,66,72,77,82,89,97,101,108,112,121,130,136,141,149,154,160,166,173,179,185,191
61,0.35959522949042283,0.37919826652221017,0.19865059565338827,0.20416666666666672,0.46,0.001,7,12,21,27,31,39,45,50,59,66,72,77,82,89,97,101,108,112,121,130,136,141,149,154,160,166,173,179,185,191
62,0.35959522949042283,0.37919826652221017,0.19865059565338827,0.20416666666666672,0.47,0.001,7,12,21,27,31,39,45,50,59,66,72,77,82,89,97,101,108,112,121,130,136,140,149,154,160,166,173,179,185,191
