epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,lr,band_1,band_2,band_3,band_4,band_5
0,0,0,77.78434794453348,79.65585768832383,0.14,0.001,696,1390,2080,2772,3465
1,0.02257180574033746,0.021939740991713585,75.43317290303219,77.21542700761779,0.15,0.001,695,1391,2080,2772,3464
2,0.06079142958938688,0.06345074876520618,73.94366455176366,75.55906216331698,0.16,0.001,695,1391,2080,2771,3464
3,0.06887242660905213,0.07515000137359451,73.62486735981261,75.08564445955199,0.17,0.001,694,1392,2080,2770,3463
4,0.09738940573956312,0.10443124685836902,72.48867772581798,73.88745797029763,0.18,0.001,694,1392,2081,2769,3463
5,0.12793607747471536,0.13434620238364225,71.25152136533647,72.64293560801353,0.2,0.001,693,1393,2082,2768,3462
6,0.13701328696700055,0.14356619202663634,70.8797190338146,72.25504483360487,0.21,0.001,693,1393,2083,2767,3462
7,0.14229934897683505,0.14986055312975521,70.66231038803501,71.98903657306958,0.22,0.001,692,1394,2084,2766,3461
8,0.15840852807832306,0.1676707252040197,69.99558091519957,71.23096990929402,0.23,0.001,692,1395,2085,2765,3461
9,0.17115700701444925,0.18297065258473433,69.46340791425727,70.57324915358333,0.24,0.001,691,1395,2086,2764,3460
10,0.17310260102264152,0.18778951726043713,69.38183384134135,70.36481734170316,0.25,0.001,691,1396,2087,2763,3460
11,0.1768799803819252,0.1933663860894953,69.22318340768322,70.1228275064547,0.26,0.001,690,1396,2088,2762,3459
12,0.1870005049861504,0.2038072974352897,68.79630542859842,69.66752095892676,0.28,0.001,689,1397,2089,2761,3459
13,0.1923747794786601,0.20912817523122507,68.56853893185999,69.43433906509264,0.29,0.001,689,1397,2090,2760,3459
14,0.19186789300672524,0.20904529139859618,68.59004830558511,69.43797817117085,0.3,0.001,688,1398,2091,2759,3458
15,0.19537095328220577,0.2135781602129101,68.44123134805145,69.23872454459642,0.31,0.001,688,1399,2092,2758,3458
16,0.20196461904490504,0.22171877419788566,68.16022956630391,68.87943426628699,0.32,0.001,687,1399,2093,2757,3458
17,0.20425688993146018,0.2258156892897858,68.06226325716402,68.69789929239103,0.33,0.001,686,1400,2094,2756,3457
18,0.2048273333013857,0.2276004763514381,68.03786356806224,68.61866361343502,0.34,0.001,686,1400,2095,2755,3457
19,0.20960101337876436,0.23242853907761418,67.83333133381959,68.40386944807106,0.35,0.001,685,1401,2096,2754,3457
20,0.2150200875664744,0.23725331959865703,67.60039192402105,68.18854905815382,0.36,0.001,684,1402,2097,2753,3456
21,0.21721586306327068,0.23895530434474488,67.50577955580914,68.11242716549602,0.37,0.001,684,1402,2098,2752,3456
22,0.2199558810975264,0.24164375626939416,67.38753289625426,67.99201469658037,0.39,0.001,683,1403,2099,2751,3456
23,0.22524009060197892,0.24732559551753164,67.1588892571192,67.7368241339229,0.4,0.001,683,1403,2100,2750,3456
24,0.22929367926262034,0.252082740923547,66.98297358284417,67.52242466048779,0.41,0.001,682,1404,2101,2749,3456
25,0.2316228122185664,0.2549351855173242,66.88168409937619,67.39354307674809,0.42,0.001,681,1404,2102,2748,3455
26,0.2357364075704007,0.2589116620785499,66.70241310524305,67.21345792161901,0.43,0.001,681,1404,2103,2747,3455
27,0.24095049365455112,0.2634565977359369,66.47448699971291,67.00703962551248,0.44,0.001,680,1405,2103,2746,3455
28,0.2445014621348035,0.2663957541661498,66.31881744177139,66.87321113261648,0.45,0.001,679,1405,2104,2745,3455
29,0.24778331573486545,0.2694213942558039,66.17461808068862,66.73516703756161,0.46,0.001,679,1406,2105,2744,3455
30,0.25236689476918417,0.2741319222618105,65.97269499099609,66.51967152067688,0.48,0.001,678,1406,2106,2743,3455
31,0.2563281607945255,0.2784600979974913,65.79768574363958,66.3210556450589,0.49,0.001,677,1407,2107,2741,3455
32,0.25912919091967423,0.28153247434960516,65.6736538392204,66.17970917320504,0.5,0.001,677,1407,2108,2740,3455
33,0.26271177765388165,0.28500949321053815,65.51467661190506,66.01937674250455,0.51,0.001,676,1408,2108,2739,3455
34,0.26667818172691105,0.28855149554519266,65.33821637855789,65.85564380000017,0.52,0.001,675,1408,2109,2738,3455
35,0.2696500213590476,0.2911450930664077,65.20568792890118,65.73549106195412,0.53,0.001,675,1409,2110,2737,3455
36,0.27268254331744124,0.2940965082872148,65.07017696062844,65.59850283519243,0.54,0.001,674,1409,2110,2736,3456
37,0.27638505442114736,0.29806541510344653,64.90433540146799,65.41383436676449,0.55,0.001,673,1410,2111,2735,3456
38,0.27950945856004794,0.30161058951591624,64.76406625084431,65.24843224289953,0.56,0.001,673,1410,2112,2734,3456
39,0.28242343662503666,0.30473645351503753,64.63296689891506,65.10224830507008,0.58,0.001,672,1411,2112,2733,3456
40,0.28606610155266277,0.30821912617355374,64.46870834341844,64.9389887942906,0.59,0.001,671,1411,2113,2732,3456
41,0.2894790202337313,0.3113182381270079,64.3144284210394,64.79336898219215,0.6,0.001,671,1411,2114,2731,3457
42,0.292592843147936,0.31428140297838947,64.17334541473392,64.653825776206,0.61,0.001,670,1412,2114,2730,3457
43,0.29626470550454886,0.3181056618860205,64.00658001452858,64.47328661934337,0.62,0.001,669,1412,2115,2729,3457
44,0.2997808213902128,0.321963979906995,63.846480301383885,64.29062279747724,0.63,0.001,668,1413,2116,2728,3457
45,0.30304173120802,0.325429535978599,63.69764049238304,64.12611551783135,0.64,0.001,668,1413,2116,2727,3458
46,0.30676455202410136,0.32904879939525167,63.52728790522818,63.95385604578507,0.65,0.001,667,1414,2117,2726,3458
47,0.3103048072320669,0.33234644216796616,63.364873374247146,63.79649996828294,0.66,0.001,666,1414,2117,2725,3458
48,0.313545880608162,0.335526683203483,63.21581107231995,63.64437864881509,0.68,0.001,665,1415,2118,2724,3459
49,0.3170406069401507,0.33909131951284643,63.05468895195761,63.473435019108585,0.69,0.001,665,1415,2118,2723,3459
50,0.32057469907110725,0.3428396133991788,62.89133539971444,63.293185602796136,0.7,0.001,664,1416,2119,2722,3459
51,0.3239479188879131,0.34635356103862047,62.735019065809645,63.12373915820022,0.71,0.001,663,1416,2119,2722,3460
52,0.3273591155151545,0.34982722059087046,62.57654297313611,62.955787282375795,0.72,0.001,662,1417,2120,2721,3460
53,0.33067854237982897,0.35317939816893895,62.42194931159532,62.793282585724285,0.73,0.001,662,1417,2120,2720,3460
54,0.3340173945683904,0.35657108486482547,62.2660641452519,62.628434443000806,0.74,0.001,661,1418,2121,2719,3461
55,0.33739816993975635,0.360006322842343,62.10781837671989,62.46102691128685,0.75,0.001,660,1418,2121,2719,3461
56,0.3407621974073217,0.3633972343298081,61.949956570934134,62.29533481918509,0.76,0.001,659,1419,2122,2718,3461
