epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,lr,band_1,band_2,band_3,band_4,band_5
61,0.510952804986643,0.4791666666666667,0.2912150892015133,0.2586608373330799,0.34,0.001,23,42,63,87,110
62,0.5129118432769367,0.4807692307692308,0.2948188671945009,0.26109314182336496,0.35,0.001,23,42,63,87,110
63,0.5148708815672306,0.4823717948717949,0.29816184392669554,0.2641321372632778,0.36,0.001,23,42,63,87,110
64,0.5170080142475512,0.4855769230769231,0.3019741479953899,0.26910221417833113,0.36,0.001,23,42,63,87,110
65,0.5191451469278717,0.49038461538461536,0.3054435986804047,0.2763423253235694,0.37,0.001,23,42,63,87,110
66,0.5211041852181656,0.49198717948717946,0.30892661957118095,0.27902552102696443,0.37,0.001,23,42,63,87,110
67,0.5214603739982191,0.49038461538461536,0.3098821098357193,0.2770120344967044,0.38,0.001,23,42,63,87,110
68,0.5225289403383794,0.4935897435897436,0.3116346513858107,0.28144655233986116,0.38,0.001,23,42,63,87,110
69,0.523953695458593,0.4967948717948718,0.3141869569866236,0.28639742436437676,0.39,0.001,23,43,63,87,110
70,0.5257346393588602,0.4983974358974359,0.317270492838843,0.28899890789952676,0.39,0.001,23,43,63,87,110
71,0.5260908281389136,0.4983974358974359,0.31840840139320714,0.2893998653835659,0.4,0.001,23,43,63,87,110
72,0.5269813000890472,0.4983974358974359,0.3201767661480719,0.2893998653835659,0.4,0.001,23,43,63,87,110
73,0.5292965271593945,0.4967948717948718,0.3239024655590117,0.2874588154861045,0.41,0.001,23,43,63,87,110
74,0.5303650934995547,0.5032051282051282,0.32578761826516967,0.2969295184926728,0.41,0.001,23,43,63,87,110
75,0.5319679430097952,0.5064102564102564,0.32871205756831534,0.30225162100738434,0.42,0.001,23,43,63,87,110
76,0.5335707925200356,0.5080128205128205,0.3315281722408695,0.30487034900176346,0.43,0.001,23,43,63,87,110
77,0.5360641139804097,0.5080128205128205,0.3358669121711084,0.30543993734862873,0.43,0.001,23,43,63,87,110
78,0.5373107747105966,0.5144230769230769,0.3382415883613604,0.3144846089699431,0.44,0.001,23,43,63,87,110
79,0.5401602849510241,0.5144230769230769,0.3427952298616287,0.31490191247128385,0.44,0.001,23,43,63,87,110
80,0.5396260017809439,0.5176282051282052,0.3424575128779983,0.31997842166812096,0.45,0.001,23,43,63,87,110
81,0.5410507569011576,0.5176282051282052,0.3448753686471232,0.32014579887139805,0.45,0.001,23,43,63,87,110
82,0.5414069456812111,0.5208333333333334,0.3456203513864098,0.3241787498234163,0.46,0.001,23,43,63,87,110
83,0.5419412288512911,0.5240384615384616,0.3462558635635755,0.32900553586363457,0.47,0.001,23,43,63,87,110
84,0.5428317008014247,0.5224358974358975,0.34761903684258166,0.32701919214218744,0.47,0.001,23,43,63,87,110
85,0.5449688334817453,0.5256410256410257,0.35066741106334287,0.3312260349116346,0.48,0.001,23,43,63,87,110
86,0.5458593054318789,0.5256410256410257,0.3517620215870616,0.33115580437002545,0.48,0.001,23,43,63,87,110
87,0.5462154942119323,0.530448717948718,0.3524279098971256,0.3383036321785833,0.49,0.001,23,44,62,87,110
88,0.5462154942119323,0.530448717948718,0.35229762667912545,0.3378603013874253,0.49,0.001,23,44,62,87,110
89,0.5474621549421194,0.5288461538461539,0.35401856876034243,0.3358698209857549,0.5,0.001,23,44,63,87,110
90,0.5481745325022261,0.5288461538461539,0.3550724286650212,0.3366118953945846,0.51,0.001,23,44,63,87,110
91,0.55013357079252,0.5288461538461539,0.35814283736047114,0.3363407143193058,0.51,0.001,23,44,63,88,110
92,0.5520926090828139,0.5256410256410257,0.36102783944880634,0.33209663596619676,0.52,0.001,23,44,63,88,110
93,0.5524487978628673,0.5288461538461539,0.3616644113838522,0.3367773748883819,0.52,0.001,23,44,63,88,110
94,0.5526268922528941,0.530448717948718,0.3620294520105245,0.3391001333858683,0.53,0.001,23,44,63,88,110
95,0.5529830810329475,0.530448717948718,0.36264880941613675,0.3391001333858683,0.53,0.001,23,44,63,88,110
96,0.5526268922528941,0.5288461538461539,0.3623203868878755,0.33708173737081737,0.54,0.001,23,44,63,88,110
97,0.553873552983081,0.5288461538461539,0.36412691300011424,0.33714880332986474,0.54,0.001,23,44,63,88,110
98,0.5547640249332146,0.5272435897435898,0.36546912590868996,0.3352664820184673,0.55,0.001,23,44,63,88,110
99,0.555120213713268,0.532051282051282,0.36615152519056327,0.34199084172360494,0.56,0.001,23,44,63,88,110
100,0.5565449688334817,0.5368589743589743,0.3682271726096984,0.34848298734799166,0.56,0.001,23,44,63,88,110
101,0.5560106856634016,0.5368589743589743,0.3674221238025056,0.34848298734799166,0.57,0.001,23,44,63,88,110
102,0.5569011576135352,0.5368589743589743,0.3688904991504717,0.34878178253003567,0.57,0.001,23,44,63,88,110
103,0.5572573463935886,0.5352564102564102,0.36956645349905115,0.3465944993482555,0.58,0.001,23,44,63,88,110
104,0.5567230632235085,0.5336538461538461,0.36897783668713935,0.3446419033045085,0.58,0.001,23,44,63,88,110
105,0.5569011576135352,0.5352564102564102,0.36925625160111364,0.3470236097729955,0.59,0.001,23,44,63,88,110
106,0.5570792520035619,0.5352564102564102,0.369575373987329,0.3470236097729955,0.59,0.001,23,44,63,88,110
107,0.5577916295636688,0.5352564102564102,0.3708037547667937,0.3470236097729955,0.6,0.001,23,45,63,88,110
108,0.5585040071237756,0.5336538461538461,0.37195502468330943,0.34473886481161387,0.6,0.001,23,45,63,88,110
109,0.5599287622439894,0.530448717948718,0.3741649128577461,0.3404019669032098,0.61,0.001,23,45,63,88,110
110,0.5604630454140694,0.532051282051282,0.3750126279937366,0.34315315899898335,0.62,0.001,23,45,63,88,110
111,0.5602849510240427,0.5336538461538461,0.37492337832694744,0.3457681956238988,0.62,0.001,23,45,63,88,110
112,0.5608192341941229,0.5336538461538461,0.37587576391223676,0.34529878783071455,0.63,0.001,23,45,63,88,110
113,0.5604630454140694,0.5384615384615384,0.3754361311150467,0.3519478131051418,0.63,0.001,23,45,63,88,110
114,0.561353517364203,0.5400641025641025,0.37677147974393355,0.35429811720761195,0.64,0.001,23,45,63,88,110
115,0.5618878005342832,0.5400641025641025,0.3776877479152636,0.35429811720761195,0.64,0.001,23,45,63,88,110
116,0.5618878005342832,0.5416666666666666,0.37776918479695276,0.3565479495518362,0.65,0.001,23,44,63,88,110
117,0.5624220837043633,0.5464743589743589,0.3786117261211023,0.363914373088685,0.65,0.001,23,44,63,88,110
118,0.5622439893143366,0.5496794871794872,0.3784267118432719,0.36866664746377853,0.66,0.001,23,44,63,88,110
119,0.5633125556544969,0.5496794871794872,0.3800700330965997,0.36866664746377853,0.67,0.001,23,44,63,88,110
120,0.5629563668744435,0.5560897435897436,0.37969503915753255,0.37825131383474286,0.67,0.001,23,44,63,88,110
121,0.5640249332146038,0.5560897435897436,0.3813255048577726,0.37825131383474286,0.68,0.001,23,44,63,88,110
122,0.5640249332146038,0.5560897435897436,0.38133004372699153,0.37825131383474286,0.68,0.001,23,44,63,88,110
123,0.5643811219946572,0.5560897435897436,0.38183977772986866,0.37818868603291667,0.69,0.001,23,44,63,88,110
124,0.5649154051647373,0.5560897435897436,0.3827050797624286,0.3779044657510582,0.69,0.001,23,44,63,88,110
125,0.5661620658949243,0.5576923076923077,0.3844847463759312,0.3804022866517246,0.7,0.001,23,44,63,88,110
