epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10
0,0.0690657884919309,0.07363993161990767,73.89157822127804,76.73768859929585,0.14,0.001,382,760,1136,1516,1893,2269,2649,3024,3402,3780
1,0.09378716242774698,0.09657468031636396,72.90386569183077,75.78180090005944,0.16,0.001,383,760,1136,1515,1894,2269,2649,3023,3402,3780
2,0.11490851294218518,0.11492799444931245,72.04926225442041,75.00808875652179,0.17,0.001,383,761,1136,1515,1895,2270,2650,3023,3402,3779
3,0.11818345918093542,0.11740334909665007,71.91584437295442,74.90312428292795,0.18,0.001,383,760,1136,1514,1896,2269,2651,3022,3402,3779
4,0.12775558096996587,0.12736474160298006,71.52445426980726,74.47923040498438,0.2,0.001,384,760,1136,1514,1897,2269,2652,3021,3401,3779
5,0.14274901916986438,0.14337449579269734,70.90705913487211,73.79284706083476,0.21,0.001,384,760,1136,1514,1897,2268,2653,3020,3401,3778
6,0.15079183929665563,0.15322026336402017,70.57364352331719,73.36754979744963,0.22,0.001,384,759,1136,1515,1898,2267,2654,3019,3401,3778
7,0.15519105482269036,0.159139136263882,70.39060592397078,73.11068569833859,0.24,0.001,385,759,1136,1515,1899,2267,2655,3018,3401,3778
8,0.1646283048745868,0.16880606102772566,69.99634128273242,72.68921295273117,0.25,0.001,385,758,1136,1515,1900,2266,2655,3018,3401,3778
9,0.17577061147435247,0.1797252499455766,69.5279634054709,72.21018650548031,0.27,0.001,385,757,1136,1515,1900,2265,2656,3017,3401,3777
10,0.18244885562172797,0.18656453524886396,69.24571638940022,71.9085179998691,0.28,0.001,386,757,1136,1515,1901,2264,2656,3016,3401,3777
11,0.18692812717435414,0.191601891627451,69.05576183192464,71.68551789979968,0.29,0.001,386,756,1137,1515,1902,2263,2657,3015,3401,3777
12,0.19425242988460623,0.19969724619053308,68.7440231777007,71.32568622610651,0.31,0.001,386,756,1137,1515,1903,2263,2657,3014,3401,3777
13,0.20240462603977694,0.20886869123387897,68.3953815886442,70.91581097395523,0.32,0.001,387,755,1137,1516,1903,2262,2657,3013,3402,3777
14,0.2081212952172634,0.21570459376445805,68.14983062387243,70.60876818449144,0.33,0.001,387,754,1137,1516,1904,2262,2657,3012,3402,3776
15,0.21372879270561174,0.2219767773728598,67.90810872398635,70.32585984188178,0.35,0.001,387,754,1137,1517,1905,2262,2656,3011,3402,3776
16,0.22127549749611186,0.22950071527714822,67.58143236126325,69.98499071787643,0.36,0.001,388,753,1138,1517,1906,2262,2656,3011,3402,3776
17,0.22838422064088992,0.2363791493616606,67.27225758531522,69.67190478525939,0.38,0.001,388,752,1138,1518,1907,2263,2656,3010,3403,3776
18,0.23380142880897248,0.24176371458085522,67.03569332592525,69.425829492929,0.39,0.001,388,752,1139,1519,1907,2263,2656,3009,3403,3776
19,0.239715013185827,0.24789004239120782,66.77650091326102,69.14478977569459,0.4,0.001,389,751,1139,1519,1908,2263,2656,3008,3404,3776
20,0.2467828155747792,0.2553702087041728,66.46539278075471,68.80008473945544,0.42,0.001,389,750,1140,1520,1909,2264,2656,3007,3404,3776
21,0.2532513749195857,0.26240335043565666,66.17938084644453,68.47440143837512,0.43,0.001,390,749,1140,1521,1910,2265,2656,3006,3405,3776
22,0.2593368614508965,0.2688697069339697,65.9091689728182,68.17359218843467,0.44,0.001,390,749,1141,1521,1911,2265,2656,3005,3405,3776
23,0.26646105747359106,0.27595670421231033,65.59142370219791,67.84237533153596,0.46,0.001,390,748,1142,1522,1912,2265,2656,3004,3406,3776
24,0.27372496206333385,0.282998974015233,65.26585505405947,67.51164540747766,0.47,0.001,391,747,1142,1523,1912,2266,2656,3003,3406,3776
25,0.2802065990356696,0.28935091769319865,64.97396939712665,67.2119323309206,0.48,0.001,391,747,1143,1523,1913,2266,2657,3002,3407,3776
26,0.2870538392544898,0.296168745380732,64.66419039569931,66.88874347680819,0.5,0.001,391,746,1144,1524,1914,2266,2657,3002,3407,3777
27,0.2942956424534764,0.30353911740041484,64.33493519635152,66.53760171065869,0.51,0.001,392,745,1145,1525,1915,2267,2657,3001,3408,3777
28,0.3012668900318345,0.3106860473500703,64.01638202810864,66.19532310353391,0.52,0.001,392,744,1145,1526,1916,2267,2657,3000,3409,3777
29,0.30917921157666794,0.3184307444375305,63.65289210890676,65.82240770033219,0.54,0.001,392,744,1146,1526,1916,2267,2657,2999,3409,3777
30,0.316557518084155,0.3256685516623492,63.31205847267071,65.47197933562876,0.55,0.001,393,743,1147,1527,1917,2267,2657,2998,3410,3777
31,0.3233774960585515,0.33225474976568936,62.99537859723819,65.15146490222803,0.56,0.001,393,742,1148,1528,1918,2267,2657,2997,3411,3777
32,0.3302976269608985,0.33894243597642604,62.672408686334016,64.82438340311268,0.58,0.001,394,741,1149,1528,1919,2267,2658,2997,3412,3777
33,0.33760316769892595,0.3460550968413555,62.32963695208023,64.47470282744621,0.59,0.001,394,740,1150,1529,1920,2266,2658,2996,3412,3778
34,0.3446979294389355,0.35297215445805075,61.9949378131241,64.13280821735276,0.61,0.001,394,740,1151,1530,1920,2266,2657,2995,3413,3778
35,0.3520172272341372,0.3599950054113541,61.64774396470239,63.78380881993584,0.62,0.001,395,739,1152,1531,1921,2265,2657,2994,3414,3778
36,0.35958342149009026,0.3671170890408211,61.28677148761387,63.427920305010396,0.63,0.001,395,738,1153,1532,1922,2265,2657,2994,3414,3778
37,0.3670024335241876,0.374168780934644,60.93074281446005,63.073567382412655,0.65,0.001,395,737,1154,1532,1923,2264,2657,2993,3415,3778
38,0.3747394087722433,0.3816512031873378,60.55722895340923,62.69538210665918,0.66,0.001,396,736,1155,1533,1923,2263,2657,2992,3416,3779
39,0.38231975326796663,0.3890379046876724,60.18902719051559,62.31978118505492,0.67,0.001,396,736,1156,1534,1924,2262,2657,2992,3417,3779
40,0.3902133439933946,0.39661697329037693,59.80319693194713,61.932032585377414,0.69,0.001,396,735,1157,1535,1925,2261,2657,2991,3417,3779
41,0.39801167838372487,0.4040562715121442,59.41957003155084,61.549058653189405,0.7,0.001,397,734,1158,1535,1925,2261,2656,2991,3418,3780
42,0.4058778666653904,0.411614956605308,59.03007128918489,61.15748154419151,0.71,0.001,397,733,1159,1536,1926,2260,2656,2990,3419,3780
43,0.4136765089441061,0.41915328988190337,58.64136815076666,60.76444578117824,0.73,0.001,398,732,1160,1537,1927,2259,2657,2990,3420,3780
44,0.42152335760150983,0.42661745055177747,58.24764237114559,60.37275770616144,0.74,0.001,398,731,1161,1538,1928,2258,2657,2989,3420,3781
45,0.42934343745680814,0.4339810573567985,57.852600113078324,59.983839783363734,0.75,0.001,398,731,1162,1538,1929,2256,2657,2989,3421,3781
46,0.43722716891030167,0.4414356842481423,57.45158882566913,59.58752876218626,0.77,0.001,399,730,1163,1539,1930,2255,2657,2989,3422,3782
47,0.4450195593164523,0.4488433592335469,57.05244897104549,59.19108646406885,0.78,0.001,399,729,1164,1540,1931,2254,2657,2989,3423,3782
48,0.45298484327534005,0.4562743248120815,56.64155171655677,58.79071270524474,0.79,0.001,399,728,1165,1540,1932,2253,2658,2989,3423,3783
49,0.46087029534663393,0.46361506168743405,56.23181346624991,58.392502311271734,0.81,0.001,400,727,1166,1541,1933,2252,2658,2989,3424,3783
50,0.4688682720548174,0.4711394891591001,55.813153954035556,57.98148866098343,0.82,0.001,400,726,1167,1541,1934,2251,2658,2989,3425,3784
51,0.47689229491979857,0.47869067943089094,55.38995283442657,57.56606259333706,0.84,0.001,400,725,1168,1542,1935,2250,2658,2989,3426,3784
52,0.48469105616978203,0.4860550017433779,54.97551168261761,57.15801195001559,0.85,0.001,401,725,1168,1542,1937,2249,2658,2990,3427,3785
53,0.4925547838714328,0.4936464433595885,54.5544318562319,56.7343039967884,0.87,0.001,401,724,1169,1542,1938,2248,2658,2990,3428,3785
54,0.5004757409557066,0.5011609145022321,54.12697338709116,56.311749960321336,0.88,0.001,401,723,1170,1542,1940,2247,2658,2991,3429,3786
55,0.5082406714662897,0.5085593532087237,53.70463656223036,55.89259938503151,0.9,0.001,402,722,1171,1543,1941,2245,2657,2992,3429,3786
56,0.5158981781185263,0.5159523073365031,53.28485829057703,55.47059856074657,0.91,0.001,402,721,1171,1543,1943,2244,2657,2992,3430,3787
57,0.5235532297440381,0.5231409632103079,52.86188519387102,55.05715913016558,0.93,0.001,402,720,1172,1543,1945,2243,2657,2993,3431,3788
58,0.5312157140684952,0.5305264943946111,52.43508356321414,54.6291362671686,0.94,0.001,403,720,1173,1543,1946,2242,2657,2994,3432,3788
59,0.5387689617348028,0.5375907667099827,52.010942921598236,54.21657056138372,0.96,0.001,403,719,1173,1542,1948,2241,2657,2995,3433,3789
60,0.5461751459948823,0.5446904128377863,51.5916702526011,53.7987492412405,0.97,0.001,403,718,1174,1542,1950,2241,2657,2995,3434,3789
61,0.5534367310403793,0.5514946515410647,51.17725401118157,53.39524782444946,0.99,0.001,404,717,1174,1542,1951,2240,2657,2996,3435,3790
62,0.5604945421145029,0.5582658846392299,50.77121775902539,52.990650431968895,1.0,0.001,404,716,1174,1542,1953,2239,2657,2997,3436,3790
63,0.5671400431055922,0.5644367483732258,50.385915477597756,52.619219174770166,1.02,0.001,404,716,1175,1542,1955,2239,2657,2998,3437,3791
64,0.5726198716146464,0.5699463142947626,50.06596966362856,52.285363892238045,1.03,0.001,405,715,1175,1542,1957,2238,2656,2999,3438,3792
65,0.5760533660356135,0.5729144372998047,49.86445005117624,52.10461934821014,1.05,0.001,405,714,1175,1541,1959,2237,2656,2999,3439,3792
66,0.5809735687333085,0.5782638769721488,49.57425183815183,51.777275232178354,1.06,0.001,405,713,1175,1541,1961,2236,2656,3000,3440,3793
67,0.5910234767325269,0.5872886101961812,48.97614813291772,51.22028721381427,1.08,0.001,406,712,1175,1541,1963,2234,2656,3000,3441,3793
68,0.5972781041092,0.5933496237266445,48.6002030482191,50.84278963444571,1.1,0.001,406,712,1175,1541,1965,2234,2655,3001,3442,3794
69,0.599269194327982,0.5958055053300961,48.479910868446325,50.689031650718086,1.11,0.001,406,711,1175,1541,1967,2233,2655,3001,3443,3795
70,0.6063686628429362,0.6021326904653195,48.04854925944695,50.29072461619414,1.13,0.001,406,710,1175,1540,1968,2232,2655,3001,3444,3795
71,0.6137684556583163,0.609320044893803,47.59477848937975,49.834413310482546,1.14,0.001,407,709,1175,1540,1970,2231,2655,3001,3445,3796
72,0.6160721213490051,0.6118947643695711,47.45262851650054,49.66992859508281,1.16,0.001,407,709,1175,1540,1972,2230,2656,3001,3445,3796
73,0.6211699795512827,0.6163993759434431,47.1365334236951,49.380834307198576,1.17,0.001,407,708,1175,1540,1974,2230,2656,3002,3446,3797
74,0.6282746518455615,0.6233493014999885,46.692436151372526,48.93145815992254,1.19,0.001,407,707,1175,1540,1976,2229,2656,3002,3447,3797
75,0.631096745800961,0.6262677158610666,46.51486132644867,48.74152069687352,1.2,0.001,408,707,1175,1539,1978,2229,2656,3002,3448,3798
76,0.6345177406430442,0.6292428107586783,46.2986784579552,48.54713147663181,1.22,0.001,408,706,1174,1539,1980,2228,2656,3002,3448,3798
77,0.6409728179647403,0.6355982953932675,45.88799681782944,48.12923834826783,1.23,0.001,408,705,1174,1539,1982,2228,2656,3002,3449,3799
78,0.6448922523082581,0.6393469525825635,45.636834937635626,47.88104002776699,1.25,0.001,408,705,1174,1539,1983,2228,2656,3002,3450,3799
79,0.6471506288833129,0.6412569865230695,45.49148379264244,47.75408247027813,1.26,0.001,409,704,1174,1538,1985,2227,2655,3002,3450,3800
80,0.6519989732500423,0.6461782987444686,45.17786841941389,47.42540143395599,1.28,0.001,409,703,1173,1538,1987,2227,2655,3002,3451,3800
81,0.6569566799961608,0.65075723360076,44.85490388289501,47.11752883415576,1.29,0.001,409,703,1173,1538,1989,2227,2655,3002,3451,3801
82,0.6593496520282061,0.6530003937002411,44.698183545919264,46.96596902113008,1.31,0.001,409,702,1173,1538,1990,2227,2655,3002,3452,3801
83,0.6620531421300204,0.6559332399221169,44.520463331747095,46.76706844999214,1.32,0.001,410,701,1172,1538,1992,2227,2654,3002,3452,3802
84,0.6666807367172174,0.660046404900391,44.214596481164314,46.48668849284976,1.34,0.001,410,701,1172,1537,1994,2227,2654,3002,3452,3802
85,0.6705495282468072,0.6637793026032052,43.9572504618301,46.23075771587975,1.35,0.001,410,700,1171,1537,1995,2227,2654,3001,3452,3803
86,0.6727106626716505,0.6659931844546125,43.8128371286958,46.07829719788102,1.37,0.001,410,699,1171,1537,1997,2227,2653,3001,3453,3803
87,0.6753375652257785,0.6682860882305165,43.63665982926154,45.91986800224659,1.38,0.001,411,699,1170,1537,1998,2228,2653,3001,3453,3804
88,0.6792269689057595,0.6721896866812168,43.37449060850023,45.64887538832419,1.4,0.001,411,698,1170,1537,2000,2228,2653,3001,3453,3804
89,0.6827940637207496,0.6755016285165791,43.13264764617111,45.417690403217335,1.41,0.001,411,698,1170,1536,2001,2229,2653,3001,3453,3804
90,0.6851485259408561,0.6777045730835483,42.97227116254373,45.263262580741184,1.43,0.001,411,697,1169,1536,2003,2229,2653,3001,3454,3805
91,0.6872675301287522,0.6799248115827452,42.82742241078212,45.10708693755547,1.44,0.001,411,697,1169,1536,2004,2230,2653,3000,3454,3805
92,0.6901677225372833,0.6824592030032228,42.62837630964702,44.928150376896916,1.46,0.001,412,696,1168,1536,2006,2231,2653,3000,3454,3806
93,0.6935280696567592,0.6857819337290745,42.39657826561965,44.692469948719406,1.47,0.001,412,696,1167,1535,2007,2232,2653,3000,3454,3806
94,0.6964195733223699,0.6884522828635056,42.19610300014016,44.502158809117056,1.49,0.001,412,695,1167,1535,2009,2232,2653,3000,3454,3807
95,0.6986239612127172,0.6904855398736855,42.04262450645327,44.35670149789587,1.5,0.001,412,695,1166,1535,2010,2233,2653,3000,3454,3807
96,0.7005076269603341,0.6924201295441177,41.91103277144039,44.21786107763751,1.52,0.001,413,694,1166,1535,2011,2234,2653,2999,3454,3807
97,0.7026850421483697,0.6942458461211125,41.75839934690535,44.0864352100649,1.54,0.001,413,693,1165,1535,2013,2235,2653,2999,3454,3808
98,0.705414106724078,0.6970456409376108,41.56630621669431,43.88411920010187,1.55,0.001,413,693,1165,1534,2014,2236,2653,2999,3453,3808
99,0.7082566297667376,0.6995710521889653,41.36527896329164,43.70082895291433,1.57,0.001,413,693,1164,1534,2015,2236,2652,2999,3453,3808
100,0.7107025514547268,0.7019215239427979,41.19151423201826,43.52954220896281,1.58,0.001,414,692,1164,1534,2016,2237,2652,2999,3453,3809
101,0.7126690050352584,0.7038139106273369,41.05127914610274,43.39114404847996,1.6,0.001,414,692,1163,1534,2018,2237,2652,2998,3453,3809
102,0.7144055526377382,0.7052861483716553,40.92703975378396,43.283169237681896,1.61,0.001,414,691,1163,1534,2019,2238,2651,2998,3453,3809
103,0.7161871336801872,0.7071238979116314,40.79918636931915,43.14800677066381,1.63,0.001,414,691,1162,1533,2020,2239,2651,2998,3452,3810
104,0.7181828356408015,0.7087467684360554,40.65548885961233,43.02829822619281,1.64,0.001,414,690,1161,1533,2021,2240,2651,2998,3452,3810
105,0.7203432997963805,0.7109086816183914,40.49935347429558,42.86830447218915,1.66,0.001,415,690,1161,1533,2022,2241,2650,2997,3452,3810
106,0.7225208158135359,0.7127621294398065,40.341371686288134,42.73066283008535,1.67,0.001,415,689,1160,1533,2023,2242,2650,2997,3452,3810
107,0.7245838220171493,0.7147722256681788,40.19112815319524,42.58088580498884,1.69,0.001,415,689,1160,1533,2024,2243,2649,2997,3451,3811
108,0.7264816390585808,0.7165317532730362,40.052414694392176,42.44934653777812,1.7,0.001,415,688,1159,1532,2024,2244,2649,2997,3451,3811
109,0.7282262407516967,0.7181534590636407,39.92447551461619,42.32774432276217,1.72,0.001,416,688,1158,1532,2024,2245,2649,2996,3451,3811
110,0.7298742916981339,0.7197949985108885,39.803239209422394,42.20430220960892,1.73,0.001,416,688,1158,1532,2025,2245,2648,2996,3451,3811
111,0.7314692518902433,0.7211934005846228,39.685556054753725,42.09885652488824,1.75,0.001,416,687,1157,1532,2025,2246,2648,2996,3450,3812
112,0.7330426137504323,0.7228159400134726,39.569122483339996,41.97617936150291,1.76,0.001,416,687,1157,1532,2025,2247,2647,2996,3450,3812
113,0.7346014854245979,0.7241299160602304,39.45342357560288,41.87656830085591,1.78,0.001,416,686,1156,1531,2024,2248,2647,2996,3450,3812
114,0.7361407461648277,0.7257509923917895,39.33884593890227,41.75334912418329,1.79,0.001,417,686,1155,1531,2024,2249,2646,2995,3450,3812
115,0.7376604675353995,0.7269802393971954,39.22539628693619,41.65966965989859,1.81,0.001,417,686,1155,1531,2024,2250,2646,2995,3449,3812
116,0.7392559245626551,0.728699114406815,39.10593522627831,41.52832094402189,1.82,0.001,417,685,1154,1531,2023,2251,2646,2995,3449,3813
117,0.7409521287831334,0.730078453470707,38.978530060330165,41.42262058457613,1.83,0.001,417,685,1154,1531,2023,2251,2645,2995,3449,3813
118,0.7427418971904602,0.7319586038579244,38.84364629410935,41.2781021107704,1.85,0.001,417,685,1153,1531,2023,2252,2645,2995,3448,3813
119,0.7445612979824552,0.7334762586497882,38.70604708640095,41.16107839938113,1.86,0.001,418,684,1152,1530,2022,2253,2645,2995,3448,3813
120,0.7463817136029868,0.7353148347336018,38.56787625863735,41.01885999147222,1.87,0.001,418,684,1152,1530,2022,2253,2644,2995,3448,3813
121,0.7480937216085591,0.7368248227536551,38.43748412093168,40.9016884751374,1.89,0.001,418,683,1151,1530,2021,2254,2644,2995,3448,3813
122,0.7496594581383718,0.7383339089760594,38.31784284218156,40.78425216440011,1.9,0.001,418,683,1151,1530,2021,2254,2643,2995,3448,3813
123,0.7510988836051595,0.7396952639659177,38.20752307250416,40.67801978888983,1.91,0.001,418,683,1150,1530,2021,2255,2643,2995,3448,3813
124,0.7524469716298254,0.7408964597742169,38.10391322587485,40.5840568921852,1.93,0.001,419,682,1149,1529,2020,2256,2642,2995,3447,3813
125,0.7537246534317222,0.74222597219837,38.00545261815648,40.47980061478194,1.94,0.001,419,682,1149,1529,2020,2256,2642,2995,3447,3814
126,0.7549599204232873,0.7432726924340336,37.91002080894147,40.39753023662152,1.96,0.001,419,682,1148,1529,2020,2257,2641,2995,3447,3814
127,0.7561692724372856,0.7446331003755173,37.81635762863572,40.290353958116484,1.97,0.001,419,681,1147,1529,2020,2257,2641,2995,3447,3814
128,0.7573366354121807,0.7455077931149293,37.7257220280681,40.2212933830608,1.98,0.001,419,681,1147,1529,2020,2258,2640,2995,3447,3814
129,0.7585344481375517,0.7468836332739714,37.63249866876617,40.11242136366552,2.0,0.001,419,681,1146,1529,2020,2258,2640,2995,3446,3814
130,0.7597910632510492,0.7477261127479216,37.53444869539431,40.045611507087294,2.01,0.001,420,681,1145,1528,2020,2259,2639,2995,3446,3814
131,0.7611420335129014,0.7492617496394118,37.428750673153985,39.92354295683892,2.02,0.001,420,680,1145,1528,2020,2260,2639,2995,3446,3814
132,0.7626058253058261,0.7503055307279187,37.31388711827005,39.84035831152407,2.04,0.001,420,680,1144,1528,2020,2260,2638,2995,3446,3814
133,0.7641448287819989,0.7520290088798964,37.19273860160744,39.70262537810393,2.05,0.001,420,680,1144,1528,2020,2261,2638,2995,3446,3814
134,0.7656698480701899,0.7532006207745745,37.072298912795894,39.608720100601744,2.06,0.001,420,679,1143,1528,2020,2261,2637,2995,3446,3814
135,0.7670537116882877,0.7546091661142735,36.962673845549915,39.49552950127315,2.07,0.001,420,679,1142,1528,2020,2262,2636,2995,3446,3814
136,0.7683434292260604,0.7556097141274667,36.86020624857517,39.414928911438494,2.09,0.001,420,679,1142,1527,2020,2262,2635,2995,3446,3814
137,0.7695546652711613,0.7567795915908782,36.76371747867131,39.32047781482236,2.1,0.001,420,678,1141,1527,2020,2263,2634,2995,3445,3814
138,0.7708019409859208,0.7578221789906348,36.664091632472974,39.236111072701576,2.11,0.001,421,678,1141,1527,2020,2264,2633,2995,3445,3814
139,0.7720023466756434,0.7590480644159788,36.56795331927858,39.136681126154684,2.13,0.001,421,678,1140,1527,2021,2264,2633,2995,3445,3814
140,0.773207036357806,0.7600342476792451,36.47121517214381,39.0565073528287,2.14,0.001,421,678,1140,1527,2021,2265,2632,2995,3445,3814
141,0.7743624860466545,0.7611593388150046,36.37819130652835,38.96484198778192,2.15,0.001,421,677,1139,1527,2021,2265,2631,2995,3445,3814
142,0.7755295769032176,0.7621621853395119,36.28398864556169,38.882952989750216,2.17,0.001,421,677,1138,1527,2021,2266,2630,2995,3445,3814
143,0.7766751943429858,0.7633088175501959,36.19127786843123,38.789110492165676,2.18,0.001,421,677,1138,1526,2021,2266,2630,2995,3445,3814
144,0.7777981240570988,0.7642633727975383,36.100176984612034,38.71081530631572,2.2,0.001,421,677,1137,1526,2021,2267,2629,2995,3445,3814
145,0.778916978447854,0.7653098260028312,36.00917275446546,38.6248008945111,2.21,0.001,421,676,1137,1526,2021,2267,2628,2994,3445,3814
146,0.7800229862766338,0.7662194921294496,35.91898979822512,38.54987067808237,2.22,0.001,422,676,1136,1526,2021,2268,2628,2994,3445,3814
147,0.7811071702680272,0.7672684933370524,35.8303634004213,38.4632853043815,2.24,0.001,422,676,1136,1526,2021,2268,2627,2994,3445,3814
148,0.7821883274507039,0.7682542264014538,35.74176826939929,38.38174150627727,2.25,0.001,422,675,1135,1526,2021,2268,2627,2994,3445,3814
149,0.7832483298600691,0.7693484439243368,35.65469054707687,38.29102234960729,2.26,0.001,422,675,1135,1526,2021,2269,2626,2994,3445,3815
150,0.7842786769921399,0.7702248685122647,35.5698466296639,38.2182070178109,2.28,0.001,422,675,1134,1525,2021,2269,2625,2994,3445,3815
151,0.7853027696276121,0.7711579033978817,35.485314138827206,38.14053218444258,2.29,0.001,422,675,1134,1525,2021,2270,2625,2994,3445,3815
152,0.7862943825820555,0.7718461189009403,35.403274505377674,38.083136916262724,2.3,0.001,422,675,1133,1525,2021,2270,2624,2994,3445,3815
