epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15
0,0,0,82.71010473806238,81.64020484341646,0.26,0.001,264,523,784,1043,1301,1561,1820,2082,2342,2599,2859,3119,3379,3638,3899
1,0.0429648552115941,0.0459475435764759,75.9326612398693,74.75504921282909,0.29,0.001,264,523,784,1044,1301,1560,1821,2083,2341,2598,2858,3118,3378,3638,3899
2,0.04878651348457985,0.052096712930169375,75.70135930603394,74.51374597913964,0.32,0.001,265,523,785,1044,1300,1559,1822,2084,2341,2598,2857,3117,3377,3637,3899
3,0,0,77.86798348206084,76.71739433629116,0.35,0.001,265,523,785,1045,1300,1559,1822,2085,2340,2597,2857,3117,3377,3637,3899
4,0,0,78.9895043463054,77.85729759670895,0.37,0.001,265,523,785,1044,1300,1559,1822,2086,2340,2597,2856,3117,3376,3637,3899
5,0,0,78.52302048503833,77.3841718867221,0.4,0.001,265,523,785,1044,1300,1558,1822,2086,2340,2597,2855,3116,3375,3636,3899
6,0.012519323145606664,0.014886490228322447,77.13100475509994,75.96219698701289,0.43,0.001,265,524,785,1044,1301,1558,1821,2087,2340,2597,2854,3116,3375,3636,3898
7,0.05060036947890156,0.05424527343846097,75.62914825916162,74.42925082859729,0.46,0.001,266,524,785,1043,1301,1559,1820,2087,2340,2597,2853,3115,3374,3636,3898
8,0.07590668193131067,0.08049918776381093,74.61438628458322,73.38891344874578,0.48,0.001,266,524,784,1043,1302,1559,1820,2087,2341,2597,2853,3115,3373,3636,3898
9,0.08292530816756782,0.0880935597313739,74.33049482505481,73.08521219910017,0.51,0.001,266,525,784,1042,1302,1559,1819,2088,2341,2598,2852,3115,3373,3635,3898
10,0.07581478565446886,0.08116549319712574,74.61809667609126,73.36231856448002,0.54,0.001,266,525,783,1042,1303,1559,1818,2088,2341,2598,2851,3114,3372,3635,3898
11,0.06547109109807325,0.0708681528567825,75.03450703572157,73.77225564617771,0.57,0.001,266,525,783,1041,1303,1559,1818,2088,2341,2599,2850,3114,3371,3635,3897
12,0.05984834433907915,0.06537542300237298,75.25990123814275,73.98999285693134,0.59,0.001,267,526,783,1041,1303,1559,1817,2088,2341,2599,2850,3114,3371,3635,3897
13,0.06302496001716673,0.06887073445026082,75.1326496209371,73.85151249932191,0.62,0.001,267,526,782,1041,1304,1559,1817,2089,2341,2600,2849,3113,3370,3634,3897
14,0.07462283149712645,0.08106933479324796,74.66620381529718,73.36615550400266,0.65,0.001,267,527,782,1040,1304,1560,1817,2089,2341,2601,2849,3113,3369,3634,3897
15,0.0910453888441799,0.09820127593712391,74.00069282826006,72.67903876484093,0.67,0.001,267,527,782,1040,1305,1560,1817,2090,2341,2602,2848,3113,3368,3634,3896
16,0.10742773655064397,0.11518268051494007,73.3307934870304,71.99149187469135,0.7,0.001,268,528,782,1039,1305,1560,1817,2090,2341,2603,2848,3112,3368,3634,3896
17,0.1196558040785356,0.12772519317963038,72.82674887404009,71.47942435042934,0.73,0.001,268,528,781,1039,1306,1560,1818,2091,2341,2603,2847,3112,3367,3633,3896
18,0.12593913783762178,0.13405087081121725,72.56638932298479,71.21977154818036,0.76,0.001,268,528,781,1039,1306,1560,1818,2091,2341,2604,2847,3111,3366,3633,3896
19,0.12732882530224254,0.13535590574936773,72.50868078418266,71.1660827088649,0.78,0.001,268,529,781,1038,1307,1560,1818,2092,2340,2605,2847,3111,3366,3633,3895
20,0.12697315970318868,0.13482923895221532,72.52345391104522,71.18775721529475,0.81,0.001,269,529,780,1038,1307,1560,1818,2092,2340,2606,2846,3111,3365,3633,3895
21,0.12830181932460205,0.13607072305796197,72.46824466188622,71.13665944086952,0.84,0.001,269,530,780,1037,1308,1560,1818,2093,2340,2607,2846,3110,3364,3632,3895
22,0.13317319988385345,0.14110183629656292,72.26547466200579,70.92922928106755,0.86,0.001,269,530,779,1037,1308,1560,1818,2093,2340,2608,2845,3110,3364,3632,3895
23,0.140916130222696,0.14924842965352725,71.94199323500149,70.59204499379693,0.89,0.001,269,530,778,1036,1309,1561,1819,2094,2340,2609,2845,3110,3363,3632,3894
24,0.1490335207797443,0.15791638981070766,71.60129952556727,70.2315089098191,0.92,0.001,270,530,778,1035,1310,1561,1819,2094,2340,2610,2844,3109,3363,3632,3894
25,0.1549516322920368,0.16444949215226956,71.35188370739591,69.95853961901291,0.94,0.001,270,531,777,1035,1310,1561,1818,2095,2340,2610,2844,3109,3362,3631,3894
26,0.15773033443172568,0.16774621395115308,71.23448295944878,69.82039248694646,0.97,0.001,270,531,776,1034,1311,1561,1818,2096,2340,2611,2843,3108,3361,3631,3894
27,0.15861472181258507,0.16907507409066902,71.19707121236624,69.7646259027005,1.0,0.001,270,531,776,1033,1311,1562,1818,2096,2339,2612,2843,3108,3361,3631,3893
28,0.16000087279796515,0.17078667301136297,71.13840287271883,69.69273733122233,1.02,0.001,271,531,775,1033,1312,1562,1818,2097,2339,2613,2842,3107,3360,3631,3893
29,0.1635730337302802,0.17460291452205978,70.98698026530992,69.53218047130228,1.05,0.001,271,531,774,1032,1313,1562,1818,2098,2339,2614,2842,3107,3360,3630,3893
30,0.1691485347701558,0.18027110916865097,70.74998964774659,69.29302589366408,1.07,0.001,271,532,774,1032,1313,1562,1819,2099,2339,2615,2841,3107,3359,3630,3893
31,0.17506062454654125,0.18618532661315557,70.49782174715578,69.04260177147874,1.1,0.001,272,532,773,1031,1314,1562,1819,2100,2339,2616,2841,3106,3359,3630,3892
32,0.17961012782760655,0.19067534268226793,70.30315910176085,68.85187054920875,1.13,0.001,272,532,772,1030,1314,1562,1819,2101,2339,2617,2841,3106,3358,3630,3892
33,0.18227400087644952,0.19328959489207076,70.18892265365847,68.74058174124656,1.15,0.001,272,533,771,1030,1315,1562,1819,2102,2339,2619,2840,3105,3358,3629,3892
34,0.18396532966063694,0.19499904234868837,70.11629917612773,68.6677099846154,1.18,0.001,272,533,771,1029,1315,1562,1819,2103,2338,2620,2840,3105,3357,3629,3892
35,0.18620785469045364,0.19736633121997638,70.01989114708762,68.5666696259469,1.21,0.001,273,533,770,1028,1316,1562,1819,2103,2338,2621,2839,3104,3357,3629,3891
36,0.18979962558228314,0.20128353508912789,69.86520224242538,68.39915092788982,1.23,0.001,273,534,769,1028,1317,1562,1820,2104,2338,2622,2839,3103,3356,3628,3891
37,0.19414453076391025,0.20605323293614686,69.67761280757615,68.19461394489853,1.26,0.001,273,534,768,1027,1317,1562,1820,2105,2337,2623,2838,3103,3356,3628,3891
38,0.19801333367068652,0.2102972016691712,69.510154805566,68.01210542524764,1.29,0.001,273,534,768,1026,1318,1563,1820,2106,2337,2624,2838,3102,3356,3628,3891
39,0.2008067284148648,0.2133924623201009,69.38899422481386,67.87868673804208,1.31,0.001,274,534,767,1026,1319,1563,1820,2107,2336,2625,2838,3101,3355,3627,3890
40,0.2032029025181229,0.21601051391147563,69.28489362317734,67.76563400680133,1.34,0.001,274,534,766,1025,1319,1563,1820,2107,2336,2626,2837,3101,3355,3627,3890
41,0.20634193410020663,0.2192199277174096,69.14828523949456,67.62678342149285,1.37,0.001,274,534,765,1024,1320,1563,1820,2108,2335,2627,2837,3100,3355,3627,3890
42,0.21062770342735282,0.22370636074072103,68.96132648652613,67.43221060697736,1.38,0.001,274,534,764,1024,1321,1563,1820,2109,2335,2629,2836,3099,3355,3626,3890
43,0.2149163638464494,0.22813017453958306,68.77373879932296,67.23980159078958,1.4,0.001,275,534,763,1023,1321,1563,1820,2110,2334,2630,2836,3098,3355,3626,3889
44,0.21869843628017238,0.23184172738884656,68.60787867020085,67.07794119762845,1.41,0.001,275,534,763,1023,1322,1563,1820,2110,2334,2631,2835,3098,3355,3625,3889
45,0.2219375514175046,0.23502942151317763,68.46551581247854,66.93861970935575,1.43,0.001,275,534,762,1022,1323,1563,1820,2111,2334,2632,2835,3097,3355,3625,3889
46,0.22480362081780658,0.23790672953915382,68.33930241015231,66.81261693160955,1.44,0.001,276,534,761,1021,1323,1564,1820,2112,2333,2633,2835,3096,3355,3625,3889
47,0.22790386159339526,0.24108930637013404,68.20251109402975,66.67295706000297,1.45,0.001,276,534,760,1021,1324,1564,1820,2113,2333,2635,2834,3095,3356,3624,3888
48,0.2314251506467805,0.24475599626556288,68.04680862511114,66.5116956937838,1.47,0.001,276,534,759,1020,1325,1564,1820,2113,2332,2636,2834,3094,3356,3624,3888
49,0.2349293934381591,0.24842447192236727,67.8915006416488,66.34996511750214,1.48,0.001,276,534,758,1019,1325,1564,1821,2114,2331,2637,2833,3093,3357,3623,3888
50,0.23813854007067337,0.2517772867111836,67.74896577277951,66.20180292814916,1.5,0.001,277,534,757,1018,1326,1564,1821,2115,2331,2638,2833,3092,3357,3623,3888
51,0.24126333728753846,0.255024574140021,67.60988957222716,66.05798751736046,1.51,0.001,277,534,757,1018,1327,1565,1821,2115,2330,2640,2832,3092,3358,3623,3887
52,0.24420190794975694,0.2580009937813038,67.47883421048596,65.92589500956737,1.53,0.001,277,534,756,1017,1328,1565,1821,2116,2330,2641,2832,3091,3358,3622,3887
53,0.24785526778355327,0.26166570600964667,67.31555021524558,65.76289084658612,1.54,0.001,278,533,755,1016,1328,1565,1822,2116,2329,2642,2832,3090,3359,3622,3887
54,0.2517511760490867,0.26550739826692527,67.14098317044329,65.5915800319961,1.56,0.001,278,533,754,1015,1329,1565,1822,2117,2329,2643,2831,3089,3360,3621,3887
55,0.25527132168518274,0.26895022949255776,66.98286788309194,65.43767535196181,1.57,0.001,278,533,753,1015,1330,1565,1823,2118,2328,2644,2831,3088,3360,3621,3886
56,0.2585539512817424,0.2721855154669184,66.83507862174623,65.29271530481023,1.59,0.001,278,533,752,1014,1330,1565,1823,2118,2328,2646,2830,3087,3361,3621,3886
57,0.26209982344788285,0.2757536979057531,66.67507352592496,65.132467182274,1.6,0.001,279,532,751,1013,1331,1566,1824,2119,2328,2647,2830,3086,3362,3620,3886
58,0.26586462751172224,0.27958082337561097,66.5047651605695,64.96014778909642,1.62,0.001,279,532,750,1012,1332,1566,1824,2119,2327,2648,2830,3085,3363,3620,3885
59,0.26940689399826045,0.28318198072286926,66.34412167229851,64.79758899112296,1.63,0.001,279,532,749,1012,1333,1566,1825,2120,2327,2649,2829,3084,3363,3620,3885
60,0.27274752861207285,0.2865257598688855,66.19226921556815,64.64628064755543,1.65,0.001,280,531,749,1011,1333,1566,1825,2120,2326,2650,2829,3083,3364,3619,3885
61,0.27637465849393206,0.290156656224389,66.02700160848022,64.48157516032197,1.66,0.001,280,531,748,1010,1334,1566,1826,2121,2326,2651,2829,3082,3365,3619,3885
62,0.28038339611696106,0.2941263711083969,65.84385752838871,64.30101938344369,1.68,0.001,280,530,747,1009,1335,1567,1826,2121,2326,2652,2828,3081,3366,3619,3884
63,0.2842318596844806,0.29790089438700484,65.6675568857541,64.12887186775743,1.69,0.001,281,530,746,1009,1335,1567,1826,2122,2325,2653,2828,3080,3367,3618,3884
64,0.2878699677948575,0.30148388152175265,65.50045473363143,63.965028744961494,1.71,0.001,281,529,745,1008,1336,1567,1826,2122,2325,2654,2828,3079,3368,3618,3884
