epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,lr,band_1,band_2,band_3,band_4,band_5
0,0.07818335140344537,0.09750812567713976,0.0002257231068295562,0.0002041570006346971,0.01,0.001,33,66,99,132,165
1,0.2197325623418865,0.21451787648970747,0.07445663018999349,0.06624442369974703,0.02,0.001,33,66,99,132,165
2,0.23864594627153354,0.2210184182015168,0.04697407121139541,0.03591439931779783,0.02,0.001,33,66,99,132,165
3,0.2420190338513432,0.2221018418201517,0.00018223788583215939,0.0,0.03,0.001,33,66,99,132,165
4,0.2420190338513432,0.2221018418201517,5.2074745946040224e-05,0.0,0.04,0.001,33,66,99,132,165
5,0.2420190338513432,0.2221018418201517,5.2074745946040224e-05,0.0,0.04,0.001,33,66,99,132,165
6,0.2420190338513432,0.2221018418201517,0.0,0.0,0.05,0.001,33,66,99,132,165
7,0.2420190338513432,0.2221018418201517,0.0,0.0,0.05,0.001,33,66,99,132,165
8,0.2420190338513432,0.2221018418201517,0.0,0.0,0.06,0.001,33,66,99,132,165
9,0.2420190338513432,0.2221018418201517,0.0,0.0,0.07,0.001,33,66,99,132,165
10,0.2420190338513432,0.2221018418201517,0.0,0.0,0.07,0.001,33,66,99,133,165
11,0.2420190338513432,0.2221018418201517,0.0,0.0,0.08,0.001,33,66,99,133,165
12,0.2420190338513432,0.2221018418201517,0.0,0.0,0.09,0.001,33,66,99,133,165
13,0.2420190338513432,0.2221018418201517,0.0,0.0,0.09,0.001,33,66,99,133,165
14,0.2420190338513432,0.2221018418201517,0.0,0.0,0.1,0.001,33,65,99,133,165
15,0.2420190338513432,0.2221018418201517,0.0,0.0,0.1,0.001,33,65,99,133,165
16,0.2420190338513432,0.2221018418201517,0.0,0.0,0.11,0.001,33,65,99,133,165
17,0.2420190338513432,0.2221018418201517,0.0,0.0,0.12,0.001,33,65,99,133,164
18,0.2420190338513432,0.2221018418201517,0.0,0.0,0.12,0.001,33,65,99,133,164
19,0.2420190338513432,0.2221018418201517,0.0,0.0,0.13,0.001,33,65,99,133,164
20,0.2420190338513432,0.2221018418201517,0.0,0.0,0.14,0.001,33,65,99,133,164
21,0.2420190338513432,0.2221018418201517,0.0,0.0,0.14,0.001,33,65,99,133,164
22,0.2420190338513432,0.2221018418201517,0.0,0.0,0.15,0.001,33,65,99,133,164
23,0.2420190338513432,0.2221018418201517,0.0,0.0,0.15,0.001,32,65,99,133,164
24,0.2420190338513432,0.2221018418201517,0.0,0.0,0.16,0.001,32,65,99,133,164
25,0.2420190338513432,0.2221018418201517,0.0,0.0,0.17,0.001,32,65,99,133,164
26,0.2420190338513432,0.2221018418201517,0.0,0.0,0.17,0.001,32,65,99,133,164
27,0.2420190338513432,0.2221018418201517,0.0,0.0,0.18,0.001,32,65,99,133,164
28,0.2420190338513432,0.2221018418201517,0.0,0.0,0.19,0.001,32,65,99,133,164
29,0.2420190338513432,0.2221018418201517,0.0,0.0,0.19,0.001,32,65,99,133,164
30,0.2420190338513432,0.2221018418201517,0.0,0.0,0.2,0.001,32,65,99,134,164
31,0.2420190338513432,0.2221018418201517,0.0,0.0,0.2,0.001,32,65,99,134,164
32,0.2420190338513432,0.2221018418201517,0.0,0.0,0.21,0.001,32,65,99,134,164
33,0.2420190338513432,0.2221018418201517,0.0,0.0,0.22,0.001,32,65,99,134,164
34,0.2420190338513432,0.2221018418201517,0.0,0.0,0.23,0.001,32,65,99,134,164
35,0.2420190338513432,0.2221018418201517,0.0,0.0,0.24,0.001,32,65,99,134,164
36,0.2420190338513432,0.2221018418201517,0.0,0.0,0.24,0.001,32,65,99,134,164
37,0.2420190338513432,0.2221018418201517,0.0,0.0,0.25,0.001,32,65,99,134,164
38,0.2420190338513432,0.2221018418201517,0.0,0.0,0.26,0.001,32,65,99,134,164
39,0.2420190338513432,0.2221018418201517,0.0,0.0,0.26,0.001,32,65,99,134,164
40,0.2420190338513432,0.2221018418201517,0.0,0.0,0.27,0.001,32,65,99,134,164
41,0.2420190338513432,0.2221018418201517,0.0,0.0,0.28,0.001,32,65,99,134,164
42,0.2518973617636429,0.2296858071505959,0.014548620411922175,0.010788200358752498,0.28,0.001,32,65,99,134,164
43,0.3342970726418504,0.323943661971831,0.13742484135619748,0.14428727006375297,0.29,0.001,32,65,99,134,164
44,0.36067943621250453,0.3456121343445287,0.17672220692698892,0.17480720555366425,0.3,0.001,32,65,99,134,164
45,0.36345018672449103,0.3477789815817985,0.18120495015526739,0.17806885840020703,0.3,0.001,32,65,99,134,164
