epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15
0,0,0,81.83217212399565,84.81260362926609,0.14,0.001,264,523,784,1043,1301,1561,1820,2082,2342,2599,2859,3119,3379,3638,3899
1,0.0429116886597003,0.04491816311062824,74.90515487309602,78.20400380375355,0.16,0.001,264,523,784,1044,1301,1560,1821,2083,2341,2599,2858,3118,3378,3638,3899
2,0.0500329557914303,0.05033851407597667,74.62597164882511,77.98177809490977,0.17,0.001,265,523,785,1044,1300,1559,1822,2084,2341,2598,2857,3117,3377,3637,3899
3,0,0,76.82764674703697,80.1236196985243,0.19,0.001,265,523,785,1045,1300,1559,1822,2085,2341,2597,2857,3117,3377,3637,3899
4,0,0,77.99891387965765,81.25303179439676,0.21,0.001,265,523,785,1044,1300,1559,1822,2086,2340,2597,2856,3117,3376,3637,3899
5,0,0,77.56154625219413,80.81698013006765,0.22,0.001,265,523,785,1044,1300,1558,1822,2086,2340,2597,2855,3116,3375,3636,3899
6,0.010370757686570697,0.014344346637071737,76.16789572939344,79.44586833872326,0.24,0.001,265,524,785,1044,1301,1558,1821,2087,2340,2597,2854,3116,3375,3636,3898
7,0.04960466613275649,0.05123274194851746,74.64279192741085,77.94504900288729,0.25,0.001,266,524,785,1044,1301,1559,1821,2087,2341,2597,2853,3115,3374,3636,3898
8,0.07602097626017956,0.07642314907467784,73.59812885062024,76.90334525700914,0.27,0.001,266,524,784,1043,1301,1559,1820,2087,2341,2597,2853,3115,3373,3636,3898
9,0.08374176758463536,0.08450911416284745,73.2899881517336,76.56595655462681,0.28,0.001,266,525,784,1043,1302,1559,1819,2087,2341,2597,2852,3115,3373,3635,3898
10,0.07655108508624608,0.07879284869516812,73.57701176424774,76.80462034950274,0.3,0.001,266,525,783,1042,1302,1559,1818,2088,2341,2598,2851,3114,3372,3635,3898
11,0.06552961110324396,0.06953269669803441,74.01478882523242,77.18967924555231,0.31,0.001,266,525,783,1042,1303,1559,1818,2088,2341,2598,2850,3114,3371,3635,3897
12,0.059085803077999155,0.06442889061769597,74.26953525630479,77.40109301049146,0.33,0.001,267,526,783,1041,1303,1559,1818,2088,2341,2599,2850,3114,3371,3635,3897
13,0.061552509208254724,0.06742302035534631,74.17212351180193,77.27714303684823,0.34,0.001,267,526,783,1041,1304,1559,1817,2089,2341,2600,2849,3113,3370,3634,3897
14,0.07280047656339217,0.07837605077295917,73.72628061366585,76.82199328541111,0.36,0.001,267,527,782,1040,1304,1559,1817,2089,2341,2600,2849,3113,3369,3634,3897
15,0.08928422753783438,0.09407401895977885,73.06798658826244,76.16493077320756,0.37,0.001,267,527,782,1040,1305,1559,1817,2089,2341,2601,2848,3112,3368,3634,3896
16,0.1060257567277918,0.10999123758924945,72.39327408545977,75.49285329378868,0.38,0.001,268,528,782,1040,1305,1560,1818,2090,2341,2602,2848,3112,3368,3634,3896
17,0.11874821215809594,0.12206692149338205,71.87630433599101,74.97895538082669,0.4,0.001,268,528,781,1039,1305,1560,1818,2090,2341,2603,2847,3112,3367,3633,3896
18,0.12545299104466712,0.1286004195508449,71.60235312233984,74.69944661253355,0.41,0.001,268,529,781,1039,1306,1560,1818,2091,2341,2604,2847,3111,3366,3633,3896
19,0.12707601371096322,0.1303661248919188,71.53588137584347,74.6237273499103,0.43,0.001,268,529,781,1038,1306,1560,1818,2091,2340,2605,2847,3111,3366,3633,3895
20,0.1267217496147004,0.13044136810418194,71.5503947185129,74.6204949174069,0.44,0.001,269,529,780,1038,1307,1560,1818,2092,2340,2606,2846,3111,3365,3633,3895
21,0.12792037815267454,0.1320302430081205,71.50127703186496,74.55229000716544,0.46,0.001,269,530,780,1037,1307,1560,1818,2092,2340,2607,2846,3110,3364,3632,3895
22,0.13268261490170508,0.137110326597213,71.30578271386901,74.33380227161967,0.47,0.001,269,530,779,1037,1308,1560,1818,2093,2340,2608,2845,3110,3364,3632,3895
23,0.14049090688253862,0.14516160034868109,70.98407749497419,73.98619816919403,0.49,0.001,269,530,779,1036,1309,1560,1818,2093,2340,2608,2845,3110,3363,3632,3894
24,0.14877835533541262,0.15385213898373062,70.64103454592627,73.6091544387483,0.5,0.001,270,531,778,1036,1309,1561,1818,2094,2340,2609,2844,3109,3363,3632,3894
25,0.15485634118470393,0.16066561667306067,70.38838613254143,73.31219362681081,0.52,0.001,270,531,777,1035,1310,1561,1818,2095,2340,2610,2844,3109,3362,3631,3894
26,0.15763714200607637,0.1644394792903312,70.27248514154562,73.14718880769615,0.53,0.001,270,531,777,1034,1310,1561,1818,2095,2340,2611,2843,3108,3361,3631,3894
27,0.15834600422943923,0.16623013717207036,70.2429134826514,73.06877178491678,0.55,0.001,270,531,776,1034,1311,1561,1818,2096,2339,2612,2843,3108,3361,3631,3893
28,0.15948568662504803,0.16828481391206096,70.19533988939365,72.97867973122355,0.56,0.001,271,531,775,1033,1312,1562,1818,2097,2339,2613,2842,3107,3360,3631,3893
29,0.16285490993992258,0.17220625623334618,70.05450932911992,72.80643751585433,0.58,0.001,271,532,775,1032,1312,1562,1818,2097,2339,2614,2842,3107,3360,3631,3893
30,0.16835063215810042,0.17783606942992958,69.82417930505879,72.55843886675932,0.59,0.001,271,532,774,1032,1313,1562,1819,2098,2339,2615,2841,3106,3359,3630,3893
31,0.1742902620224922,0.1836951076499218,69.57439321622755,72.29943634699893,0.6,0.001,271,532,773,1031,1313,1562,1819,2099,2339,2617,2841,3106,3359,3630,3892
32,0.17885636970259666,0.18826168389472198,69.38175642775268,72.09692301751684,0.62,0.001,272,533,772,1031,1314,1562,1819,2100,2339,2618,2841,3106,3358,3630,3892
33,0.18145262878247703,0.191070943097437,69.27198503115275,71.97205743051431,0.63,0.001,272,533,772,1030,1314,1562,1819,2101,2339,2619,2840,3105,3358,3629,3892
34,0.18297611451929208,0.1929736800782943,69.20749414690398,71.88736306716223,0.65,0.001,272,533,771,1030,1315,1562,1819,2102,2339,2620,2840,3105,3357,3629,3892
35,0.18499666848250296,0.19550097036194103,69.12186362685833,71.77471264310293,0.66,0.001,273,534,770,1029,1316,1562,1819,2103,2339,2621,2839,3104,3357,3629,3891
36,0.188408569664126,0.19951029590328662,68.97702218741941,71.59563916102013,0.68,0.001,273,534,769,1028,1316,1562,1820,2104,2338,2622,2839,3103,3356,3628,3891
37,0.19269969094538852,0.20447445784851093,68.79442811626353,71.37329997428135,0.69,0.001,273,534,769,1028,1317,1562,1820,2104,2338,2623,2838,3103,3356,3628,3891
