epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25
0,0.016263100831225154,0.016251354279523293,-0.024589293827027126,-0.025648431208895595,0.01,0.001,8,15,23,31,38,46,53,61,69,76,84,91,99,107,114,122,129,137,145,152,160,168,175,183,190
1,0.015058426695578846,0.015167930660888408,-0.02197271476895435,-0.023306557644975356,0.02,0.001,8,15,23,31,38,46,54,61,69,76,84,91,99,107,114,122,129,137,145,152,160,168,175,183,190
2,0.004216359474762077,0.0010834236186348862,-0.0008503047743486647,-0.0029038044080318404,0.02,0.001,8,15,23,31,38,46,54,61,69,76,84,91,99,107,114,122,129,137,145,152,160,167,175,183,190
3,0.13974219973497168,0.14301191765980498,0.05368100137899057,0.05291211884568592,0.03,0.001,8,15,23,31,38,46,54,61,69,76,84,91,99,107,114,122,129,137,145,152,160,167,175,183,190
4,0.14082640645705335,0.14409534127843987,0.04379226117996726,0.04263420347092217,0.04,0.001,8,15,23,31,38,46,54,61,69,76,84,91,99,107,114,122,129,137,145,152,160,167,175,183,190
5,0.13986266714853632,0.14409534127843987,0.03743739151524883,0.03796576537114782,0.05,0.001,8,15,23,30,38,46,54,61,69,76,84,91,99,107,114,122,129,137,145,152,160,167,175,183,190
6,0.13974219973497168,0.14301191765980498,0.032052780874183284,0.031411438502460975,0.05,0.001,8,15,23,30,38,46,54,61,69,76,84,91,99,107,114,122,129,137,145,152,160,167,175,183,190
7,0.12829779544633177,0.13109425785482123,0.011847995642302434,0.011030030647880662,0.06,0.001,8,15,23,30,38,46,54,61,69,76,84,91,99,107,114,122,129,137,145,152,160,167,175,183,190
8,0.15913745331887724,0.14842903575297942,0.025911345477965808,0.015064338409989997,0.07,0.001,8,15,23,30,38,46,54,61,69,76,84,91,99,107,114,122,129,137,145,152,160,167,175,183,190
9,0.22262378026743765,0.22318526543878656,0.07016367830451298,0.07806723040274155,0.07,0.001,8,15,23,30,38,46,54,61,69,76,84,91,99,107,114,121,129,138,145,152,160,167,175,183,190
10,0.23358631490181905,0.21451787648970747,0.06787077941439379,0.05581642760189298,0.08,0.001,8,15,23,30,38,46,54,61,69,76,84,91,99,107,114,121,129,138,145,153,160,167,175,183,190
11,0.240452957475003,0.2221018418201517,0.06463063924579138,0.056739607559587624,0.09,0.001,8,16,23,30,38,46,54,61,69,76,84,91,99,107,114,121,129,138,145,153,160,167,175,183,190
12,0.274063365859535,0.25677139761646806,0.0902003586866007,0.08449883534142355,0.1,0.001,8,16,23,30,38,46,54,61,69,76,84,91,99,107,114,121,129,138,145,153,160,167,175,183,190
13,0.34128418262859894,0.3250270855904659,0.15638177391255736,0.15366715923206897,0.1,0.001,8,16,23,30,38,46,54,61,69,76,84,91,99,107,114,121,129,138,145,153,160,167,175,183,190
14,0.3574268160462595,0.3434452871072589,0.173284480961033,0.17283143648108268,0.11,0.001,8,16,23,30,38,46,53,61,69,76,84,91,98,107,114,121,129,138,145,153,160,167,175,183,190
15,0.3594747620768582,0.3456121343445287,0.17510116017030708,0.17480720555366425,0.12,0.001,8,16,23,30,38,46,53,61,69,76,84,91,98,107,114,121,129,138,145,153,160,167,175,183,190
16,0.3605589687989399,0.3456121343445287,0.1766453654181288,0.17480720555366425,0.12,0.001,8,16,23,30,38,46,53,61,69,76,84,91,98,107,113,121,129,138,145,153,160,167,175,183,190
17,0.3610408384531984,0.3456121343445287,0.17740749041608872,0.17480720555366425,0.13,0.001,8,16,23,30,38,46,53,62,69,76,84,91,98,108,113,121,129,138,145,153,161,167,175,182,190
18,0.36152270810745696,0.3456121343445287,0.17811813631978324,0.17491345716962403,0.14,0.001,8,16,23,30,38,46,53,62,69,76,84,91,98,108,113,121,129,138,146,153,161,167,175,182,190
19,0.36152270810745696,0.3456121343445287,0.17811813631978324,0.17491345716962403,0.15,0.001,8,16,23,30,38,46,53,62,69,76,84,91,98,108,113,121,129,138,146,153,161,167,175,182,190
20,0.36152270810745696,0.3456121343445287,0.1781051161921099,0.17491345716962403,0.15,0.001,8,16,23,30,38,46,53,62,69,76,84,91,98,108,113,121,129,138,146,153,161,167,175,182,190
21,0.36152270810745696,0.3456121343445287,0.1781051161921099,0.17491345716962403,0.16,0.001,8,16,23,30,38,46,53,62,69,76,84,91,98,108,113,121,129,138,146,153,161,167,175,182,190
22,0.36152270810745696,0.3456121343445287,0.17812016300066613,0.17491345716962403,0.17,0.001,8,16,23,30,38,46,53,62,69,76,84,91,98,108,113,121,129,138,146,153,161,167,175,182,190
23,0.3617636429345862,0.3456121343445287,0.17846038694428434,0.17491345716962403,0.17,0.001,8,16,23,30,37,46,53,62,69,76,84,91,98,108,113,121,129,138,146,153,161,167,175,182,190
24,0.3618841103481508,0.3456121343445287,0.17869063062765556,0.17491345716962403,0.18,0.001,8,16,23,30,37,46,53,62,69,76,84,91,98,108,113,121,129,138,146,153,161,167,175,182,190
25,0.3623659800024093,0.3466955579631636,0.17943100269628487,0.1763855428818345,0.19,0.001,8,16,23,30,37,46,53,62,69,76,84,91,98,108,113,121,129,138,146,153,161,167,175,182,190
26,0.3623659800024093,0.3466955579631636,0.17950608787860722,0.1763855428818345,0.19,0.001,8,16,23,30,37,46,53,62,69,76,84,91,98,108,113,121,129,138,146,153,161,167,175,182,190
27,0.3626069148295386,0.3466955579631636,0.1799661901174261,0.1763855428818345,0.2,0.001,8,16,23,30,37,46,53,62,69,76,84,91,98,108,113,121,129,138,146,153,161,167,176,182,190
28,0.36357065413805567,0.3466955579631636,0.18158045646023957,0.17670352427794822,0.21,0.001,8,16,23,30,37,46,53,62,69,77,84,91,98,108,113,121,129,138,146,153,161,167,176,182,190
29,0.3640525237923142,0.3477789815817985,0.18245430540317342,0.17828035829689193,0.22,0.001,8,16,23,30,37,46,53,62,69,77,84,91,98,108,113,121,129,138,146,153,161,167,176,182,190
30,0.3645343934465727,0.3477789815817985,0.18341716273937303,0.17849174937497514,0.23,0.001,8,16,23,30,37,46,53,62,69,77,84,91,98,108,113,121,129,138,146,153,161,167,176,182,190
31,0.3648957956872666,0.3477789815817985,0.18434367682686081,0.17880863214086196,0.23,0.001,8,16,23,30,37,46,53,62,69,77,84,91,97,108,113,121,129,138,146,153,161,167,176,182,190
32,0.3648957956872666,0.3477789815817985,0.18486478174175214,0.1789142054110927,0.24,0.001,8,16,23,30,37,46,53,62,68,77,84,91,97,108,112,121,129,139,146,153,161,167,176,182,190
33,0.36501626310083124,0.3488624052004334,0.18591100382259984,0.18122549829964107,0.25,0.001,8,16,23,30,37,46,53,62,68,77,84,91,97,108,112,121,129,139,146,153,161,167,176,182,190
34,0.36501626310083124,0.3488624052004334,0.18737988872260547,0.18196082363853805,0.26,0.001,8,16,23,30,37,46,53,62,68,77,84,91,97,108,112,120,129,139,146,153,161,167,176,182,190
35,0.3653776653415251,0.3488624052004334,0.18977619866416007,0.1833229296099781,0.26,0.001,8,16,23,30,37,46,53,62,68,77,84,91,97,108,112,120,129,139,146,153,161,167,176,182,190
36,0.3653776653415251,0.3488624052004334,0.19166956014068492,0.18457623829907333,0.27,0.001,8,16,23,30,37,46,53,62,68,77,85,91,97,108,112,120,129,139,146,153,161,166,176,182,190
37,0.36525719792796046,0.34994582881906827,0.1933426952221613,0.18800987642736078,0.28,0.001,8,16,23,30,37,46,53,62,68,77,85,91,97,108,112,120,129,139,146,153,161,166,176,182,190
38,0.3653776653415251,0.34994582881906827,0.19503797984328874,0.18883765621246662,0.28,0.001,8,16,23,30,37,46,52,62,68,77,85,91,97,108,112,120,129,139,146,153,161,166,176,182,190
39,0.36501626310083124,0.34994582881906827,0.1955808560669995,0.1893541620618333,0.29,0.001,8,16,23,30,37,46,52,62,68,77,85,91,97,108,112,120,129,139,146,153,160,166,176,182,190
40,0.36501626310083124,0.34994582881906827,0.19675310303624616,0.19038520296654093,0.3,0.001,8,16,23,30,37,46,52,62,68,77,85,91,97,108,112,120,129,139,146,153,160,166,176,182,190
41,0.3648957956872666,0.34994582881906827,0.1974525853241169,0.19110537247421266,0.31,0.001,8,16,23,30,37,46,52,62,68,77,85,91,97,108,112,120,129,139,146,153,160,166,176,183,191
42,0.36477532827370196,0.34994582881906827,0.19774731209480179,0.19141362449061827,0.31,0.001,8,16,23,30,37,46,52,62,68,77,85,91,97,108,112,120,129,139,146,153,160,166,176,183,191
