dataset,target_size,algorithm,time,metric1,metric2,selected_features
ghisaconus,5,pcal,0.03,0.6492795389048991,0.5054462047277071,22-23-24-25-26||22-23-24-25-26||22-23-24-25-26||22-23-24-25-26||22-23-24-25-26||22-23-24-25-26||22-23-24-25-26||22-23-24-25-26||22-23-24-25-26||22-23-24-25-26
ghisaconus,5,lasso,0.12,0.6443804034582132,0.5056883691348922,10-28-38-71-91||10-28-38-71-91||10-28-38-71-91||10-28-38-71-91||10-28-38-71-91||10-28-38-71-91||10-28-47-71-91||10-28-47-71-91||10-28-38-71-91||9-10-28-38-71
ghisaconus,5,mcuve,1.01,0.5089337175792507,0.2841827022089914,68-69-70-71-72||68-69-70-71-72||28-66-67-68-73||67-68-69-72-73||67-68-69-70-72||66-67-68-72-73||68-69-70-71-72||68-69-70-71-72||68-69-70-71-72||28-66-67-68-74
ghisaconus,5,spa,7.38,0.6282420749279538,0.4835155247191256,1-24-29-48-102||1-24-29-48-102||1-24-29-48-102||1-27-46-71-112||1-24-29-48-102||1-24-29-48-102||1-24-29-48-102||1-24-29-48-102||1-24-29-48-102||1-24-29-48-102
ghisaconus,5,bsnet,41.91,0.6118155619596541,0.4595248797716924,2-35-39-67-82||2-35-39-67-82||35-39-67-70-99||2-32-35-39-82||2-35-39-70-82||2-35-39-70-82||2-35-39-70-82||2-35-39-70-82||2-35-39-70-82||2-35-39-70-82
ghisaconus,5,zhang,106.23,0.6259365994236312,0.475478679120118,2-22-78-98-128||6-77-78-98-128||22-42-98-103-105||22-23-61-77-114||17-20-22-77-102||2-18-26-105-128||6-23-77-79-128||20-22-77-105-128||16-77-105-106-128||2-22-77-104-107
ghisaconus,10,pcal,0.03,0.6438040345821325,0.5032781978809626,21-22-23-24-25-26-27-46-47-48||21-22-23-24-25-26-27-46-47-48||21-22-23-24-25-26-27-46-47-48||21-22-23-24-25-26-27-46-47-48||21-22-23-24-25-26-27-46-47-48||21-22-23-24-25-26-27-46-47-48||21-22-23-24-25-26-27-46-47-48||21-22-23-24-25-26-27-46-47-48||21-22-23-24-25-26-27-46-47-48||21-22-23-24-25-26-27-46-47-48
ghisaconus,10,lasso,0.12,0.6706051873198848,0.5403437759695509,9-10-28-38-42-45-47-71-91-130||10-28-38-41-44-45-47-71-91-130||10-28-38-42-43-44-45-71-91-130||9-10-28-38-41-44-45-71-91-130||9-10-28-38-42-45-47-71-91-130||9-10-28-38-42-45-47-71-91-130||10-28-38-41-44-45-47-71-91-130||10-28-38-41-44-45-47-71-91-130||10-28-38-41-44-45-47-71-91-130||9-10-28-38-42-45-47-71-91-130
ghisaconus,10,mcuve,1.01,0.5158501440922191,0.3182845724006339,29-66-67-68-69-70-71-72-73-74||28-66-67-68-69-70-71-72-73-74||65-66-67-68-69-70-71-72-73-74||28-66-67-68-69-70-71-72-73-74||29-66-67-68-69-70-71-72-73-74||29-66-67-68-69-70-71-72-73-74||29-66-67-68-69-70-71-72-73-74||65-66-67-68-69-70-71-72-73-74||65-66-67-68-69-70-71-72-73-74||65-66-67-68-69-70-71-72-73-74
ghisaconus,10,spa,12.72,0.7008645533141211,0.5832457256741417,1-11-24-28-32-48-61-71-101-102||1-11-24-29-33-48-71-76-102-130||1-11-24-28-33-48-62-71-102-130||1-11-24-28-33-48-62-71-102-130||1-11-24-28-33-48-62-71-102-130||1-11-24-28-33-48-62-71-102-130||1-11-24-28-33-48-62-71-102-130||1-11-24-28-33-48-62-71-102-130||1-11-24-28-33-48-62-71-102-130||1-11-24-28-33-48-62-71-102-130
ghisaconus,10,bsnet,41.91,0.645821325648415,0.5084375473573448,2-32-35-39-67-70-82-99-103-116||2-32-35-39-67-70-82-99-103-116||2-32-35-39-67-70-82-99-103-116||2-32-35-39-67-70-82-92-99-116||2-32-35-39-67-69-70-82-99-116||2-32-35-39-67-70-82-92-99-116||2-31-32-35-39-67-70-82-99-116||2-32-35-39-67-70-82-99-103-116||2-32-35-39-67-70-82-99-103-116||2-31-32-35-39-67-70-82-99-103
ghisaconus,10,zhang,106.23,0.6674351585014409,0.5359050199002198,2-20-22-58-62-78-94-98-102-128||2-6-19-20-77-78-79-98-104-128||2-22-42-77-98-103-105-108-117-127||6-9-20-22-23-26-61-77-101-114||17-20-22-26-39-77-102-105-106-107||2-18-21-22-23-26-77-82-105-128||6-12-22-23-29-35-77-79-91-128||6-16-20-22-49-77-105-106-118-128||16-23-26-77-79-104-105-106-128-129||2-19-21-22-23-77-103-104-107-120
ghisaconus,15,pcal,0.03,0.6351585014409221,0.4902257679219243,20-21-22-23-24-25-26-27-31-32-33-46-47-48-49||20-21-22-23-24-25-26-27-31-32-33-46-47-48-49||20-21-22-23-24-25-26-27-31-32-33-46-47-48-49||20-21-22-23-24-25-26-27-31-32-33-46-47-48-49||20-21-22-23-24-25-26-27-31-32-33-46-47-48-49||20-21-22-23-24-25-26-27-31-32-33-46-47-48-49||20-21-22-23-24-25-26-27-31-32-33-46-47-48-49||20-21-22-23-24-25-26-27-31-32-33-46-47-48-49||20-21-22-23-24-25-26-27-31-32-33-46-47-48-49||20-21-22-23-24-25-26-27-31-32-33-46-47-48-49
ghisaconus,15,lasso,0.12,0.6703170028818444,0.5400637232039551,9-10-28-38-39-40-41-42-43-44-45-47-71-91-130||10-28-37-38-39-40-41-42-43-44-45-47-71-91-130||10-28-37-38-39-40-41-42-43-44-45-47-71-91-130||9-10-28-38-39-40-41-42-43-44-45-47-71-91-130||9-10-28-38-39-40-41-42-43-44-45-47-71-91-130||9-10-28-38-39-40-41-42-43-44-45-47-71-91-130||10-28-37-38-39-40-41-42-43-44-45-47-71-91-130||10-28-37-38-39-40-41-42-43-44-45-47-71-91-130||10-28-37-38-39-40-41-42-43-44-45-47-71-91-130||9-10-28-38-39-40-41-42-43-44-45-47-71-91-130
ghisaconus,15,mcuve,1.02,0.6155619596541786,0.4648398295080428,28-29-63-64-65-66-67-68-69-70-71-72-73-74-75||28-29-66-67-68-69-70-71-72-73-74-87-88-91-92||28-29-63-64-65-66-67-68-69-70-71-72-73-74-75||28-29-54-64-65-66-67-68-69-70-71-72-73-74-75||28-29-53-54-65-66-67-68-69-70-71-72-73-74-75||28-29-63-64-65-66-67-68-69-70-71-72-73-74-75||28-29-58-64-65-66-67-68-69-70-71-72-73-74-75||28-29-54-64-65-66-67-68-69-70-71-72-73-74-75||28-29-30-53-56-65-66-67-68-69-70-71-72-73-74||28-29-64-65-66-67-68-69-70-71-72-73-74-75-92
ghisaconus,15,spa,17.81,0.7337175792507205,0.6285298895477905,1-11-24-28-33-45-48-55-62-70-76-91-102-126-130||1-11-24-28-32-48-49-55-62-71-76-89-102-126-130||1-11-24-28-32-48-49-55-62-71-76-91-102-126-130||1-11-24-28-32-48-49-55-62-71-76-89-102-126-130||1-11-24-28-32-48-49-55-62-71-76-89-102-126-130||1-11-24-28-33-45-48-55-62-70-76-89-102-126-130||1-11-24-28-32-48-49-55-62-71-76-89-102-126-130||1-11-24-28-32-45-48-51-62-70-76-89-102-126-130||1-11-24-28-33-45-48-55-62-70-76-89-102-126-130||1-11-24-28-32-45-48-51-62-70-76-89-102-126-130
ghisaconus,15,bsnet,41.91,0.6979827089337177,0.5796059362108864,2-20-31-32-35-39-49-56-67-69-70-82-99-103-116||2-20-31-32-35-39-56-67-69-70-82-92-99-103-116||2-20-31-32-35-39-56-67-69-70-82-92-99-103-116||2-24-31-32-34-35-39-56-67-70-82-92-99-103-116||2-20-29-31-32-35-39-56-67-69-70-82-92-99-116||2-31-32-35-39-49-56-67-69-70-82-92-99-103-116||2-20-31-32-35-39-56-67-69-70-82-92-99-103-116||2-20-31-32-35-39-56-67-69-70-82-92-99-103-116||2-20-31-32-35-39-56-67-69-70-82-92-99-103-116||2-29-31-32-35-39-56-67-69-70-82-92-99-103-116
ghisaconus,15,zhang,106.23,0.6925072046109509,0.570828671198443,2-20-22-26-48-58-62-78-83-94-98-102-110-116-128||2-6-19-20-21-22-35-77-78-79-87-98-104-127-128||2-5-9-11-22-38-42-77-94-98-103-105-108-117-127||6-9-11-17-20-22-23-26-36-61-77-101-104-106-114||9-16-17-20-21-22-26-29-39-77-102-105-106-107-117||2-18-21-22-23-26-35-77-81-82-98-105-106-119-128||6-8-12-22-23-29-35-77-79-91-97-98-106-124-128||6-11-16-20-22-23-35-49-77-78-103-105-106-118-128||16-22-23-26-27-61-77-78-79-88-104-105-106-128-129||2-6-19-21-22-23-26-77-79-103-104-106-107-120-129
ghisaconus,20,pcal,0.03,0.6538904899135446,0.5175110280151282,0-1-18-19-20-21-22-23-24-25-26-27-31-32-33-34-46-47-48-49||0-1-18-19-20-21-22-23-24-25-26-27-31-32-33-34-46-47-48-49||0-1-18-19-20-21-22-23-24-25-26-27-31-32-33-34-46-47-48-49||0-1-18-19-20-21-22-23-24-25-26-27-31-32-33-34-46-47-48-49||0-1-18-19-20-21-22-23-24-25-26-27-31-32-33-34-46-47-48-49||0-1-18-19-20-21-22-23-24-25-26-27-31-32-33-34-46-47-48-49||0-1-18-19-20-21-22-23-24-25-26-27-31-32-33-34-46-47-48-49||0-1-18-19-20-21-22-23-24-25-26-27-31-32-33-34-46-47-48-49||0-1-18-19-20-21-22-23-24-25-26-27-31-32-33-34-46-47-48-49||0-1-18-19-20-21-22-23-24-25-26-27-31-32-33-34-46-47-48-49
