epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15
51,0.48234200743494426,0.46657381615598886,0.36444069596372985,0.3540511273815481,0.45,0.01,12,30,37,50,62,79,85,100,108,128,140,149,153,172,183
52,0.5004646840148699,0.49164345403899723,0.3918427786551145,0.38822721988524167,0.46,0.01,12,30,37,50,62,79,84,100,108,129,140,149,153,172,183
53,0.4961276332094176,0.48467966573816157,0.38441045399937435,0.3785614701561666,0.47,0.01,12,30,37,50,62,79,84,100,107,129,140,149,153,172,183
54,0.48636926889714993,0.47214484679665736,0.37058816490551416,0.36175831804898184,0.48,0.01,12,30,37,50,62,79,84,100,107,129,140,149,153,172,183
55,0.48977695167286245,0.49025069637883006,0.3854870071608204,0.3912110773137004,0.48,0.01,12,30,37,50,62,79,84,100,108,129,140,149,153,172,183
56,0.4888475836431227,0.4763231197771588,0.3740615609549891,0.3669321176989241,0.49,0.01,12,30,37,50,62,79,84,100,108,130,139,149,153,172,183
57,0.5006195786864932,0.4972144846796657,0.39101665370969496,0.3940149159516516,0.5,0.01,12,30,37,50,62,79,84,100,108,130,139,149,153,172,183
58,0.5046468401486989,0.5013927576601671,0.39922549881178027,0.40179477393109475,0.51,0.01,12,30,37,50,62,79,85,100,108,130,139,149,153,172,183
59,0.4927199504337051,0.4818941504178273,0.37907894801758923,0.373547892288965,0.52,0.01,12,30,37,50,62,79,85,100,108,130,139,149,153,172,183
60,0.4877633209417596,0.49025069637883006,0.3851078302385478,0.39230214230214233,0.53,0.01,12,30,37,50,62,79,85,100,108,130,139,149,153,172,183
61,0.4913258983890954,0.4832869080779944,0.3772559761928924,0.37574142686736445,0.53,0.01,12,30,37,50,62,79,85,100,108,130,139,149,153,172,183
62,0.5052664188351921,0.5055710306406686,0.3990141313896337,0.40558478386597263,0.54,0.01,12,30,37,50,62,79,85,100,108,130,139,149,154,172,183
63,0.5072800495662949,0.5027855153203342,0.4012452293076746,0.40204771469161815,0.55,0.01,12,30,37,51,62,79,85,100,108,130,139,149,154,172,183
64,0.5069702602230484,0.5041782729805014,0.3993620439753035,0.402959416058394,0.56,0.01,12,30,37,51,62,79,85,100,108,130,139,149,153,172,183
65,0.4921003717472119,0.49442896935933145,0.38833871385771324,0.3962249289973452,0.57,0.01,12,30,37,51,62,79,84,100,108,130,139,149,154,172,183
66,0.4924101610904585,0.4805013927576602,0.37854152815312825,0.37180052542690945,0.58,0.01,12,30,37,51,62,78,85,100,107,130,139,149,154,172,183
67,0.48249690210656754,0.4972144846796657,0.38324957636376444,0.4032206074671677,0.58,0.01,12,30,37,51,62,78,84,100,108,130,139,149,154,172,183
68,0.5023234200743495,0.4958217270194986,0.39212290745910094,0.39140574511328197,0.59,0.01,12,30,37,51,62,78,84,100,108,130,139,149,154,172,183
69,0.5055762081784386,0.5013927576601671,0.40008646069226195,0.4005419851956885,0.6,0.01,12,30,37,51,62,78,84,100,108,130,140,149,154,172,183
70,0.49364931846344484,0.4958217270194986,0.39066080790914925,0.3983899415323794,0.61,0.01,12,30,37,51,62,78,85,100,108,130,140,149,154,172,183
71,0.49752168525402723,0.49303621169916434,0.3856018970501429,0.38801038746947103,0.62,0.01,12,30,37,51,62,78,85,100,108,130,140,149,154,172,183
72,0.4941140024783148,0.4958217270194986,0.3920088506813153,0.39853611916536125,0.62,0.01,12,30,37,51,62,78,85,100,108,130,140,149,154,172,184
73,0.5055762081784386,0.5055710306406686,0.39865152376344015,0.40498117294974234,0.63,0.01,12,30,37,51,62,78,85,100,108,129,139,149,154,172,184
74,0.5055762081784386,0.5055710306406686,0.3983260440677361,0.40513809085944463,0.64,0.01,12,30,37,51,62,78,85,100,108,129,139,149,154,172,184
75,0.4951982651796778,0.4986072423398329,0.39423380225470606,0.40256696505959777,0.65,0.01,12,30,37,51,62,78,85,100,108,129,139,149,154,172,184
76,0.5061957868649318,0.4972144846796657,0.3975679594881196,0.39356689298899894,0.66,0.01,12,30,37,51,62,78,85,100,108,129,139,149,153,172,184
77,0.5004646840148699,0.5,0.3978186043584414,0.4021509965232438,0.67,0.01,12,30,37,52,62,78,85,100,108,129,139,149,153,172,184
78,0.5085192069392813,0.5027855153203342,0.40496781536536897,0.40372523431011986,0.68,0.01,12,30,37,52,62,78,85,100,108,129,139,149,153,172,184
79,0.5106877323420075,0.5097493036211699,0.40433440717360614,0.4099034312718307,0.68,0.01,12,30,37,52,62,78,85,100,107,129,139,149,153,172,184
80,0.49845105328376704,0.5013927576601671,0.3985003459312543,0.406215421434033,0.69,0.01,12,30,37,52,62,78,85,100,107,130,139,149,153,172,184
81,0.512546468401487,0.5083565459610028,0.40652777524213746,0.4083623953650145,0.7,0.01,12,30,37,52,62,78,85,100,107,130,139,149,153,172,183
82,0.5153345724907064,0.5264623955431755,0.4146532453096584,0.4337828372090865,0.71,0.01,12,30,37,52,62,78,85,100,108,130,139,149,153,172,183
83,0.5145600991325898,0.5222841225626741,0.4119154051939582,0.42764778611335774,0.72,0.01,12,30,37,52,62,78,85,100,108,130,139,149,153,172,183
84,0.5171933085501859,0.5194986072423399,0.41388801591908564,0.4229653769908289,0.73,0.01,12,30,37,52,62,78,85,100,108,130,139,149,153,172,183
85,0.5171933085501859,0.5389972144846796,0.4205198890693528,0.45130479552470015,0.73,0.01,12,30,37,52,62,78,85,100,108,130,139,149,153,172,183
86,0.5173482032218092,0.5097493036211699,0.4123089040963628,0.41004117685505936,0.74,0.01,12,30,37,52,62,78,85,100,108,130,140,149,153,172,183
87,0.536090458488228,0.5515320334261838,0.44648128502249584,0.4693481269638705,0.75,0.01,12,30,37,52,62,78,85,100,108,130,140,149,153,172,183
88,0.5201363073110284,0.520891364902507,0.41643506257322394,0.42397507387117617,0.76,0.01,12,30,37,52,62,78,85,100,108,130,140,149,153,172,183
89,0.529275092936803,0.5459610027855153,0.43616483721408217,0.4606529272968588,0.77,0.01,12,30,37,52,62,78,85,100,108,130,140,149,153,172,183
90,0.5391883519206939,0.5473537604456824,0.44245720355534346,0.45869144136307216,0.77,0.01,12,30,37,52,62,78,85,100,108,130,140,149,153,172,183
91,0.5354708798017348,0.5501392757660167,0.4383520102174653,0.4623829901663058,0.78,0.01,12,30,37,52,62,78,85,100,108,130,140,149,153,172,183
