epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20
0,0.21158612143742256,0.2116991643454039,0.061162901223377975,0.06113217311348773,0.02,0.01,10,19,29,38,47,56,66,76,85,95,103,114,122,132,141,151,160,169,179,188
1,0.2459727385377943,0.22423398328690808,0.00013343088995720898,0.0,0.03,0.01,9,19,29,37,47,56,66,76,85,95,103,114,122,131,141,150,160,169,180,188
2,0.2459727385377943,0.22423398328690808,2.224095468494891e-05,0.0,0.04,0.01,9,20,29,37,47,56,66,77,85,94,103,114,123,131,141,150,160,169,180,188
3,0.2459727385377943,0.22423398328690808,0.0,0.0,0.05,0.01,9,20,29,37,47,56,65,77,85,94,103,113,123,131,141,149,159,169,180,188
4,0.24659231722428748,0.22423398328690808,0.0009239279000264888,0.0,0.06,0.01,9,20,29,37,48,56,66,77,85,93,103,113,123,130,141,149,160,169,180,188
5,0.366635687732342,0.3467966573816156,0.19206165340964598,0.18491839308319957,0.07,0.01,9,20,29,37,48,56,66,77,85,93,103,113,122,130,141,149,160,169,180,188
6,0.36477695167286245,0.34540389972144847,0.19914961702275935,0.19047550508321698,0.08,0.01,9,20,29,37,48,56,66,77,84,93,103,112,122,130,140,149,160,169,179,188
7,0.3646220570012392,0.34540389972144847,0.20149824279942152,0.1917493575142687,0.09,0.01,9,20,29,37,48,56,67,77,84,93,102,112,122,129,140,148,160,169,179,188
8,0.36570631970260226,0.34540389972144847,0.19942898116798857,0.18934176357683186,0.1,0.01,9,20,29,37,48,56,67,76,84,93,102,112,122,129,140,148,160,169,179,188
9,0.34417596034696407,0.3426183844011142,0.17773475941870875,0.189244019138756,0.11,0.01,9,21,29,37,48,56,67,76,84,93,101,112,122,129,140,148,160,169,179,188
10,0.36648079306071873,0.34540389972144847,0.19556563425037188,0.1869158653324885,0.12,0.01,9,21,29,38,48,56,68,76,84,93,101,112,122,129,140,148,160,169,179,188
11,0.3663258983890954,0.34540389972144847,0.1957235501827289,0.18705885187058857,0.13,0.01,9,21,28,38,48,56,68,76,85,93,101,111,121,128,140,148,160,169,179,188
12,0.36617100371747213,0.34540389972144847,0.1966677066399558,0.18734467412873024,0.13,0.01,9,21,28,38,48,57,68,77,85,93,100,111,121,128,140,148,160,169,179,188
13,0.36570631970260226,0.34540389972144847,0.1976284786513548,0.18805835123826764,0.14,0.01,9,21,28,38,48,57,69,77,85,93,100,111,121,128,140,148,161,169,179,188
14,0.3700433705080545,0.34818941504178275,0.20739710921561094,0.19450384021631795,0.15,0.01,9,21,28,38,48,57,69,77,85,93,100,111,121,128,140,148,161,169,179,188
15,0.3763940520446097,0.35376044568245124,0.2175902060245828,0.2032467827530211,0.16,0.01,9,21,29,38,48,57,69,77,85,93,100,111,121,127,139,148,161,169,179,187
16,0.38243494423791824,0.3649025069637883,0.22531614025530777,0.21763504068246176,0.17,0.01,9,22,29,38,49,57,69,77,85,93,99,111,121,127,139,148,161,169,178,187
17,0.3945167286245353,0.3788300835654596,0.24098489055946126,0.23549732495207354,0.18,0.01,9,22,29,38,49,57,70,77,84,93,99,111,121,127,139,148,161,169,178,187
18,0.41263940520446096,0.38997214484679665,0.26701246002217194,0.2511875650333232,0.18,0.01,9,22,29,38,48,57,70,77,84,94,99,110,121,127,139,148,161,169,178,187
19,0.42410161090458487,0.4011142061281337,0.2839086663299327,0.2670042710996835,0.19,0.01,9,22,29,38,48,57,70,77,84,94,99,110,121,127,139,149,161,169,178,187
20,0.4354089219330855,0.41225626740947074,0.3004180287169623,0.28265275199818185,0.2,0.01,9,22,29,38,48,57,71,77,84,94,98,110,121,126,139,149,161,169,178,187
21,0.44950433705080545,0.43036211699164345,0.31965643940387933,0.30679766117210505,0.21,0.01,9,23,29,38,48,57,71,77,84,94,98,110,121,126,139,149,161,169,178,187
22,0.4541511771995043,0.4373259052924791,0.3260388982949878,0.31592277977709327,0.22,0.01,9,23,29,38,48,57,71,76,84,95,98,110,121,126,139,149,161,168,178,187
23,0.45384138785625777,0.435933147632312,0.3254799030171217,0.3140806997183576,0.23,0.01,9,23,29,38,48,57,71,76,84,95,98,110,121,126,139,149,161,168,178,187
24,0.45306691449814124,0.4331476323119777,0.3241623017099251,0.3104787522710648,0.24,0.01,9,23,29,38,48,57,72,76,85,95,98,110,121,126,139,149,161,168,178,187
25,0.4563197026022305,0.4387186629526462,0.32819027173587256,0.3171184140657265,0.25,0.01,9,24,29,37,48,57,72,76,85,95,98,110,122,126,138,149,161,168,178,187
26,0.4592627013630731,0.4428969359331476,0.3320733808705977,0.32279324208019433,0.26,0.01,10,24,29,37,48,57,72,76,85,94,97,110,122,126,138,149,161,168,178,187
27,0.4605018587360595,0.4428969359331476,0.3340177302273776,0.32300395778675106,0.27,0.01,10,24,29,37,48,57,72,76,85,94,97,110,122,126,138,149,161,168,178,187
28,0.45802354399008677,0.4428969359331476,0.3313955152397099,0.3236655818312838,0.28,0.01,10,24,29,37,48,57,73,76,85,94,98,110,122,126,138,149,161,168,178,186
29,0.4594175960346964,0.44428969359331477,0.3334629442689938,0.32593263608663436,0.29,0.01,10,24,29,37,48,57,73,76,84,94,98,110,122,126,138,149,161,168,177,186
30,0.46189591078066916,0.4456824512534819,0.336443991031223,0.3273086366279274,0.29,0.01,10,24,29,37,48,57,74,76,84,94,98,110,123,126,138,149,161,168,177,186
31,0.46096654275092935,0.44428969359331477,0.3351711631947938,0.3251990964401722,0.3,0.01,10,24,29,37,48,57,74,77,85,94,98,110,123,126,138,149,161,168,177,186
32,0.45848822800495664,0.4401114206128134,0.33215991263287636,0.32014942599126617,0.31,0.01,10,24,29,37,48,57,74,77,85,94,98,110,123,127,138,149,161,168,177,186
33,0.4600371747211896,0.4428969359331476,0.3341339681052835,0.3232847081665303,0.32,0.01,10,24,29,37,48,57,74,77,85,95,98,110,124,127,138,149,161,168,177,186
34,0.46437422552664187,0.4456824512534819,0.33976580794036604,0.32739571908054843,0.33,0.01,10,24,30,37,48,57,74,77,84,95,98,110,124,127,138,149,161,168,177,186
35,0.47242874845105326,0.4582172701949861,0.35345896578890257,0.3456931550108112,0.34,0.01,10,24,30,37,48,57,74,77,84,95,98,110,124,127,138,149,160,168,177,186
36,0.46545848822800495,0.44707520891364905,0.34169953172190026,0.32937611458524496,0.35,0.01,10,24,30,37,48,58,74,77,84,94,98,110,125,127,138,149,160,168,177,186
