epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10
0,0,0,164.49047156104513,162.57982414417233,0.11,0.01,385,766,1145,1524,1903,2259,2638,3017,3396,3777
1,0,0,87.29855158807047,84.18133445314645,0.12,0.01,389,772,1151,1518,1895,2251,2629,3022,3390,3773
2,0,0,81.87548604340465,78.57042397389428,0.14,0.01,392,778,1158,1512,1890,2243,2622,3027,3383,3769
3,0,0,87.0374184304156,83.9172624290959,0.15,0.01,396,784,1165,1508,1886,2235,2614,3030,3377,3766
4,0,0,83.18234335538853,79.90991937703197,0.17,0.01,399,791,1172,1505,1880,2228,2607,3032,3370,3762
5,0,0,79.05648136676555,75.60370309631004,0.19,0.01,402,797,1179,1503,1875,2222,2600,3034,3363,3758
6,0.013423858213342799,0.012499502962888376,75.9704725226354,72.35891444735749,0.2,0.01,406,803,1186,1502,1870,2215,2593,3035,3357,3754
7,0.030380826246585557,0.03169941954688038,75.31476267347922,71.65202506079294,0.22,0.01,409,810,1194,1501,1866,2209,2586,3036,3350,3750
8,0.0027993080068734466,0.0013533490192915165,76.37844905775941,72.7661366607521,0.23,0.01,413,816,1203,1500,1862,2203,2579,3037,3343,3746
9,0,0,76.6485963616996,73.06365616065555,0.24,0.01,416,823,1211,1500,1860,2198,2572,3037,3337,3743
10,0.011833848134370384,0.010469511168617718,76.03166743617425,72.43324984835176,0.25,0.01,420,830,1220,1500,1858,2192,2565,3037,3330,3739
11,0.03166069845935193,0.0319380285363714,75.26504274997956,71.64319617796062,0.26,0.01,424,836,1228,1500,1857,2187,2557,3037,3323,3735
12,0.047347312695999344,0.049078069177115546,74.65292413583845,71.00612732143261,0.28,0.01,427,843,1237,1500,1856,2182,2550,3037,3316,3731
13,0.059542790222623876,0.06232769119023818,74.17354873559205,70.5097095485792,0.29,0.01,431,850,1246,1501,1856,2177,2543,3036,3309,3727
14,0.06757156543491871,0.07084430435443434,73.8562562145635,70.18876960672733,0.3,0.01,435,857,1255,1502,1857,2172,2536,3035,3303,3723
15,0.07578956785959357,0.07940854400835184,73.53006798879966,69.86454877676697,0.31,0.01,439,863,1264,1503,1857,2168,2528,3034,3296,3720
16,0.0863516195946239,0.09044650645283359,73.10870544948803,69.44444370659721,0.33,0.01,443,870,1273,1504,1858,2163,2521,3033,3289,3716
17,0.09829632008552958,0.10285213170740304,72.62923220779462,68.96923496091391,0.34,0.01,446,877,1282,1506,1859,2159,2514,3032,3282,3712
18,0.10963664545247276,0.11434952465008075,72.1710749712099,68.52587045689387,0.35,0.01,450,884,1291,1507,1861,2155,2507,3031,3275,3708
19,0.12486930864255708,0.12988091906829224,71.55104643604977,67.9223584495102,0.36,0.01,454,890,1300,1509,1863,2151,2500,3029,3269,3704
20,0.14442612437909086,0.150137816938536,70.7470426446841,67.12706220645106,0.37,0.01,458,897,1309,1511,1865,2148,2493,3028,3262,3701
21,0.16080883616271946,0.16663031103377024,70.06642704761497,66.472533096385,0.39,0.01,462,904,1319,1513,1868,2144,2487,3026,3255,3697
22,0.18025839063692572,0.1854827794181224,69.24972148522512,65.71636125592127,0.4,0.01,466,910,1328,1515,1870,2141,2480,3024,3249,3693
23,0.19263389999464664,0.1959039969816797,68.72500611017615,65.29461103696651,0.41,0.01,470,916,1337,1517,1873,2138,2473,3023,3243,3689
24,0.20695466217168323,0.20988182684548762,68.11277126482962,64.72460439479333,0.42,0.01,474,923,1346,1519,1877,2135,2467,3021,3236,3685
