epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10
0,0.2459727385377943,0.22423398328690808,0.0,0.0,0.01,0.01,18,36,55,72,91,109,126,144,162,180
1,0.2459727385377943,0.22423398328690808,0.0,0.0,0.02,0.01,19,36,55,71,91,109,125,145,161,180
2,0.2459727385377943,0.22423398328690808,0.0,0.0,0.03,0.01,19,35,55,72,91,109,125,145,161,180
3,0.2459727385377943,0.22423398328690808,0.0,0.0,0.04,0.01,19,35,55,72,91,109,124,145,161,180
4,0.33147459727385375,0.3203342618384401,0.12969129259513013,0.1374186369410444,0.04,0.01,19,35,55,72,91,109,124,146,161,180
5,0.3667905824039653,0.3467966573816156,0.19305349376301129,0.18535022909923127,0.05,0.01,19,36,55,73,91,109,124,146,160,179
6,0.2699814126394052,0.28551532033426186,0.1504264128349041,0.15856684013103495,0.06,0.01,19,36,55,73,90,109,123,146,160,179
7,0.25851920693928127,0.2785515320334262,0.14493264874539902,0.15550893254498066,0.07,0.01,19,36,55,73,90,108,123,147,160,179
8,0.36477695167286245,0.3579387186629526,0.22277135382457858,0.22010032727709694,0.08,0.01,20,36,55,74,90,108,122,147,160,179
9,0.36617100371747213,0.34540389972144847,0.1973937396962523,0.18791571611462454,0.09,0.01,20,37,56,74,90,108,122,147,159,179
10,0.3663258983890954,0.34540389972144847,0.19674619432543827,0.18763029547281895,0.1,0.01,20,37,56,74,90,107,122,148,159,179
11,0.3663258983890954,0.34540389972144847,0.1966676217294424,0.18748750990178864,0.11,0.01,20,37,56,75,90,107,121,148,159,179
12,0.3671003717472119,0.34540389972144847,0.19812987873284227,0.18763029547281895,0.11,0.01,20,37,56,75,90,108,121,148,159,179
13,0.3694237918215613,0.3467966573816156,0.2039421051689443,0.19098300002882973,0.12,0.01,20,37,56,75,90,108,120,148,159,179
