epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25
0,0.17069392812887238,0.17548746518105848,0.03592909969572933,0.041111712687240565,0.01,0.01,8,16,23,30,38,46,54,61,69,76,83,91,100,107,114,121,129,137,145,152,160,167,175,183,190
1,0.2459727385377943,0.22423398328690808,4.4480920071698904e-05,0.0,0.02,0.01,8,16,23,30,38,47,54,61,70,76,83,91,99,108,113,121,129,137,145,152,159,167,175,182,190
2,0.2459727385377943,0.22423398328690808,2.224095468494891e-05,0.0,0.04,0.01,8,16,24,30,37,47,54,61,70,76,83,90,99,107,113,121,129,137,146,152,159,167,175,182,190
3,0.24783147459727387,0.22841225626740946,0.00277121660225943,0.005930350248034899,0.05,0.01,8,16,24,30,37,47,54,62,70,77,83,91,98,108,112,120,129,138,146,153,159,166,174,182,190
4,0.3652416356877323,0.34540389972144847,0.18021745362629082,0.17428049896497555,0.06,0.01,8,16,24,30,37,47,54,62,70,77,83,91,98,108,112,120,129,138,147,153,158,166,174,182,190
5,0.36648079306071873,0.34540389972144847,0.19416422581654036,0.1853396872299231,0.07,0.01,8,16,24,29,37,46,54,62,71,77,82,90,97,108,112,119,130,138,147,153,158,166,174,182,190
6,0.36477695167286245,0.34540389972144847,0.20045240358429461,0.19118369616539688,0.08,0.01,8,16,24,29,37,46,54,62,71,77,82,90,97,107,111,119,130,139,147,154,158,166,174,182,190
7,0.36477695167286245,0.34540389972144847,0.20163484188929548,0.1917493575142687,0.09,0.01,8,17,24,29,37,46,53,63,71,77,82,90,97,108,111,119,130,139,148,154,158,166,174,182,190
8,0.36570631970260226,0.34540389972144847,0.19788292442453792,0.1882009362656185,0.09,0.01,9,17,24,29,38,46,53,63,71,76,83,90,96,108,110,118,131,139,148,154,157,165,174,182,190
9,0.3663258983890954,0.34540389972144847,0.19676583507291656,0.18748750990178864,0.1,0.01,9,17,25,29,38,45,53,63,71,76,83,90,96,108,110,118,131,140,148,154,157,165,174,182,189
10,0.3722118959107807,0.34818941504178275,0.20448779585523347,0.19118843482070214,0.11,0.01,9,17,25,29,38,45,53,63,71,76,83,90,95,108,110,118,131,140,148,154,157,165,174,182,189
11,0.3748451053283767,0.35236768802228413,0.20916638496046414,0.19676946727966915,0.12,0.01,9,17,25,29,38,45,53,63,71,76,83,90,95,108,109,117,131,140,149,154,156,165,174,182,189
12,0.3751548946716233,0.35097493036211697,0.21146162537494828,0.19663081869280952,0.13,0.01,9,17,25,29,38,45,53,63,71,76,83,90,95,108,109,117,132,140,149,154,156,164,174,182,189
13,0.37376084262701365,0.34958217270194986,0.213944003194383,0.19791888433063431,0.14,0.01,9,17,25,29,38,46,53,63,71,76,83,90,94,108,109,117,132,140,149,154,156,164,174,182,189
14,0.37794299876084264,0.35376044568245124,0.2207152073765961,0.2037266754145065,0.15,0.01,9,17,25,29,38,46,53,63,71,76,83,90,94,107,108,116,132,140,149,154,156,164,174,182,189
15,0.3892503097893433,0.36908077994428967,0.23507467575121388,0.22321281438298413,0.15,0.01,9,17,24,29,38,46,53,63,71,77,84,90,93,107,108,116,132,140,149,154,156,164,174,182,189
16,0.40861214374225524,0.39136490250696376,0.2614139287717283,0.25207263643168043,0.16,0.01,9,17,24,29,38,46,53,63,71,77,84,90,93,107,108,116,132,140,150,154,156,164,174,182,189
17,0.4355638166047088,0.4192200557103064,0.29939135876865497,0.2903860374281868,0.17,0.01,9,17,24,29,38,46,53,63,71,77,84,90,93,107,108,116,133,140,150,154,156,164,173,182,189
18,0.442998760842627,0.42618384401114207,0.31063754200954363,0.300411736743898,0.18,0.01,9,17,24,29,38,47,53,63,71,77,84,90,93,107,108,116,133,140,150,155,164,173,182,189
19,0.4468711276332094,0.42479108635097496,0.31629104707603684,0.29979173258653014,0.19,0.01,9,17,24,29,38,47,53,63,71,77,84,90,92,107,108,115,133,140,150,155,163,173,182,188
20,0.4507434944237918,0.43036211699164345,0.321640798336544,0.3071443907295862,0.2,0.01,9,17,24,29,38,47,53,64,71,77,84,90,92,107,108,115,133,140,150,155,163,173,182,188
21,0.4507434944237918,0.435933147632312,0.32206002640157416,0.3144089874924849,0.21,0.01,9,17,24,30,38,47,53,64,71,77,84,90,92,107,108,115,133,140,150,155,163,173,182,188
22,0.4519826517967782,0.4373259052924791,0.324320597862226,0.31701643227308796,0.22,0.01,9,17,24,30,38,47,53,64,71,77,84,89,91,107,108,115,133,140,150,155,163,173,182,188
23,0.4557001239157373,0.4373259052924791,0.32895331385439786,0.3171032589631493,0.22,0.01,9,17,24,30,38,47,53,64,71,77,84,89,91,107,108,115,133,140,150,155,163,173,182,188
24,0.46158612143742256,0.4428969359331476,0.3361609848635556,0.3238343676721257,0.24,0.01,9,17,24,30,38,47,53,64,71,77,84,89,91,107,108,115,133,140,150,155,154,163,173,182,188
25,0.4632899628252788,0.44707520891364905,0.33783545219689637,0.32867801528011975,0.25,0.01,9,17,24,30,38,47,53,64,71,78,85,89,91,107,108,115,133,140,150,155,154,163,173,182,188
26,0.463909541511772,0.44707520891364905,0.33837055959854434,0.32789447995680343,0.26,0.01,10,17,24,31,38,48,53,64,71,78,85,88,91,108,115,133,140,150,155,154,163,173,182,188
27,0.46437422552664187,0.44428969359331477,0.3387267139875966,0.3245913697864726,0.26,0.01,10,16,24,31,38,48,53,64,71,78,85,88,91,108,115,134,140,150,155,154,163,173,182,188
28,0.46406443618339527,0.44707520891364905,0.3389577864169724,0.3285119635146373,0.27,0.01,10,16,24,31,38,48,53,64,71,78,85,88,92,108,115,134,140,150,155,154,163,173,182,188
29,0.4646840148698885,0.4415041782729805,0.3420045150321669,0.32383774999295456,0.28,0.01,10,16,24,31,38,48,53,64,71,78,85,88,92,108,115,134,140,150,155,154,163,173,182,188
30,0.46437422552664187,0.44846796657381616,0.34037043453086924,0.33132649125612623,0.29,0.01,10,16,24,31,38,48,53,64,71,79,85,89,92,108,115,134,140,150,154,153,163,173,182,188
31,0.4635997521685254,0.44707520891364905,0.3418765744667236,0.3316702031629172,0.3,0.01,10,16,24,31,38,48,53,64,71,79,85,89,92,108,115,134,140,150,154,153,163,173,182,188
32,0.46623296158612143,0.44846796657381616,0.34312304679697503,0.33170997705990746,0.31,0.01,10,16,24,31,38,48,53,64,71,79,84,89,93,108,107,116,134,140,150,154,153,163,172,182,187
33,0.468091697645601,0.4456824512534819,0.3489072151759959,0.3302348692059073,0.31,0.01,10,16,24,30,38,48,53,64,71,79,84,89,93,108,116,135,140,149,154,153,163,172,181,187
34,0.46638785625774476,0.44986072423398327,0.34267591417984167,0.33279695487598604,0.32,0.01,10,16,24,30,38,48,52,64,71,79,84,89,92,108,116,135,140,149,154,153,163,172,181,187
35,0.487453531598513,0.49303621169916434,0.38850810850822526,0.39673753724918115,0.33,0.01,10,16,24,30,38,48,52,63,71,79,84,89,92,108,116,135,140,149,154,153,163,172,181,187
36,0.46638785625774476,0.45264623955431754,0.34214259847716455,0.3355687156362952,0.34,0.01,10,16,24,30,38,48,52,63,71,79,84,89,92,108,116,135,140,149,154,153,163,172,181,187
