algorithm,r2_5,r2_10,r2_15,r2_15,r2_20,r2_25,r2_30
All Bands,0.72,0.72,0.72,0.72,0.72,0.72,0.72
BSDR,0.66±0.04,0.68±0.03,0.71±0.03,0.71±0.03,0.73±0.03,0.74±0.04,0.74±0.03
BS-Net-FC,0.61±0.03,0.65±0.03,0.70±0.03,0.70±0.03,0.70±0.02,0.71±0.03,0.72±0.03
LASSO,0.64±0.03,0.67±0.03,0.67±0.02,0.67±0.02,0.69±0.03,0.69±0.03,0.68±0.02
MCUVE,0.51±0.05,0.52±0.03,0.62±0.04,0.62±0.04,0.62±0.03,0.64±0.04,0.64±0.04
PCAL,0.65±0.02,0.64±0.03,0.64±0.04,0.64±0.04,0.65±0.05,0.69±0.04,0.70±0.03
SPA,0.63±0.03,0.70±0.03,0.73±0.03,0.73±0.03,0.74±0.03,0.74±0.03,0.74±0.04
Zhang et al.,0.63±0.03,0.67±0.04,0.69±0.04,0.69±0.04,0.71±0.03,0.72±0.04,0.73±0.04
