algorithm,rmse_5,rmse_10,rmse_15,rmse_15,rmse_20,rmse_25,rmse_30
BSDR,36.47±2.20,36.47±2.20,36.47±2.20,36.47±2.20,36.47±2.20,36.47±2.20,36.47±2.20
BS-Net-FC,40.67±6.73,40.67±6.73,40.67±6.73,40.67±6.73,40.67±6.73,40.67±6.73,40.67±6.73
LASSO,74.41±4.32,74.41±4.32,74.41±4.32,74.41±4.32,74.41±4.32,74.41±4.32,74.41±4.32
MCUVE,61.41±6.95,61.41±6.95,61.41±6.95,61.41±6.95,61.41±6.95,61.41±6.95,61.41±6.95
PCA-loading,73.96±4.37,73.96±4.37,73.96±4.37,73.96±4.37,73.96±4.37,73.96±4.37,73.96±4.37
SPA,,,,,,,
Zhang et al.,,,,,,,
