algorithm,oa_5,oa_10,oa_15,oa_15,oa_20,oa_25,oa_30
All Bands,0.74,0.74,0.74,0.74,0.74,0.74,0.74
BSDR,0.70±0.04,0.74±0.03,0.74±0.02,0.74±0.02,0.74±0.03,0.77±0.02,0.75±0.02
BS-Net-FC,0.56±0.02,0.58±0.02,0.61±0.03,0.61±0.03,0.64±0.03,0.67±0.02,0.69±0.02
LASSO,0.58±0.03,0.61±0.04,0.65±0.03,0.65±0.03,0.67±0.02,0.65±0.02,0.66±0.03
MCUVE,0.52±0.04,0.54±0.05,0.55±0.03,0.55±0.03,0.57±0.03,0.58±0.02,0.65±0.04
PCAL,0.53±0.03,0.56±0.02,0.53±0.03,0.53±0.03,0.54±0.02,0.55±0.02,0.59±0.03
SPA,0.50±0.03,0.49±0.03,0.49±0.02,0.49±0.02,0.52±0.02,0.54±0.02,0.57±0.03
Zhang et al.,0.55±0.06,0.66±0.05,0.69±0.03,0.69±0.03,0.72±0.03,0.73±0.03,0.74±0.03
