algorithm,time_5,time_10,time_15,time_15,time_20,time_25,time_30
All Bands,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BSDR,5.06±0.09,6.12±0.06,6.62±0.08,6.62±0.08,6.78±0.07,7.39±0.05,7.56±0.08
BS-Net-FC,79.33±1.54,79.33±1.54,79.33±1.54,79.33±1.54,79.33±1.54,79.33±1.54,140.09±33.38
LASSO,0.75±0.12,0.75±0.12,0.75±0.12,0.75±0.12,0.75±0.12,0.75±0.12,9.32±5.90
MCUVE,90.02±1.67,89.90±1.81,93.02±2.89,93.02±2.89,95.50±22.95,93.81±10.00,86.85±1.76
PCA-loading,2.90±0.15,3.37±0.13,5.57±1.46,5.57±1.46,4.66±0.30,5.65±1.02,3.83±0.99
SPA,15431.18,20974.03,42163.45,42163.45,50163.45,55163.45,60163.45
