algorithm,rmse_5,rmse_10,rmse_15,rmse_15,rmse_20,rmse_25,rmse_30
All Bands,0.70,0.70,0.70,0.70,0.70,0.70,0.70
BSDR,0.67±0.03,0.70±0.03,0.71±0.02,0.71±0.02,0.71±0.03,0.74±0.03,0.73±0.03
BS-Net-FC,0.49±0.02,0.52±0.02,0.55±0.04,0.55±0.04,0.59±0.03,0.63±0.02,0.64±0.02
LASSO,0.52±0.03,0.56±0.05,0.60±0.03,0.60±0.03,0.62±0.02,0.60±0.03,0.62±0.03
MCUVE,0.43±0.05,0.46±0.06,0.48±0.04,0.48±0.04,0.50±0.04,0.52±0.03,0.60±0.05
PCA-loading,0.45±0.03,0.50±0.03,0.47±0.03,0.47±0.03,0.48±0.02,0.49±0.03,0.53±0.03
SPA,0.43±0.03,0.42±0.03,0.42±0.02,0.42±0.02,0.45±0.02,0.47±0.02,0.51±0.04
Zhang et al.,0.47±0.07,0.61±0.06,0.65±0.04,0.65±0.04,0.68±0.03,0.69±0.04,0.70±0.04
