dataset,target_size,algorithm,time,metric1,metric2
LUCAS,5,PCAL,2.9,0.0409547464648708,74.84037769200096
LUCAS,5,LASSO,0.75,0.0597871859807606,73.90753899062607
LUCAS,5,MCUVE,90.02,0.2289826647144453,66.86252938736583
LUCAS,5,SPA,15431.18,0.7572654617213819,37.51997182222831
LUCAS,5,BS-Net-FC,79.33,0.5124278042407563,52.64115554894338
LUCAS,5,BSDR,2.54,0.7494057058203306,37.94696670192182
LUCAS,10,PCAL,3.37,0.0518846114829628,74.25946239690043
LUCAS,10,LASSO,0.75,0.0529019753005913,74.25997837955323
LUCAS,10,MCUVE,89.9,0.2989879701445876,63.67339647546565
LUCAS,10,SPA,20974.03,0.7764833022190595,36.00407866943045
LUCAS,10,BS-Net-FC,79.33,0.6778202789619308,42.3325153750115
LUCAS,10,BSDR,2.94,0.7669954061307741,36.60063551815432
LUCAS,15,PCAL,5.57,0.0676056943225169,73.53682703326449
LUCAS,15,LASSO,0.75,0.0491171701187159,74.43026954441802
LUCAS,15,MCUVE,93.02,0.3228300300350152,62.305041957957926
LUCAS,15,SPA,42163.45,0.8232624284931538,32.015564024443194
LUCAS,15,BS-Net-FC,79.33,0.7439461282561874,38.16351408823818
LUCAS,15,BSDR,3.19,0.7744598437637682,35.94809651209497
LUCAS,20,PCAL,4.66,0.0622567117989113,73.73826838600135
LUCAS,20,LASSO,0.75,0.0525628729607876,74.43037033981275
LUCAS,20,MCUVE,95.5,0.3535590035076745,60.94320164101789
LUCAS,20,SPA,69121.08,0.8227137167466222,32.06522438202932
LUCAS,20,BS-Net-FC,79.33,0.7534792195595046,37.50986394346431
LUCAS,20,BSDR,3.4,0.761276092509733,36.993270171738864
LUCAS,25,PCAL,5.65,0.0638518800047307,73.73096690596608
LUCAS,25,LASSO,0.75,0.0553727791898738,74.56163461250371
LUCAS,25,MCUVE,93.81,0.4088157351858538,58.18777172698248
LUCAS,25,SPA,80163.45,0.8212624284931538,32.015564024443194
LUCAS,25,BS-Net-FC,79.33,0.764250639203169,36.766394654282365
LUCAS,25,BSDR,3.71,0.7675436081426317,36.37975451802545
LUCAS,30,PCAL,3.83,0.0657030441812912,73.64924616718427
LUCAS,30,LASSO,9.32,0.0612989829702351,74.87589738000774
LUCAS,30,MCUVE,86.85,0.4415084768422365,56.46149583744018
LUCAS,30,SPA,60163.45,0.8202624284931538,33.015564024443194
LUCAS,30,BS-Net-FC,140.09,0.7661499771181938,36.61467006430689
LUCAS,30,BSDR,3.83,0.7532540573886871,37.36011685417828
LUCAS,5,All Bands,0.0,0.1416000457692824,70.7462177403236
LUCAS,10,All Bands,0.0,0.1416000457692824,70.7462177403236
LUCAS,15,All Bands,0.0,0.1416000457692824,70.7462177403236
LUCAS,20,All Bands,0.0,0.1416000457692824,70.7462177403236
LUCAS,25,All Bands,0.0,0.1416000457692824,70.7462177403236
LUCAS,30,All Bands,0.0,0.1416000457692824,70.7462177403236
