dataset,target_size,algorithm,time,metric1,metric2
GHISACONUS,0,All Bands,0.0,0.7579250720461095,0.6593904833130784
GHISACONUS,0,All Bands,0.0,0.7435158501440923,0.6385797376212712
GHISACONUS,0,All Bands,0.0,0.6858789625360231,0.5672772203599254
GHISACONUS,0,All Bands,0.0,0.6829971181556196,0.5649993731979441
GHISACONUS,0,All Bands,0.0,0.6714697406340058,0.5364984885056124
GHISACONUS,0,All Bands,0.0,0.7204610951008645,0.6133193943432208
GHISACONUS,0,All Bands,0.0,0.6772334293948127,0.5410161324609679
GHISACONUS,0,All Bands,0.0,0.7492795389048992,0.6392888294122567
GHISACONUS,0,All Bands,0.0,0.7838616714697406,0.6998616076577096
GHISACONUS,0,All Bands,0.0,0.7118155619596542,0.6002672564740577
GHISACONUS,0,All Bands,0.0,0.7579250720461095,0.6593904833130784
GHISACONUS,0,All Bands,0.0,0.7435158501440923,0.6385797376212712
GHISACONUS,0,All Bands,0.0,0.6858789625360231,0.5672772203599254
GHISACONUS,0,All Bands,0.0,0.6829971181556196,0.5649993731979441
GHISACONUS,0,All Bands,0.0,0.6714697406340058,0.5364984885056124
GHISACONUS,0,All Bands,0.0,0.7204610951008645,0.6133193943432208
GHISACONUS,0,All Bands,0.0,0.6772334293948127,0.5410161324609679
GHISACONUS,0,All Bands,0.0,0.7492795389048992,0.6392888294122567
GHISACONUS,0,All Bands,0.0,0.7838616714697406,0.6998616076577096
GHISACONUS,0,All Bands,0.0,0.7118155619596542,0.6002672564740577
Indian Pines,0,All Bands,0.0,0.7270955165692008,0.6836541426243228
Indian Pines,0,All Bands,0.0,0.7270955165692008,0.6894310560295434
Indian Pines,0,All Bands,0.0,0.7212475633528265,0.6794618591116044
Indian Pines,0,All Bands,0.0,0.7368421052631579,0.6936879956478086
Indian Pines,0,All Bands,0.0,0.7621832358674464,0.7279626538702274
Indian Pines,0,All Bands,0.0,0.7641325536062378,0.7269704287241202
Indian Pines,0,All Bands,0.0,0.7368421052631579,0.7002051876991273
Indian Pines,0,All Bands,0.0,0.7446393762183235,0.7080808475702725
Indian Pines,0,All Bands,0.0,0.732943469785575,0.6935350240703273
Indian Pines,0,All Bands,0.0,0.740234375,0.7014721226096639
Indian Pines,0,All Bands,0.0,0.7270955165692008,0.6836541426243228
Indian Pines,0,All Bands,0.0,0.7270955165692008,0.6894310560295434
Indian Pines,0,All Bands,0.0,0.7212475633528265,0.6794618591116044
Indian Pines,0,All Bands,0.0,0.7368421052631579,0.6936879956478086
Indian Pines,0,All Bands,0.0,0.7621832358674464,0.7279626538702274
Indian Pines,0,All Bands,0.0,0.7641325536062378,0.7269704287241202
Indian Pines,0,All Bands,0.0,0.7368421052631579,0.7002051876991273
Indian Pines,0,All Bands,0.0,0.7446393762183235,0.7080808475702725
Indian Pines,0,All Bands,0.0,0.732943469785575,0.6935350240703273
Indian Pines,0,All Bands,0.0,0.740234375,0.7014721226096639
LUCAS,0,All Bands,0.0,0.2146588717449358,65.36085509344132
LUCAS,0,All Bands,0.0,0.0,69.33702727260959
LUCAS,0,All Bands,0.0,0.1043533676521027,68.5899330668797
LUCAS,0,All Bands,0.0,0.1186094023451993,73.99308746237801
LUCAS,0,All Bands,0.0,0.1327431471220154,72.85624545655176
LUCAS,0,All Bands,0.0,0.0,67.59042805126447
LUCAS,0,All Bands,0.0,0.2409815161199034,74.09298454624339
LUCAS,0,All Bands,0.0,0.1826340060589982,70.13590141592357
LUCAS,0,All Bands,0.0,0.2129464305477798,72.49935823960648
LUCAS,0,All Bands,0.0,0.2090737161018896,73.00635679833769
LUCAS,0,All Bands,0.0,0.3594213693645475,60.95129524808744
LUCAS,0,All Bands,0.0,0.3594213693645475,60.95129524808744
LUCAS,0,All Bands,0.0,0.3594213693645475,60.95129524808744
LUCAS,0,All Bands,0.0,0.3594213693645475,60.95129524808744
LUCAS,0,All Bands,0.0,0.3594213693645475,60.95129524808744
LUCAS,0,All Bands,0.0,0.3594213693645475,60.95129524808744
LUCAS,0,All Bands,0.0,0.2146588717449358,65.36085509344132
LUCAS,0,All Bands,0.0,0.0,69.33702727260959
LUCAS,0,All Bands,0.0,0.1043533676521027,68.5899330668797
LUCAS,0,All Bands,0.0,0.1186094023451993,73.99308746237801
LUCAS,0,All Bands,0.0,0.1327431471220154,72.85624545655176
LUCAS,0,All Bands,0.0,0.0,67.59042805126447
LUCAS,0,All Bands,0.0,0.2409815161199034,74.09298454624339
LUCAS,0,All Bands,0.0,0.1826340060589982,70.13590141592357
LUCAS,0,All Bands,0.0,0.2129464305477798,72.49935823960648
LUCAS,0,All Bands,0.0,0.2090737161018896,73.00635679833769
GHISACONUS,5,BSDR,2.17015,0.659942363112392,0.5215079522746661
GHISACONUS,5,BSDR,1.598669,0.6484149855907781,0.5058307166119976
GHISACONUS,5,BSDR,1.367046,0.69164265129683,0.5727584461014452
GHISACONUS,5,BSDR,1.31101,0.6368876080691642,0.500422770172993
GHISACONUS,5,BSDR,1.306077,0.6080691642651297,0.4499510466688424
GHISACONUS,5,BSDR,1.307997,0.659942363112392,0.5275806767966956
GHISACONUS,5,BSDR,1.301242,0.6455331412103746,0.5007836623935622
GHISACONUS,5,BSDR,1.299196,0.7319884726224783,0.616670230204547
GHISACONUS,5,BSDR,1.305384,0.7060518731988472,0.588991464901585
GHISACONUS,5,BSDR,1.302436,0.6340057636887608,0.495512512306248
GHISACONUS,10,BSDR,1.310111,0.7435158501440923,0.6368542972378679
GHISACONUS,10,BSDR,1.31521,0.7031700288184438,0.5862783456227065
GHISACONUS,10,BSDR,1.305276,0.6657060518731989,0.5381455601069383
GHISACONUS,10,BSDR,1.324651,0.6657060518731989,0.5394086415232515
