epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10
0,0.3750858713075338,0.38271604938271603,0.0,0.0,0.01,0.01,12,24,36,48,59,70,83,94,106,118
1,0.3750858713075338,0.38271604938271603,0.0,0.0,0.02,0.01,12,24,36,48,58,70,83,94,106,118
2,0.3750858713075338,0.38271604938271603,0.0,0.0,0.03,0.01,12,24,36,48,59,70,83,94,106,118
3,0.3782917334554614,0.38271604938271603,0.006652087002441354,0.0022992281162751427,0.04,0.01,12,24,36,48,59,70,84,93,106,117
4,0.5108770322876116,0.5185185185185185,0.30315292657987913,0.3191810344827586,0.06,0.01,12,25,37,48,59,69,84,93,106,117
5,0.5546141515914815,0.5617283950617284,0.3706278187229336,0.37624728850325384,0.07,0.01,13,25,37,48,59,69,84,93,106,117
6,0.44630180902221206,0.4794238683127572,0.1960408571265203,0.2348409419027232,0.08,0.01,13,25,37,48,59,69,84,93,106,117
7,0.44675978932905885,0.48559670781893005,0.20113272921108738,0.25471096280302286,0.09,0.01,13,24,37,48,60,69,84,92,106,117
8,0.4499656514769865,0.4794238683127572,0.2224950981289614,0.26020721273600234,0.1,0.01,13,24,38,48,60,68,84,92,106,117
9,0.5635447675749943,0.5720164609053497,0.38353767892197077,0.39065438588031054,0.11,0.01,13,24,38,48,60,68,84,92,106,117
10,0.5569040531257156,0.5596707818930041,0.3738654284283781,0.3722294654498044,0.12,0.01,13,24,38,48,61,68,84,92,106,117
11,0.506526219372567,0.51440329218107,0.2938253119632902,0.29454312847512676,0.13,0.01,13,24,38,48,61,67,84,91,107,116
12,0.5035493473780628,0.5164609053497943,0.28978057788366285,0.297808764940239,0.14,0.01,13,24,39,48,61,67,84,91,107,116
13,0.5342340279367987,0.5349794238683128,0.3381514585926185,0.3305295494441194,0.15,0.01,13,24,39,48,62,67,84,91,107,116
14,0.5411037325395008,0.5308641975308642,0.3487337302836164,0.3276539973787681,0.16,0.01,13,23,39,48,62,67,84,91,107,116
15,0.5404167620792306,0.5432098765432098,0.33992797668901076,0.3408639659838594,0.17,0.01,13,23,39,48,62,66,84,91,107,116
16,0.525303411953286,0.5288065843621399,0.3103004319311835,0.3130678451510962,0.18,0.01,13,23,39,48,62,66,85,91,107,116
17,0.5328600870162583,0.5288065843621399,0.32477205406353027,0.3141092800532471,0.19,0.01,13,23,39,48,63,67,85,90,107,116
18,0.5475154568353561,0.5390946502057613,0.3530419845342313,0.3353602696069453,0.2,0.01,13,23,39,48,63,67,85,90,107,116
19,0.5509503091367072,0.5411522633744856,0.3603649757596056,0.33877147598594304,0.22,0.01,13,23,39,48,63,67,85,90,108,116
20,0.5527822303640944,0.5390946502057613,0.36241126369381216,0.33548198066217405,0.24,0.01,13,23,39,48,63,67,85,90,108,116
21,0.5555301122051752,0.5473251028806584,0.36817993403430493,0.3514064386195852,0.25,0.01,14,23,39,48,64,68,85,90,108,116
22,0.5617128463476071,0.5493827160493827,0.3782552023766991,0.3582243447115646,0.26,0.01,14,23,39,48,64,68,86,90,108,116
23,0.5628577971147241,0.5432098765432098,0.37985647869950667,0.35088109834970793,0.27,0.01,14,23,39,48,64,68,86,90,108,116
24,0.5727043737119304,0.565843621399177,0.3942735185746675,0.38503886010362687,0.28,0.01,14,23,39,48,64,69,86,90,108,116
