epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,lr,band_1,band_2,band_3,band_4,band_5
0,0,0,194.24530439948865,192.58187179418005,0.11,0.01,702,1398,2071,2764,3460
1,0.1368886434626735,0.14339639903498846,71.05799238122339,67.39277507873155,0.12,0.01,700,1400,2063,2755,3454
2,0,0,147.87554152479038,146.21516679195767,0.13,0.01,698,1405,2057,2745,3450
3,0,0,125.36252118855141,123.28502053803008,0.15,0.01,700,1403,2053,2736,3445
4,0,0,98.07324471090472,95.3930243862857,0.16,0.01,702,1399,2049,2730,3441
5,0,0,77.4247807855308,73.9861651710558,0.17,0.01,706,1394,2046,2723,3436
6,0.05713683045772899,0.05873085958161939,74.26836170793894,70.6448153894272,0.18,0.01,709,1390,2044,2716,3432
7,0,0,81.03479914132569,77.69330730506972,0.2,0.01,712,1386,2043,2708,3428
8,0,0,85.18109729240109,81.99596860326427,0.21,0.01,715,1383,2041,2700,3424
9,0,0,84.50910638801004,81.2937922849125,0.22,0.01,718,1380,2040,2692,3419
10,0,0,82.19121308152411,78.88662812959019,0.24,0.01,721,1378,2038,2684,3415
11,0,0,78.74639438670351,75.29988224177379,0.25,0.01,724,1376,2037,2675,3410
12,0.026048605971299432,0.02520987238259742,75.48283059639292,71.89173038978475,0.27,0.01,727,1374,2036,2666,3406
13,0.08140405110394566,0.08578516071773823,73.3063789537616,69.6221631771719,0.28,0.01,730,1373,2035,2658,3401
14,0.06869692010269002,0.07095709032847519,73.81167310078739,70.18450850704164,0.29,0.01,734,1371,2034,2649,3397
15,0.03229657733410041,0.03040651846898823,75.24032459600703,71.69984772691292,0.3,0.01,737,1370,2034,2640,3392
16,0.028155167635258826,0.02570788501132193,75.40115697160256,71.87336275309164,0.31,0.01,740,1369,2035,2631,3388
17,0.04968504923466954,0.04949551976758371,74.56127212421507,70.99053634112084,0.33,0.01,744,1369,2036,2622,3383
18,0.0727353644723483,0.07507485081751675,73.65146356955509,70.02879918179198,0.34,0.01,748,1368,2037,2614,3379
19,0.08577422809953694,0.08959038713289469,73.13180390355143,69.47711727049958,0.35,0.01,752,1368,2038,2605,3374
20,0.09265893939127301,0.09725066850813291,72.85591516822777,69.18420766218075,0.36,0.01,756,1368,2040,2597,3370
21,0.09441893076172037,0.09925929374230347,72.7852215532968,69.107197074545,0.37,0.01,760,1367,2042,2588,3365
22,0.09320529859504978,0.0979619014597416,72.83397282625911,69.15694546080495,0.38,0.01,764,1367,2044,2580,3361
23,0.0914691800642542,0.09610252133576103,72.9036681122339,69.22819137077575,0.39,0.01,768,1368,2047,2571,3356
24,0.09111714084866074,0.09573661707533376,72.91778533368077,69.24220116283855,0.4,0.01,772,1368,2049,2563,3352
25,0.09302695680618656,0.09781681143920329,72.84114243509639,69.1625124254462,0.42,0.01,776,1368,2052,2555,3347
26,0.09719913880253872,0.10236636745589456,72.67340523276036,68.98790513334566,0.43,0.01,780,1368,2054,2546,3343
27,0.10241643515109367,0.10803018942595366,72.46311022685957,68.76990833910388,0.44,0.01,784,1369,2057,2538,3338
28,0.10791245793668436,0.11391569974885762,72.24091976353326,68.54265252267197,0.45,0.01,788,1369,2060,2530,3334
29,0.11217546649789434,0.118395557378144,72.0681067582516,68.3691653703444,0.46,0.01,792,1370,2062,2522,3329
30,0.11503028646558855,0.12125331582777088,71.95214609811858,68.25825914426949,0.47,0.01,796,1370,2065,2514,3325
31,0.11707247132289411,0.1232003225555941,71.86907584281295,68.18260537542731,0.48,0.01,799,1371,2068,2506,3321
32,0.11984444019459983,0.12588855750794326,71.75616875158714,68.07800127656877,0.49,0.01,803,1371,2071,2499,3316
33,0.12349139100427398,0.12952403447323935,71.60735152879731,67.93628175655664,0.5,0.01,807,1372,2073,2491,3312
34,0.1283498508690193,0.1345268128080237,71.40861935346986,67.74077788364443,0.51,0.01,811,1373,2076,2483,3308
35,0.13339488328095073,0.13979058019895318,71.20166603453707,67.5344674730985,0.53,0.01,815,1374,2079,2476,3303
36,0.13725548087209516,0.14376612298246882,71.04289389824643,67.37822855784908,0.54,0.01,819,1375,2082,2468,3299
37,0.14049294530420442,0.14694850004059157,70.90947271213135,67.2528969520087,0.55,0.01,823,1375,2084,2461,3295
38,0.14515337986456045,0.15140883396572358,70.71696860328149,67.07684565225358,0.56,0.01,826,1376,2087,2454,3291
39,0.15098601613592,0.15683871151296924,70.47530457321557,66.8619000019817,0.57,0.01,830,1377,2089,2446,3287
40,0.15299678741473122,0.1580575516846282,70.39179903293956,66.81355603117716,0.58,0.01,833,1378,2092,2439,3284
41,0.1577595486941915,0.16251843367332586,70.1936112933809,66.63632203282606,0.59,0.01,837,1379,2094,2432,3280
42,0.16064151674514926,0.16517766064298156,70.07341643880545,66.5304426912034,0.6,0.01,839,1380,2096,2424,3277
43,0.16230758426973269,0.16632028991247372,70.00383639040791,66.48489827937432,0.61,0.01,842,1381,2099,2417,3274
44,0.1657667080935895,0.16879699575974527,69.85914958865446,66.3860667857439,0.62,0.01,845,1382,2101,2410,3271
45,0.16607278660892677,0.1683157907732874,69.84633314574396,66.40527940467159,0.63,0.01,847,1383,2103,2402,3269
46,0.16984503493636927,0.17309563669210948,69.68817964915212,66.21418179735932,0.64,0.01,849,1385,2105,2395,3267
