epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25
0,0,0,153.8651880502864,154.01736788224568,0.14,0.001,164,324,483,643,804,962,1122,1283,1441,1603,1763,1920,2080,2242,2400,2559,2721,2879,3039,3200,3359,3520,3678,3838,3998
1,0,0,135.99657480751122,136.2176352042018,0.16,0.001,164,324,483,643,804,961,1121,1284,1440,1604,1763,1919,2079,2242,2399,2558,2722,2878,3038,3201,3358,3520,3678,3838,3998
2,0,0,119.50303997179319,119.79576940438047,0.18,0.001,164,325,482,643,805,961,1120,1285,1439,1605,1764,1918,2078,2242,2399,2558,2722,2877,3039,3202,3358,3521,3677,3837,3998
3,0,0,104.58226053566638,104.96333530244026,0.19,0.001,165,325,482,644,806,960,1119,1285,1439,1605,1764,1918,2077,2242,2399,2557,2722,2876,3039,3202,3357,3521,3677,3837,3997
4,0,0,92.60277757207123,93.08506903969615,0.21,0.001,165,325,482,644,806,959,1119,1286,1438,1606,1765,1917,2076,2242,2399,2556,2723,2876,3039,3203,3357,3521,3677,3837,3997
5,0,0,85.39679615166338,85.97366852523801,0.23,0.001,165,325,481,645,807,959,1118,1287,1437,1607,1766,1916,2076,2242,2400,2555,2723,2875,3039,3204,3356,3522,3677,3837,3997
6,0,0,83.54147898461878,84.16281189605063,0.25,0.001,165,326,481,645,807,958,1118,1288,1437,1608,1766,1915,2075,2242,2400,2555,2723,2874,3039,3205,3356,3522,3676,3836,3997
7,0,0,86.06677492559919,86.69024869470614,0.26,0.001,165,326,481,646,808,958,1117,1288,1436,1608,1767,1914,2074,2242,2400,2554,2723,2874,3038,3205,3355,3522,3676,3836,3997
8,0,0,90.07072416475012,90.67327916584632,0.28,0.001,165,326,481,646,809,957,1117,1289,1436,1609,1768,1914,2074,2242,2401,2553,2723,2874,3038,3205,3355,3522,3675,3836,3997
9,0,0,92.89485508661123,93.4809733732619,0.3,0.001,166,326,481,647,809,957,1117,1290,1436,1609,1768,1913,2074,2242,2401,2553,2723,2873,3037,3205,3354,3522,3675,3836,3996
10,0,0,93.8636654691926,94.44628929979197,0.31,0.001,166,326,480,647,810,957,1117,1290,1435,1609,1769,1913,2074,2242,2401,2553,2724,2872,3036,3205,3353,3522,3675,3836,3996
11,0,0,93.12204273827975,93.70622415460191,0.33,0.001,166,326,480,647,810,957,1117,1290,1435,1609,1769,1913,2074,2242,2401,2552,2724,2872,3036,3204,3353,3522,3674,3836,3996
12,0,0,91.1138860677943,91.69719188721103,0.35,0.001,166,326,480,647,811,957,1117,1290,1435,1609,1769,1913,2074,2243,2401,2552,2724,2871,3035,3204,3352,3522,3674,3836,3996
13,0,0,88.47721888553431,89.06373080289895,0.36,0.001,166,326,480,648,812,957,1117,1290,1435,1610,1769,1913,2074,2243,2401,2552,2724,2870,3034,3203,3352,3522,3673,3836,3996
14,0,0,86.07798460462321,86.66289022972146,0.38,0.001,166,326,480,648,812,957,1118,1290,1435,1610,1769,1914,2074,2243,2401,2552,2724,2869,3033,3203,3351,3522,3673,3836,3995
15,0,0,84.18576870435852,84.77348897853473,0.39,0.001,167,326,480,648,813,957,1118,1290,1435,1610,1768,1914,2074,2243,2401,2551,2724,2869,3032,3202,3350,3522,3672,3836,3995
16,0,0,82.81536846447192,83.4013820469646,0.41,0.001,167,326,480,648,813,957,1118,1290,1435,1610,1768,1915,2074,2243,2401,2551,2725,2868,3032,3201,3350,3522,3672,3836,3995
17,0,0,81.97674975259754,82.55066803466069,0.43,0.001,167,326,480,648,814,958,1118,1289,1435,1610,1768,1915,2074,2243,2401,2551,2725,2867,3031,3201,3349,3522,3671,3836,3995
18,0,0,81.56505024748651,82.12674501095091,0.44,0.001,167,326,480,648,814,958,1119,1289,1435,1610,1767,1915,2074,2242,2401,2551,2725,2866,3030,3200,3349,3522,3671,3836,3995
19,0,0,81.42983103760255,81.97607370541877,0.46,0.001,167,326,480,648,815,958,1119,1289,1434,1610,1767,1916,2074,2242,2401,2551,2725,2866,3029,3200,3348,3522,3671,3836,3994
20,0,0,81.43032573445073,81.96272137571141,0.47,0.001,167,326,480,648,815,958,1119,1289,1434,1611,1767,1916,2074,2242,2401,2551,2725,2865,3028,3199,3347,3522,3670,3836,3994
21,0,0,81.44714963455597,81.96759732796095,0.49,0.001,167,326,480,648,816,958,1120,1289,1434,1611,1766,1916,2074,2242,2400,2551,2725,2865,3028,3199,3347,3522,3670,3836,3994
22,0,0,81.39348508365089,81.90652720765758,0.51,0.001,168,326,480,648,816,958,1120,1289,1434,1611,1766,1916,2074,2242,2400,2550,2725,2864,3027,3198,3346,3522,3669,3836,3994
23,0,0,81.21993133519474,81.7292147936174,0.52,0.001,168,326,480,648,817,958,1121,1289,1434,1611,1765,1916,2074,2242,2400,2550,2725,2864,3026,3198,3345,3522,3669,3836,3994
24,0,0,80.91221250721364,81.41719576124567,0.54,0.001,168,326,480,648,818,958,1121,1289,1434,1611,1765,1916,2074,2242,2400,2550,2725,2863,3025,3197,3345,3521,3669,3836,3994
25,0,0,80.48632393048989,80.992135878854,0.56,0.001,168,326,480,648,818,957,1122,1290,1435,1611,1765,1916,2075,2242,2400,2550,2725,2863,3025,3197,3344,3521,3668,3836,3993
26,0,0,79.98073803755032,80.48905993693336,0.57,0.001,168,326,480,648,819,957,1122,1290,1435,1611,1764,1916,2075,2242,2399,2550,2725,2863,3024,3197,3344,3521,3668,3835,3993
27,0,0,79.44214679563991,79.95335554246613,0.59,0.001,168,326,481,648,819,957,1123,1290,1435,1612,1764,1915,2075,2242,2399,2549,2725,2863,3023,3196,3343,3521,3667,3835,3993
28,0,0,78.92005139201792,79.43367971242583,0.61,0.001,169,327,481,648,820,956,1123,1290,1435,1612,1764,1915,2075,2242,2399,2549,2725,2862,3022,3196,3342,3521,3667,3835,3993
29,0,0,78.4582735190735,78.97151694301718,0.62,0.001,169,327,481,648,821,956,1124,1291,1435,1612,1763,1915,2075,2242,2399,2549,2725,2862,3022,3196,3342,3520,3667,3835,3993
30,0,0,78.08399236259152,78.5972041984478,0.64,0.001,169,327,481,648,821,955,1124,1291,1435,1612,1763,1915,2075,2242,2399,2549,2725,2862,3021,3195,3341,3520,3666,3835,3992
31,0,0,77.77722280152943,78.29014732371341,0.65,0.001,169,327,481,648,822,955,1125,1291,1435,1612,1763,1914,2075,2242,2399,2549,2725,2862,3020,3195,3341,3520,3666,3835,3992
