epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15
0,0,0,82.08349229309904,76.07808167743683,0.14,0.001,264,523,784,1043,1301,1561,1820,2082,2342,2599,2859,3119,3379,3638,3899
1,0.04266859938616985,0.043047744323649106,75.1734387828407,68.10310356249376,0.16,0.001,264,523,784,1044,1301,1560,1821,2083,2341,2599,2858,3118,3378,3638,3899
2,0.049774572139162254,0.06311470086606807,74.89392237942275,67.38527214713724,0.17,0.001,265,523,785,1044,1300,1559,1822,2084,2341,2598,2857,3117,3377,3637,3899
3,0,0.0012449276922184005,77.0873622961718,69.57468797652814,0.19,0.001,265,523,785,1045,1300,1559,1822,2085,2340,2597,2857,3117,3377,3637,3899
4,0,0,78.25062399910942,70.78255724510277,0.2,0.001,265,523,785,1044,1300,1559,1822,2086,2340,2597,2856,3117,3376,3637,3899
5,0,0,77.80951613254801,70.33745043427257,0.22,0.001,265,523,785,1044,1300,1558,1822,2086,2340,2597,2855,3116,3375,3636,3899
6,0.010674623161265884,0.020243079866501423,76.4192601397874,68.9097965357158,0.23,0.001,265,524,785,1044,1301,1558,1821,2087,2340,2597,2854,3116,3375,3636,3898
7,0.04958764459445009,0.06321369763882878,74.90128594836507,67.38171421206387,0.25,0.001,266,524,785,1043,1301,1559,1821,2087,2340,2597,2853,3115,3374,3636,3898
8,0.07576296953795703,0.09015595504516627,73.86265561521093,66.40568014461375,0.26,0.001,266,524,784,1043,1302,1559,1820,2087,2341,2597,2853,3115,3373,3636,3898
9,0.08336065063879505,0.09487726080876424,73.5584376533379,66.233164134367,0.28,0.001,266,525,784,1043,1302,1559,1819,2087,2341,2598,2852,3115,3373,3635,3898
10,0.07620037920443579,0.08255107249533133,73.84517494922231,66.6826307383527,0.3,0.001,266,525,783,1042,1302,1559,1818,2088,2341,2598,2851,3114,3372,3635,3898
11,0.06532014733760216,0.06664058094694125,74.278765208756,67.25835290249272,0.31,0.001,266,525,783,1042,1303,1559,1818,2088,2341,2599,2850,3114,3371,3635,3897
12,0.05903787697332208,0.05722635080434746,74.52797424667129,67.59669723117025,0.33,0.001,267,526,783,1041,1303,1559,1817,2088,2341,2599,2850,3114,3371,3635,3897
13,0.061639113327413564,0.059522497139240405,74.42489463483471,67.51433224578133,0.34,0.001,267,526,782,1041,1304,1559,1817,2089,2341,2600,2849,3113,3370,3634,3897
14,0.0729534466591627,0.07320464481115974,73.97483604028805,67.02142993336162,0.36,0.001,267,527,782,1040,1304,1559,1817,2089,2341,2601,2849,3113,3369,3634,3897
15,0.0894098737394825,0.09385934024324105,73.31531724126617,66.27039780324243,0.37,0.001,267,527,782,1040,1305,1560,1817,2089,2341,2601,2848,3112,3368,3634,3896
16,0.10606377273291068,0.11525330739315964,72.64178955562528,65.48340378962443,0.39,0.001,268,528,782,1040,1305,1560,1817,2090,2341,2602,2848,3112,3368,3634,3896
17,0.1186637420165415,0.13199796724663493,72.12802948035355,64.86077713191733,0.4,0.001,268,528,781,1039,1306,1560,1817,2090,2341,2603,2847,3112,3367,3633,3896
18,0.12529922770615665,0.1414329045341739,71.85599273133904,64.50730487946694,0.41,0.001,268,529,781,1039,1306,1560,1818,2091,2341,2604,2847,3111,3366,3633,3896
