epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15
40,0.43714387464387466,0.4391025641025641,0.1744981610538493,0.18040169323606237,0.22,0.001,8,16,25,34,41,48,58,65,73,82,90,96,106,113,121
41,0.4398148148148148,0.4423076923076923,0.18106653075201806,0.18717762522552206,0.23,0.001,8,17,25,34,41,48,58,65,73,82,90,96,106,113,121
42,0.4442663817663818,0.4439102564102564,0.18983738540919892,0.19188481089190945,0.23,0.001,8,17,25,34,41,48,58,65,73,82,90,96,106,113,121
43,0.4488960113960114,0.44551282051282054,0.1984108339552254,0.19597211463981412,0.24,0.001,8,17,24,34,41,48,58,65,73,82,90,96,106,113,121
44,0.46082621082621084,0.4599358974358974,0.21768041323905574,0.21814396192742425,0.25,0.001,8,17,24,34,41,48,59,65,73,82,90,96,106,113,121
45,0.47311253561253563,0.47435897435897434,0.23770019164672052,0.24092658937671052,0.25,0.001,8,17,24,34,41,48,59,65,73,82,90,96,106,113,121
46,0.49002849002849,0.48878205128205127,0.26459249646063776,0.2639931374651513,0.26,0.001,8,17,24,34,41,48,59,65,73,82,90,96,106,113,121
47,0.5001780626780626,0.49038461538461536,0.2812162588055399,0.26669623059866965,0.26,0.001,8,17,24,34,41,48,59,65,73,82,90,96,106,113,121
48,0.5048076923076923,0.4967948717948718,0.2886855145780771,0.276823479910533,0.27,0.001,8,17,24,34,41,48,59,64,73,82,90,96,106,113,121
49,0.5055199430199431,0.4935897435897436,0.2899562035234956,0.27235154324176725,0.27,0.001,8,17,24,34,41,48,59,64,73,82,90,96,106,113,121
50,0.5037393162393162,0.4935897435897436,0.287296079593675,0.2719646733913249,0.28,0.001,8,17,24,34,41,48,59,64,73,82,90,96,106,113,121
51,0.5016025641025641,0.4935897435897436,0.2838046055576914,0.271706531534859,0.29,0.001,8,17,24,34,41,48,59,64,73,82,90,96,106,113,121
52,0.49928774928774927,0.49038461538461536,0.27995587868388916,0.2668371192527673,0.29,0.001,8,17,24,34,41,48,59,64,73,82,90,96,106,112,121
53,0.4962606837606838,0.48878205128205127,0.2749698490967143,0.2642706131078225,0.3,0.001,8,17,24,34,41,48,59,64,73,82,90,96,106,112,121
54,0.49554843304843305,0.48878205128205127,0.27355783670460365,0.2642706131078225,0.3,0.001,8,17,24,34,40,48,59,64,73,82,90,96,106,112,121
55,0.49715099715099714,0.48878205128205127,0.27572356246308305,0.2642706131078225,0.31,0.001,8,17,24,34,40,48,59,64,73,82,90,96,106,112,121
56,0.5007122507122507,0.49038461538461536,0.28104093774759886,0.2667070701098284,0.31,0.001,8,17,24,34,40,48,59,64,73,82,90,96,106,112,121
57,0.5049857549857549,0.49198717948717946,0.28765641237348205,0.26887252727756594,0.32,0.001,8,17,24,34,40,48,59,64,73,82,90,96,106,112,121
58,0.5097934472934473,0.4983974358974359,0.2953601601349771,0.278610052300328,0.32,0.001,8,17,24,34,40,48,59,64,73,82,90,96,106,112,121
59,0.5176282051282052,0.5128205128205128,0.3077501437395881,0.3005928678877976,0.33,0.001,8,17,24,34,40,48,59,64,73,82,90,96,106,112,121
60,0.5256410256410257,0.5176282051282052,0.3204481682789475,0.3085961657390228,0.33,0.001,8,17,24,34,40,48,59,64,73,82,90,96,106,112,121
61,0.5332977207977208,0.5272435897435898,0.33276362605806986,0.3235685360888385,0.34,0.001,8,17,24,34,40,48,59,64,73,82,90,96,106,112,121
62,0.5370370370370371,0.5352564102564102,0.33908729084631195,0.3359704680057831,0.35,0.001,8,17,24,34,40,48,59,64,73,82,89,96,106,112,121
63,0.5393518518518519,0.5384615384615384,0.34315605357761914,0.341255819068216,0.35,0.001,8,17,24,34,40,48,59,64,73,82,89,96,106,112,121
64,0.542022792022792,0.5400641025641025,0.347244053282459,0.3438942540189628,0.36,0.001,8,17,24,34,40,48,59,64,73,82,89,96,106,112,121
65,0.5418447293447294,0.5400641025641025,0.34710078671592504,0.3440144172655546,0.36,0.001,8,17,24,34,40,48,59,64,73,82,89,96,106,112,121
66,0.540954415954416,0.5416666666666666,0.3456505020549706,0.3465346534653465,0.37,0.001,8,17,24,35,40,48,60,64,73,82,89,95,106,112,121
67,0.5393518518518519,0.5416666666666666,0.34314013602883264,0.3466542682882183,0.37,0.001,8,17,24,35,40,48,60,64,74,83,89,95,106,112,121
68,0.5372150997150997,0.5400641025641025,0.33978083558435024,0.3440192228799156,0.38,0.001,8,17,24,35,40,48,60,63,74,83,89,95,106,112,121
69,0.5363247863247863,0.5368589743589743,0.33818181818181825,0.33897335894315495,0.38,0.001,9,17,24,35,40,48,60,63,74,83,89,95,106,112,121
70,0.5373931623931624,0.5400641025641025,0.3396183425227718,0.34342278926528824,0.39,0.001,9,17,24,35,40,48,60,63,74,83,89,95,106,112,121
71,0.5384615384615384,0.5384615384615384,0.3412578461863731,0.34089825498235915,0.39,0.001,9,17,24,35,40,48,60,63,74,83,89,95,106,112,121
72,0.541488603988604,0.5384615384615384,0.3459676234707043,0.34089825498235915,0.4,0.001,9,17,24,35,40,48,60,63,74,83,89,95,106,112,121
73,0.5455840455840456,0.5432692307692307,0.35221236250136956,0.34810340024339825,0.4,0.001,9,17,24,35,40,48,60,63,74,83,89,95,106,112,121
74,0.5475427350427351,0.5384615384615384,0.35539740866276137,0.34161299540588663,0.41,0.001,9,17,24,35,40,48,60,63,74,83,89,95,106,112,121
75,0.5502136752136753,0.5400641025641025,0.359503279234764,0.3440144172655546,0.42,0.001,9,17,24,35,40,48,60,63,74,83,89,95,106,112,121
76,0.5493233618233618,0.5416666666666666,0.3582452066468985,0.3464149948361862,0.42,0.001,9,17,24,35,39,48,60,63,74,83,89,95,106,112,121
77,0.5498575498575499,0.5448717948717948,0.35915014420562597,0.3513513513513513,0.43,0.001,9,17,24,35,39,48,60,63,74,83,90,95,106,112,121
78,0.5503917378917379,0.5464743589743589,0.3598975865027967,0.3534033905752262,0.43,0.001,9,17,24,35,39,48,60,63,74,83,90,95,106,112,121
79,0.5507478632478633,0.5464743589743589,0.36030318623837,0.3534223302748263,0.44,0.001,9,17,24,35,39,48,60,63,74,83,90,95,106,112,121
80,0.5505698005698005,0.5512820512820513,0.3598186527163568,0.35984054636319673,0.44,0.001,9,17,24,35,39,48,60,63,74,83,90,95,106,112,121
81,0.5503917378917379,0.5528846153846154,0.3594727914156237,0.3620099530199866,0.45,0.001,9,17,24,35,39,48,60,63,74,83,90,95,106,112,121
82,0.5507478632478633,0.5528846153846154,0.35983492259014516,0.3619164204924462,0.45,0.001,9,17,24,35,39,48,60,63,74,83,90,95,106,112,121
