epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,lr,band_1,band_2,band_3,band_4,band_5
0,0.08094435075885328,0.09100758396533044,0.0002479167918770786,0.0005265841082592315,0.01,0.001,33,66,99,132,165
1,0.2175379426644182,0.20368364030335862,0.07592392842102791,0.06018953997559062,0.02,0.001,33,66,99,132,165
2,0.23861720067453626,0.2275189599133261,0.05122845864329084,0.04602456479606398,0.02,0.001,33,66,99,132,165
3,0.24198988195615515,0.228602383531961,0.0005917312685719267,0.0010169568819403674,0.03,0.001,33,66,99,132,165
4,0.24198988195615515,0.228602383531961,1.6709618169241658e-05,0.0001338883614500075,0.04,0.001,33,66,99,132,165
5,0.24198988195615515,0.228602383531961,1.6709618169241658e-05,0.0001338883614500075,0.04,0.001,33,66,99,132,165
6,0.24198988195615515,0.228602383531961,0.0,0.0,0.05,0.001,33,66,99,132,165
7,0.24198988195615515,0.228602383531961,0.0,0.0,0.05,0.001,33,66,99,132,165
8,0.24198988195615515,0.228602383531961,0.0,0.0,0.06,0.001,33,66,99,132,165
9,0.24198988195615515,0.228602383531961,0.0,0.0,0.07,0.001,33,66,99,132,165
10,0.24198988195615515,0.228602383531961,0.0,0.0,0.07,0.001,33,66,99,133,165
11,0.24198988195615515,0.228602383531961,0.0,0.0,0.08,0.001,33,66,99,133,165
12,0.24198988195615515,0.228602383531961,0.0,0.0,0.09,0.001,33,66,99,133,165
13,0.24198988195615515,0.228602383531961,0.0,0.0,0.09,0.001,33,66,99,133,165
14,0.24198988195615515,0.228602383531961,0.0,0.0,0.1,0.001,33,65,99,133,165
15,0.24198988195615515,0.228602383531961,0.0,0.0,0.1,0.001,33,65,99,133,165
16,0.24198988195615515,0.228602383531961,0.0,0.0,0.11,0.001,33,65,99,133,165
17,0.24198988195615515,0.228602383531961,0.0,0.0,0.12,0.001,33,65,99,133,164
18,0.24198988195615515,0.228602383531961,0.0,0.0,0.12,0.001,33,65,99,133,164
19,0.24198988195615515,0.228602383531961,0.0,0.0,0.13,0.001,33,65,99,133,164
20,0.24198988195615515,0.228602383531961,0.0,0.0,0.13,0.001,33,65,99,133,164
21,0.24198988195615515,0.228602383531961,0.0,0.0,0.14,0.001,33,65,99,133,164
22,0.24198988195615515,0.228602383531961,0.0,0.0,0.15,0.001,33,65,99,133,164
23,0.24198988195615515,0.228602383531961,0.0,0.0,0.15,0.001,32,65,99,133,164
24,0.24198988195615515,0.228602383531961,0.0,0.0,0.16,0.001,32,65,99,133,164
25,0.24198988195615515,0.228602383531961,0.0,0.0,0.17,0.001,32,65,99,133,164
26,0.24198988195615515,0.228602383531961,0.0,0.0,0.17,0.001,32,65,99,133,164
27,0.24198988195615515,0.228602383531961,0.0,0.0,0.18,0.001,32,65,99,133,164
28,0.24198988195615515,0.228602383531961,0.0,0.0,0.18,0.001,32,65,99,133,164
29,0.24198988195615515,0.228602383531961,0.0,0.0,0.19,0.001,32,65,99,133,164
30,0.24198988195615515,0.228602383531961,0.0,0.0,0.2,0.001,32,65,99,134,164
31,0.24198988195615515,0.228602383531961,0.0,0.0,0.2,0.001,32,65,99,134,164
32,0.24198988195615515,0.228602383531961,0.0,0.0,0.21,0.001,32,65,99,134,164
33,0.24198988195615515,0.228602383531961,0.0,0.0,0.22,0.001,32,65,99,134,164
34,0.24198988195615515,0.228602383531961,0.0,0.0,0.23,0.001,32,65,99,134,164
35,0.24198988195615515,0.228602383531961,0.0,0.0,0.23,0.001,32,65,99,134,164
36,0.24198988195615515,0.228602383531961,0.0,0.0,0.24,0.001,32,65,99,134,164
37,0.24198988195615515,0.228602383531961,0.0,0.0,0.25,0.001,32,65,99,134,164
38,0.24198988195615515,0.228602383531961,0.0,0.0,0.25,0.001,32,65,99,134,164
39,0.24198988195615515,0.228602383531961,0.0,0.0,0.26,0.001,32,65,99,134,164
40,0.24198988195615515,0.228602383531961,0.0,0.0,0.27,0.001,32,65,99,134,164
41,0.3105275837147675,0.2914409534127844,0.10150784666774948,0.09054723070108572,0.27,0.001,32,65,99,134,164
42,0.3581064803661768,0.3412784398699892,0.17303829451636177,0.16353056211394912,0.28,0.001,32,65,99,134,164
43,0.3624427848711154,0.34994582881906827,0.1798039129240695,0.17598114487733452,0.28,0.001,32,65,99,134,164
44,0.36352686099735004,0.35102925243770317,0.1818309559218515,0.17795385406847264,0.29,0.001,32,65,99,134,164
45,0.36412912551192483,0.35102925243770317,0.18344605646415113,0.17843270119502974,0.3,0.001,32,65,99,134,164
46,0.36412912551192483,0.35102925243770317,0.18458452215605858,0.1798659012356667,0.3,0.001,32,65,99,134,164
47,0.36412912551192483,0.34994582881906827,0.1861521897216526,0.17980829611023563,0.31,0.001,32,65,99,134,164
48,0.36437003131775475,0.34994582881906827,0.18757617808411486,0.18099700083408754,0.32,0.001,32,65,99,134,164
49,0.36461093712358467,0.34994582881906827,0.1890110746445629,0.1817085712259301,0.32,0.001,32,65,99,134,164
50,0.36461093712358467,0.34994582881906827,0.19003155309279507,0.18253717551685555,0.33,0.001,32,65,99,134,164
51,0.36461093712358467,0.34994582881906827,0.19091684039465873,0.1838358829251039,0.34,0.001,32,65,99,134,164
52,0.36461093712358467,0.34994582881906827,0.19147652210606603,0.18407156832700788,0.34,0.001,32,65,99,135,164
53,0.3648518429294146,0.34994582881906827,0.1924299118728935,0.18466018674196805,0.35,0.001,32,65,99,135,164
54,0.3648518429294146,0.34994582881906827,0.19284099889333906,0.18524795649947912,0.36,0.001,31,65,99,135,164
55,0.3648518429294146,0.34994582881906827,0.19333961368260155,0.1854828271894009,0.36,0.001,31,65,99,135,164
56,0.3647313900264996,0.34994582881906827,0.19362616054226656,0.1854828271894009,0.37,0.001,31,65,99,135,164
57,0.3647313900264996,0.34994582881906827,0.19384574414201328,0.18583487943358346,0.38,0.001,31,65,99,135,164
58,0.3647313900264996,0.34994582881906827,0.19418220682234655,0.1861866274797942,0.38,0.001,31,65,99,135,164
59,0.3644904842206697,0.34994582881906827,0.1941690844527414,0.18665515235896435,0.39,0.001,31,66,99,135,164
60,0.3644904842206697,0.34994582881906827,0.1944321160805882,0.1871231380745767,0.39,0.001,31,66,99,135,164
61,0.3644904842206697,0.34994582881906827,0.19484093525860646,0.18735692903680212,0.4,0.001,31,66,99,135,164
62,0.36437003131775475,0.34994582881906827,0.19508222774924944,0.18794081851107824,0.41,0.001,31,66,99,135,164
63,0.36437003131775475,0.34994582881906827,0.19546117517660966,0.18829074962184722,0.41,0.001,31,66,99,135,164
64,0.3642495784148398,0.34994582881906827,0.19560002427631562,0.188523869530815,0.42,0.001,31,66,99,135,164
65,0.3642495784148398,0.34994582881906827,0.19578926302522448,0.188523869530815,0.43,0.001,31,66,99,135,164
66,0.3642495784148398,0.34994582881906827,0.19602205005959472,0.188523869530815,0.43,0.001,31,66,99,135,164
67,0.3642495784148398,0.34994582881906827,0.19616747353301056,0.1887568555758684,0.44,0.001,31,66,98,135,164
68,0.3642495784148398,0.34994582881906827,0.19650174795610909,0.1891060839007248,0.45,0.001,31,66,98,135,164
69,0.36412912551192483,0.34994582881906827,0.19658193142355873,0.18957125421823917,0.45,0.001,31,66,98,135,164
70,0.3638882197060949,0.34994582881906827,0.196553476064794,0.18980363930022903,0.46,0.001,31,66,98,135,164
71,0.3638882197060949,0.34994582881906827,0.19681470618344155,0.19015196714982618,0.46,0.001,31,66,98,135,164
72,0.3638882197060949,0.34994582881906827,0.19703226822148,0.190499995614843,0.47,0.001,31,66,98,135,164
73,0.3638882197060949,0.34994582881906827,0.19722072667142787,0.1906159386399776,0.48,0.001,31,66,98,136,164
74,0.3638882197060949,0.34994582881906827,0.19738012243181602,0.19096356852559015,0.48,0.001,31,66,98,136,164
75,0.3638882197060949,0.34994582881906827,0.1975539365408362,0.19096356852559015,0.49,0.001,31,66,98,136,164
76,0.3638882197060949,0.34994582881906827,0.19759737830594293,0.19119515593371827,0.5,0.001,31,67,98,136,164
77,0.3638882197060949,0.34994582881906827,0.19764081536771838,0.19131089992581907,0.5,0.001,31,67,98,136,164
78,0.3638882197060949,0.34994582881906827,0.19762633686967168,0.19131089992581907,0.51,0.001,31,67,98,136,164
79,0.3638882197060949,0.34994582881906827,0.19759737830594293,0.19131089992581907,0.52,0.001,31,67,98,136,164
80,0.3638882197060949,0.34994582881906827,0.19758289824020403,0.19142661079557888,0.52,0.001,31,67,98,136,164
81,0.3638882197060949,0.34994582881906827,0.19756841765184463,0.19142661079557888,0.53,0.001,31,67,97,136,164
82,0.3638882197060949,0.34994582881906827,0.1975539365408362,0.191542288557214,0.54,0.001,31,67,97,136,164
83,0.3638882197060949,0.34994582881906827,0.1975539365408362,0.191542288557214,0.54,0.001,31,67,97,136,164
84,0.3638882197060949,0.34994582881906827,0.1975539365408362,0.191542288557214,0.55,0.001,31,67,97,136,164
85,0.3638882197060949,0.34994582881906827,0.19759737830594293,0.19188912333540542,0.56,0.001,31,67,97,136,164
86,0.36376776680317996,0.34994582881906827,0.1974599191741886,0.19188912333540542,0.56,0.001,31,67,97,136,164
87,0.36376776680317996,0.34994582881906827,0.19754680190904494,0.19188912333540542,0.57,0.001,31,67,97,136,164
88,0.36376776680317996,0.34994582881906827,0.19760471328203977,0.19188912333540542,0.58,0.001,31,67,97,136,164
89,0.36376776680317996,0.34994582881906827,0.19760471328203977,0.19200466880653633,0.58,0.001,31,67,97,136,164
90,0.36376776680317996,0.34994582881906827,0.1976626162969517,0.19200466880653633,0.59,0.001,31,67,97,136,164
91,0.36376776680317996,0.34994582881906827,0.19767709074494133,0.19212018124049945,0.59,0.001,31,67,97,136,164
92,0.363647313900265,0.34994582881906827,0.19763322702362496,0.19212018124049945,0.6,0.001,31,67,97,136,164
93,0.363647313900265,0.34994582881906827,0.19770558564501106,0.19212018124049945,0.61,0.001,31,67,97,136,164
94,0.363647313900265,0.3488624052004334,0.19777687474245464,0.19088938675254818,0.61,0.001,31,67,97,136,164
95,0.3647313900264996,0.34994582881906827,0.19931047955827075,0.1922733610646007,0.62,0.001,31,67,97,136,164
96,0.3654541074439894,0.34994582881906827,0.2003648835359505,0.1925018445019262,0.63,0.001,31,67,97,136,164
97,0.366658636473139,0.3531960996749729,0.20213692897102276,0.19680401371332612,0.63,0.001,31,67,97,137,164
98,0.36822452421103347,0.3564463705308776,0.20454112421397175,0.20110334939105956,0.64,0.001,31,67,97,137,164
99,0.3700313177547579,0.35861321776814736,0.2072710109388468,0.20390459956000406,0.65,0.001,31,67,97,137,164
100,0.3724403758130571,0.3640303358613218,0.21083804252442007,0.21138898915916582,0.65,0.001,31,67,97,137,164
101,0.3742471693567815,0.36511375947995667,0.21340099365349818,0.2130737782433475,0.66,0.001,31,67,97,137,164
102,0.3772584919296555,0.36619718309859156,0.21781326917221144,0.21460862431599803,0.67,0.001,31,67,97,137,164
103,0.38099253192001925,0.36728060671722645,0.22327432097593525,0.21678963840786714,0.67,0.001,31,67,97,137,164
104,0.38569019513370273,0.37486457204767065,0.23005560667076386,0.22696593007187893,0.68,0.001,31,67,98,137,164
105,0.39062876415321607,0.37703141928494044,0.2369322399251681,0.22994274537798787,0.69,0.001,31,67,98,137,164
106,0.3952059744639846,0.38028169014084506,0.2435008419078365,0.23429151559100803,0.69,0.001,31,67,98,137,164
107,0.39894001445434835,0.38353196099674974,0.248891989593377,0.23894104110573644,0.7,0.001,31,67,98,137,164
108,0.402914960250542,0.38894907908992415,0.25464229208510725,0.2464411755339323,0.7,0.001,31,67,98,137,164
109,0.40580582992050107,0.39653304442036835,0.258903344403702,0.2569254339688092,0.71,0.001,31,67,98,137,164
110,0.40941941700794987,0.39978331527627303,0.26411904605999037,0.2613247968196093,0.72,0.001,31,67,98,137,164
111,0.41170802216333413,0.4019501625135428,0.26740652998274883,0.26405953436775065,0.72,0.001,31,67,98,137,164
112,0.41411708022163335,0.40520043336944744,0.2709033682443066,0.26845229673816706,0.73,0.001,31,67,98,137,164
