epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25
27,0.3594747620768582,0.3477789815817985,0.17718648796231817,0.17615922711273346,0.2,0.001,8,16,23,30,37,46,53,62,69,76,84,91,98,108,113,121,129,138,146,153,161,167,175,182,190
28,0.360197566558246,0.3477789815817985,0.1784905969912518,0.17648889626634734,0.21,0.001,8,16,23,30,37,46,53,62,69,77,84,91,98,108,113,121,129,138,146,153,161,167,176,182,190
29,0.36092037103963376,0.3488624052004334,0.1797335643160597,0.1781857131428537,0.22,0.001,8,16,23,30,37,46,53,62,69,77,84,91,97,108,113,121,129,138,146,153,161,167,176,182,190
30,0.3612817732803277,0.3488624052004334,0.18045201266961597,0.17829527409759915,0.23,0.001,8,16,23,30,37,46,53,62,69,77,84,91,97,108,113,121,129,138,146,153,161,167,176,182,190
31,0.3618841103481508,0.3488624052004334,0.18173309412935923,0.17873322594781538,0.23,0.001,8,16,23,30,37,46,53,62,69,77,84,91,97,108,113,121,129,138,146,153,161,167,176,182,190
32,0.3618841103481508,0.3488624052004334,0.18231526986690494,0.17895202685501488,0.24,0.001,8,16,23,30,37,46,53,62,69,77,84,91,97,108,112,121,129,139,146,153,161,167,176,182,190
33,0.3621250451752801,0.34994582881906827,0.18360696916936414,0.18129969043726113,0.25,0.001,8,16,23,30,37,46,53,62,69,77,84,91,97,108,112,120,129,139,146,153,161,167,176,182,190
34,0.3621250451752801,0.34994582881906827,0.18506405714879448,0.18206147683836782,0.26,0.001,8,16,23,30,37,46,53,62,69,77,84,91,97,108,112,120,129,139,146,153,161,167,176,182,190
35,0.3623659800024093,0.34994582881906827,0.18714601869616987,0.18358080456652237,0.26,0.001,8,16,23,30,37,46,53,62,68,77,84,91,97,108,112,120,129,139,146,153,161,167,176,182,190
36,0.3623659800024093,0.34994582881906827,0.18909054829083272,0.1849865636101946,0.27,0.001,8,16,23,30,37,46,53,62,68,77,85,91,97,108,112,120,129,139,146,153,161,166,176,182,190
37,0.36224551258884474,0.35102925243770317,0.19091493760624134,0.1884946088202225,0.28,0.001,8,16,23,30,37,46,53,62,68,77,85,91,97,108,112,120,129,139,146,153,161,166,176,182,190
38,0.36224551258884474,0.35102925243770317,0.19250463833755982,0.18935130744349848,0.28,0.001,8,16,23,30,37,46,53,62,68,77,85,91,97,108,112,120,129,139,146,153,161,166,176,182,190
39,0.36200457776171546,0.35102925243770317,0.19326115236672792,0.18977897880646788,0.29,0.001,8,16,23,30,37,46,52,62,68,77,85,91,97,108,112,120,129,139,146,153,160,166,176,182,190
40,0.36200457776171546,0.35102925243770317,0.19445028360741246,0.19095275166528147,0.3,0.001,8,16,23,30,37,46,52,62,68,77,85,91,97,108,112,120,129,139,146,153,160,166,176,182,190
41,0.36200457776171546,0.35102925243770317,0.19526036076683706,0.19159155909859216,0.31,0.001,8,16,23,30,37,46,52,62,68,77,85,91,97,108,112,120,129,139,146,153,160,166,176,182,191
42,0.36200457776171546,0.35102925243770317,0.19575139892520488,0.19191058467240985,0.31,0.001,8,16,23,30,37,46,52,62,68,77,85,91,97,108,112,120,129,139,147,154,160,166,176,182,191
43,0.3618841103481508,0.35102925243770317,0.1959458592097637,0.19233556062629098,0.32,0.001,8,16,23,30,37,46,52,62,68,77,85,91,97,108,112,120,129,139,147,154,160,166,176,182,191
44,0.3617636429345862,0.35102925243770317,0.19588061468573903,0.19244173478151638,0.33,0.001,8,16,23,30,37,46,52,62,68,77,85,91,96,108,112,120,130,139,147,154,160,166,176,182,191
45,0.3617636429345862,0.35102925243770317,0.19593830415406144,0.19254788102547316,0.33,0.001,8,16,23,30,37,46,52,62,68,77,85,91,96,108,112,120,130,139,147,154,160,166,176,183,191
46,0.3617636429345862,0.35102925243770317,0.19599598534541385,0.19265399936916627,0.34,0.001,8,16,24,30,37,46,52,62,68,77,85,91,96,108,112,120,130,139,147,154,160,166,176,183,191
47,0.3617636429345862,0.35102925243770317,0.1960392408082382,0.19276008982359416,0.35,0.001,8,16,24,30,37,46,52,62,69,77,85,91,96,108,112,120,130,139,147,154,160,166,176,183,191
48,0.3617636429345862,0.35102925243770317,0.1960536582615774,0.19276008982359416,0.35,0.001,8,16,24,30,37,46,53,62,69,77,85,91,96,108,112,120,130,139,147,154,160,166,176,183,191
49,0.3617636429345862,0.35102925243770317,0.1960536582615774,0.19286615239975002,0.36,0.001,8,16,24,30,37,46,53,62,69,77,85,91,96,108,112,119,130,139,147,154,160,166,176,183,191
50,0.3617636429345862,0.35102925243770317,0.1960536582615774,0.19286615239975002,0.37,0.001,8,16,24,30,37,46,53,62,69,77,85,91,96,108,111,119,130,139,147,154,160,166,176,183,191
51,0.3617636429345862,0.35102925243770317,0.19608249161701985,0.19286615239975002,0.38,0.001,8,16,24,30,37,46,53,62,69,77,85,91,96,108,111,119,130,139,147,154,160,166,176,183,191
