epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15
0,0.19604700854700854,0.1987179487179487,0.003917823291131772,0.00467674325126155,0.01,0.001,8,16,24,32,41,49,57,65,73,81,89,97,105,113,122
1,0.2491096866096866,0.2467948717948718,0.05670799715419239,0.05353858069513018,0.01,0.001,8,16,24,33,41,49,57,65,73,81,89,97,105,113,122
2,0.3076923076923077,0.3092948717948718,0.0926200427713032,0.09621136255183593,0.02,0.001,8,16,24,33,41,49,57,65,73,81,89,97,105,113,122
3,0.3351139601139601,0.3076923076923077,0.08432185066846021,0.05775105735957209,0.02,0.001,8,16,25,33,41,49,57,65,73,81,89,97,105,113,122
4,0.3176638176638177,0.2916666666666667,0.03921104316697077,0.019035424669227363,0.03,0.001,8,16,25,33,41,49,57,65,73,81,89,97,105,113,122
5,0.3018162393162393,0.28685897435897434,0.007233022117807408,0.005194712141296076,0.03,0.001,8,16,25,33,41,49,57,65,73,81,89,97,105,113,122
6,0.3002136752136752,0.28685897435897434,0.0016925318406449952,0.0016682006442705344,0.04,0.001,8,16,25,33,41,49,57,65,73,81,89,97,105,113,122
7,0.30003561253561256,0.28685897435897434,0.0007503709080953769,0.0010432780515882145,0.04,0.001,8,16,25,33,41,48,57,65,73,81,89,97,105,113,122
8,0.30003561253561256,0.28685897435897434,0.0004197273483745878,0.0002088299044423758,0.05,0.001,8,16,25,33,41,48,57,65,73,81,89,97,105,113,122
9,0.30003561253561256,0.28685897435897434,0.00036459881361394775,0.0,0.06,0.001,8,16,25,33,41,48,57,65,73,81,89,97,105,113,122
10,0.29985754985754987,0.28685897435897434,0.0,0.0,0.06,0.001,8,16,25,33,41,48,57,65,73,81,90,97,105,113,121
11,0.29985754985754987,0.28685897435897434,0.0,0.0,0.07,0.001,8,16,25,33,41,48,57,65,73,81,90,97,105,113,121
12,0.29985754985754987,0.28685897435897434,0.0,0.0,0.07,0.001,8,16,25,33,41,48,57,65,73,82,90,97,105,113,121
13,0.29985754985754987,0.28685897435897434,0.0,0.0,0.08,0.001,8,16,25,33,41,48,57,65,73,82,90,97,105,113,121
14,0.29985754985754987,0.28685897435897434,0.0,0.0,0.08,0.001,8,16,25,33,41,48,57,65,73,82,90,97,105,113,121
15,0.29985754985754987,0.28685897435897434,0.0,0.0,0.09,0.001,8,16,25,33,41,48,57,65,73,82,90,97,105,113,121
16,0.3003917378917379,0.28846153846153844,0.0007056794834763291,0.0020315539226279933,0.09,0.001,8,16,25,33,41,48,57,65,72,82,90,97,105,113,121
17,0.3005698005698006,0.28846153846153844,0.0009409239605181474,0.0020315539226279933,0.1,0.001,8,16,25,33,41,48,57,65,72,82,90,97,105,113,121
18,0.30074786324786323,0.28846153846153844,0.001176177429694114,0.0020315539226279933,0.1,0.001,8,16,25,33,41,48,57,65,72,82,90,97,106,113,121
19,0.30128205128205127,0.2900641025641026,0.0018629139888127755,0.004063986165153466,0.11,0.001,8,16,25,33,41,48,57,65,72,82,90,97,106,113,121
20,0.30235042735042733,0.2900641025641026,0.0032557566445121644,0.004063986165153466,0.11,0.001,8,16,25,33,41,48,58,65,72,82,90,97,106,113,121
21,0.3037749287749288,0.2948717948717949,0.005005657249095297,0.009738151915169801,0.12,0.001,8,16,25,33,41,48,58,65,72,82,90,97,106,113,121
22,0.3108974358974359,0.30288461538461536,0.013940180511223144,0.01822916666666674,0.12,0.001,8,16,25,33,41,48,58,65,73,82,90,97,106,113,121
23,0.3449074074074074,0.34134615384615385,0.057426839629665216,0.06611317456849475,0.13,0.001,8,16,25,33,41,48,58,65,73,82,90,97,106,113,121
24,0.45334757834757833,0.4423076923076923,0.19828276255301158,0.1925033467202143,0.13,0.001,8,16,25,33,41,48,58,65,73,82,90,97,106,113,121
25,0.4793447293447293,0.4967948717948718,0.21816841780504947,0.2520384791571233,0.14,0.001,8,16,25,33,41,48,58,65,73,82,90,97,106,113,121
26,0.4261039886039886,0.4375,0.12118138010560175,0.14027319830428642,0.14,0.001,8,16,25,33,41,48,58,65,73,82,90,97,106,113,121
27,0.3944088319088319,0.40865384615384615,0.05611066524869246,0.07505422993492405,0.15,0.001,8,16,25,33,41,48,58,65,73,82,90,97,106,113,121
28,0.38817663817663817,0.39903846153846156,0.029311737371469082,0.03751233958538991,0.15,0.001,8,16,25,33,41,48,58,65,73,82,90,97,106,113,121
29,0.3748219373219373,0.3894230769230769,0.0003998851445508045,0.011870324189526271,0.16,0.001,8,16,25,33,41,48,58,65,73,82,90,97,106,113,121
30,0.3751780626780627,0.38301282051282054,0.000306301833011946,0.0,0.17,0.001,8,16,25,33,41,48,58,65,73,82,90,96,106,113,121
31,0.375,0.38301282051282054,0.00020916720412433865,0.0,0.17,0.001,8,16,25,33,41,48,58,65,73,82,90,96,106,113,121
32,0.37410968660968663,0.3782051282051282,0.005906625551787004,6.608075067726649e-05,0.18,0.001,8,16,25,33,41,48,58,65,73,82,90,96,106,113,121
33,0.3833689458689459,0.391025641025641,0.03607742027576166,0.03848961121113326,0.18,0.001,8,16,25,33,41,48,58,65,73,82,90,96,106,113,121
34,0.39797008547008544,0.4150641025641026,0.07594812826617636,0.09633391525154733,0.19,0.001,8,16,25,33,41,48,58,65,73,82,90,96,106,113,121
35,0.40900997150997154,0.42948717948717946,0.10444126314041602,0.13202622551126453,0.19,0.001,8,16,25,33,41,48,58,65,73,82,90,96,106,113,121
36,0.4202279202279202,0.4407051282051282,0.1301017164245245,0.155710630379158,0.2,0.001,8,16,25,33,41,48,58,65,73,82,90,96,106,113,121
37,0.42467948717948717,0.4439102564102564,0.14304359690448498,0.16778255221345062,0.2,0.001,8,16,25,33,41,48,58,65,73,82,90,96,106,113,121
38,0.4291310541310541,0.4439102564102564,0.15354854433014808,0.17153985659736315,0.21,0.001,8,16,25,34,41,48,58,65,73,82,90,96,106,113,121
39,0.4318019943019943,0.4439102564102564,0.16073177763428315,0.17637392733248136,0.22,0.001,8,16,25,34,41,48,58,65,73,82,90,96,106,113,121
40,0.43322649572649574,0.44551282051282054,0.16657475662176602,0.18223757471081514,0.22,0.001,8,17,25,34,41,48,58,65,73,82,90,96,106,113,121
41,0.4373219373219373,0.44871794871794873,0.17568782212177647,0.18968380998399426,0.23,0.001,8,17,25,34,41,48,58,65,73,82,90,96,106,113,121
42,0.44675925925925924,0.46794871794871795,0.19227946928757844,0.22075694543703783,0.24,0.001,8,17,25,34,41,48,58,64,73,82,90,96,106,113,121
43,0.46403133903133903,0.47596153846153844,0.22045318891993337,0.2359069224028819,0.24,0.001,8,17,25,34,42,48,58,64,73,82,90,96,106,113,121
44,0.47987891737891736,0.49038461538461536,0.24599539783476776,0.2594273430269012,0.25,0.001,8,17,25,34,42,48,59,64,73,82,90,96,106,113,121
45,0.49145299145299143,0.4983974358974359,0.26493921939993037,0.27317113107421165,0.25,0.001,8,17,25,34,42,48,59,64,73,82,90,96,106,113,121
46,0.49786324786324787,0.5048076923076923,0.2758646988795992,0.28531609536235325,0.26,0.001,8,17,25,34,42,48,59,64,73,82,90,96,106,113,121
47,0.5042735042735043,0.5096153846153846,0.28595693530796906,0.29319267073847854,0.27,0.001,8,17,24,34,42,48,59,64,73,82,90,96,106,113,121
48,0.5074786324786325,0.5064102564102564,0.29126089296115254,0.2893464081288548,0.27,0.001,8,17,24,34,42,48,59,64,73,82,90,96,106,113,121
49,0.5087250712250713,0.5080128205128205,0.29334611170212244,0.29149653825670163,0.28,0.001,8,17,24,34,42,48,59,64,73,82,90,96,106,113,121
50,0.5083689458689459,0.5080128205128205,0.29287004235726766,0.2905519509376945,0.28,0.001,8,17,24,34,42,48,59,64,73,82,90,96,106,113,121
51,0.5065883190883191,0.5064102564102564,0.29034971511040086,0.2885519467539295,0.29,0.001,8,17,24,34,42,48,59,64,73,82,90,96,106,113,121
52,0.5058760683760684,0.5080128205128205,0.2893206523982055,0.29054669619512485,0.29,0.001,8,17,24,34,42,48,59,64,73,82,90,96,106,112,121
53,0.5049857549857549,0.5080128205128205,0.28786650689920823,0.29054669619512485,0.3,0.001,8,17,24,34,42,48,59,64,73,82,90,96,106,112,121
54,0.5062321937321937,0.5080128205128205,0.289728007939563,0.29054669619512485,0.3,0.001,8,17,24,34,42,48,59,64,73,82,90,96,106,112,121
55,0.5092592592592593,0.5080128205128205,0.2944399104498201,0.29054669619512485,0.31,0.001,8,17,24,34,42,48,59,64,73,82,90,96,106,112,121
56,0.5128205128205128,0.5096153846153846,0.29997004956537254,0.29301471404980706,0.31,0.001,8,17,24,34,42,48,59,64,73,82,90,96,106,112,121
57,0.5181623931623932,0.5112179487179487,0.3082516983272158,0.2961069893705942,0.32,0.001,8,17,24,34,42,48,59,64,73,82,90,96,106,112,121
58,0.5229700854700855,0.5208333333333334,0.3158781108527201,0.31117690927483377,0.33,0.001,8,17,24,34,42,48,59,64,73,83,90,96,106,112,121
59,0.5300925925925926,0.5352564102564102,0.32702394136400326,0.3341232401881058,0.33,0.001,8,17,24,34,42,48,59,64,73,83,90,96,106,112,121
60,0.5365028490028491,0.5512820512820513,0.3371499172392328,0.3583736063575069,0.34,0.001,8,17,24,34,42,48,59,64,73,83,90,96,106,112,121
61,0.5391737891737892,0.5496794871794872,0.34178687768071725,0.3569275230501787,0.34,0.001,8,17,24,34,42,48,59,64,73,83,90,96,106,112,121
62,0.5413105413105413,0.5544871794871795,0.3453309401655099,0.3643525609550541,0.35,0.001,8,17,24,34,42,48,59,63,73,83,90,96,106,112,121
