epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,lr,band_1,band_2,band_3,band_4,band_5
0,0,0,78.16025142195839,78.09390943861276,0.14,0.001,696,1390,2080,2772,3465
1,0.02289824960698983,0.023721232291429417,75.80414924638855,75.72557877791361,0.15,0.001,695,1391,2080,2772,3464
2,0.0609712258730285,0.06265870711295218,74.31261827156274,74.20010621096678,0.16,0.001,695,1391,2080,2771,3464
3,0.0693640010702018,0.07194337049105037,73.97977645423613,73.83170130226921,0.17,0.001,694,1392,2080,2770,3463
4,0.09801767756130686,0.10113185453066564,72.83198170167931,72.66138422719801,0.18,0.001,694,1392,2081,2769,3463
5,0.12855764514885681,0.13169906453563807,71.58836527655001,71.41522782729885,0.2,0.001,693,1393,2082,2768,3462
6,0.13785007839139718,0.14074198669490245,71.20565368836593,71.04237498119521,0.21,0.001,693,1393,2083,2767,3462
7,0.14339599820248827,0.14618401225880673,70.97626281238327,70.81704392967487,0.22,0.001,692,1394,2084,2766,3461
8,0.1595659425931285,0.16301553540115854,70.30316951981077,70.11555403737997,0.23,0.001,692,1395,2085,2765,3461
9,0.17238650105746045,0.17704393479025238,69.76488486449504,69.5254772884552,0.24,0.001,691,1395,2086,2764,3460
10,0.17455876583426289,0.18041883727617303,69.67326788526931,69.38276983516873,0.25,0.001,691,1396,2087,2763,3460
11,0.17851737069453344,0.18507653891847042,69.50599611611756,69.1853404134503,0.26,0.001,690,1396,2088,2762,3459
12,0.18863487118765299,0.1952207473328541,69.07665296158319,68.75337704774036,0.28,0.001,689,1397,2089,2761,3459
13,0.19407870302696129,0.20025299911707206,68.84452663542869,68.53808604185888,0.29,0.001,689,1397,2090,2760,3459
14,0.19370530057804525,0.19958316903156192,68.86047586764667,68.5667800054261,0.3,0.001,688,1398,2091,2759,3458
15,0.19723002967929282,0.20342010026708945,68.70979648356193,68.40224191661228,0.31,0.001,688,1399,2092,2758,3458
16,0.20378472724528574,0.21084158936630049,68.42870591329891,68.08285321829389,0.32,0.001,687,1399,2093,2757,3458
17,0.20609715741927914,0.21412874922064518,68.32927015676555,67.94091024674493,0.33,0.001,686,1400,2094,2756,3457
18,0.20671454351356733,0.21526693160471178,68.30269614576902,67.89169482758919,0.34,0.001,686,1400,2095,2755,3457
19,0.21146482187282745,0.21984180555105048,68.09788738004285,67.69350518721312,0.35,0.001,685,1401,2096,2754,3457
20,0.21685027077486885,0.2246369971902421,67.86494587713344,67.48514376443345,0.37,0.001,684,1401,2097,2753,3456
21,0.21907202837523432,0.22628615198770896,67.76860978842822,67.41334136319011,0.38,0.001,684,1402,2098,2752,3456
22,0.22185510512473783,0.22888231306351692,67.6477513426629,67.30014176828493,0.39,0.001,683,1402,2099,2751,3456
23,0.22714293577376365,0.23446605702502787,67.41750963561877,67.05603781190214,0.4,0.001,683,1403,2100,2750,3456
24,0.23118971037411407,0.2390177365137317,67.2407746634715,66.85639343959559,0.41,0.001,682,1403,2101,2749,3456
25,0.23356134347562985,0.24168899463108695,67.13697955253498,66.73894966467296,0.42,0.001,681,1404,2102,2748,3456
26,0.2377008935466597,0.24570453007212067,66.95543133425585,66.5620085075751,0.43,0.001,681,1404,2103,2747,3455
27,0.24289649513705414,0.25043748448889236,66.72686572419688,66.35284985284166,0.44,0.001,680,1405,2103,2746,3455
28,0.2464379494766249,0.2535313565401609,66.57062010329707,66.2157709334604,0.46,0.001,679,1405,2104,2745,3455
29,0.24973620156304954,0.256648110007074,66.42477682734433,66.0773878978751,0.47,0.001,679,1406,2105,2744,3455
30,0.2543097020843095,0.26133823779990706,66.22200912225104,65.86860663353788,0.48,0.001,678,1406,2106,2743,3455
31,0.2582411462131239,0.2655018817691248,66.04720953014404,65.68270156712687,0.49,0.001,677,1407,2107,2741,3455
32,0.2610651042315585,0.26842570968369617,65.92136576895044,65.55183793785838,0.5,0.001,677,1407,2108,2740,3456
33,0.2646899183701401,0.2719051222066744,65.75947902797931,65.39576779358508,0.51,0.001,676,1408,2108,2739,3456
34,0.268658076851666,0.27551700646222543,65.58179753535846,65.23336264184532,0.52,0.001,675,1408,2109,2738,3456
35,0.27164184261000823,0.27813767181276416,65.44787853465917,65.11527113631833,0.53,0.001,675,1409,2110,2737,3456
36,0.2747116827706927,0.2810516801182005,65.30981229517698,64.98370814457074,0.55,0.001,674,1409,2111,2736,3456
37,0.2784236171879818,0.2848511918833312,65.14247456297235,64.81176922201323,0.56,0.001,673,1410,2111,2735,3456
38,0.2815406596148302,0.2881310709564736,65.0016225759019,64.66297466842018,0.57,0.001,673,1410,2112,2734,3456
39,0.2844749777766844,0.29106617812457947,64.86874518258003,64.52952857873478,0.58,0.001,672,1410,2113,2733,3457
40,0.28812343030808296,0.2944826937334726,64.70315329931765,64.37385086959806,0.59,0.001,671,1411,2113,2732,3457
41,0.2915256857648182,0.2975442751449603,64.54835200137762,64.23402722783501,0.6,0.001,671,1411,2114,2731,3457
42,0.29465295266983205,0.3004237110713953,64.40573068082723,64.10223615200564,0.61,0.001,670,1412,2114,2730,3457
43,0.29834369462727195,0.3040840272217613,64.23701078574173,63.934322990472026,0.62,0.001,669,1412,2115,2729,3458
44,0.30186345290009764,0.3077369877578259,64.07568842904655,63.76630076522591,0.64,0.001,668,1413,2116,2728,3458
45,0.30511211222129964,0.3110159417490437,63.9264332431233,63.615103141127186,0.65,0.001,668,1413,2116,2727,3458
46,0.30885070417089955,0.3145590236263883,63.75423163038866,63.45132238574701,0.66,0.001,667,1414,2117,2726,3459
47,0.31231623217425786,0.31774171431200404,63.594197249655764,63.303840489366245,0.67,0.001,666,1414,2117,2725,3459
48,0.31570821816085404,0.3210563910125338,63.43716517768784,63.14987520400377,0.68,0.001,665,1415,2118,2724,3459
49,0.3188961997559979,0.32419616375912375,63.28921824832706,63.00369106560841,0.69,0.001,665,1415,2118,2723,3460
50,0.32256037970337925,0.3278120938978296,63.118751624542014,62.83490932656882,0.7,0.001,664,1416,2119,2722,3460
51,0.3260670119376541,0.3311512952643405,62.95517843821507,62.67864702567175,0.71,0.001,663,1416,2119,2722,3461
52,0.32942833264816695,0.334386130589299,62.79798495224588,62.52689265178224,0.72,0.001,662,1416,2120,2721,3461
53,0.33274754768968595,0.337652054701974,62.64236909831875,62.37330518113298,0.74,0.001,662,1417,2120,2720,3461
54,0.3360616780437665,0.34088480116870046,62.48660989376544,62.2209061498575,0.75,0.001,661,1417,2121,2719,3462
55,0.33942426051274677,0.34411153464670097,62.328175921262726,62.06841416621964,0.76,0.001,660,1418,2121,2719,3462
56,0.3427603134764765,0.34731598535577524,62.170588938068214,61.91660730180252,0.77,0.001,659,1418,2122,2718,3462
57,0.3461330018142821,0.3505666372944637,62.0108692117005,61.762231518845724,0.78,0.001,659,1419,2122,2717,3462
58,0.349486090578902,0.35383375503443937,61.851666607371016,61.60668029232402,0.79,0.001,658,1419,2122,2717,3462
59,0.35287342642875485,0.357188130795591,61.690416756018514,61.446563579920806,0.8,0.001,657,1419,2123,2716,3463
60,0.3562699018360933,0.36053322666626775,61.528313794849765,61.2864767021445,0.81,0.001,656,1420,2123,2715,3463
61,0.35967451272596007,0.3639152519323514,61.36538875864798,61.12419517938968,0.83,0.001,656,1420,2124,2715,3463
62,0.36310815224393644,0.36731903869159077,61.200637794113305,60.960432383688435,0.84,0.001,655,1421,2124,2714,3463
63,0.366537137296282,0.37067341509908003,61.035664122887,60.798615771146466,0.85,0.001,654,1421,2124,2714,3464
64,0.37002344206139515,0.3740440517433049,60.86747779821031,60.635582194986796,0.86,0.001,653,1421,2125,2713,3464
65,0.3735261372800428,0.3774180362102808,60.69802705427294,60.47194355261992,0.87,0.001,652,1422,2125,2713,3464
66,0.3770751101892472,0.3808471152936057,60.52585522229839,60.30517887884402,0.88,0.001,652,1422,2125,2712,3464
67,0.38061213501347,0.3842429570964444,60.353776759541944,60.13957561113563,0.89,0.001,651,1422,2126,2712,3464
68,0.3842142419901413,0.387668029936481,60.17802365689654,59.972082127983725,0.9,0.001,650,1422,2126,2711,3464
69,0.38780707332767683,0.39109572099445133,60.00221146640659,59.80399299482435,0.91,0.001,649,1423,2126,2711,3464
70,0.3915545590360072,0.39469436682092596,59.81827746065056,59.62700632106646,0.93,0.001,649,1423,2127,2710,3464
71,0.39520048927124585,0.3981452130836173,59.63878902400685,59.45679809612817,0.94,0.001,648,1423,2127,2710,3464
72,0.39891150339271586,0.40166500346893697,59.455535430768556,59.282683166650784,0.95,0.001,647,1423,2127,2709,3464
73,0.4026841086177836,0.40525129747062827,59.26866300215064,59.104755056699965,0.96,0.001,646,1424,2127,2709,3464
74,0.4065388658840553,0.4089092429580643,59.07710839511464,58.92271197363649,0.97,0.001,645,1424,2128,2708,3463
75,0.41045539789027463,0.4126234924656055,58.8818479795291,58.73729500256843,0.98,0.001,645,1424,2128,2708,3463
76,0.4144567047475681,0.4164619316327539,58.6816881773501,58.54506102073748,0.99,0.001,644,1424,2128,2708,3463
77,0.41856915485339485,0.4204435492060765,58.475257270837425,58.34498651274053,1.0,0.001,643,1424,2128,2707,3463
78,0.42281418821218975,0.42453979112057494,58.261401194449704,58.138428808292325,1.02,0.001,642,1424,2128,2707,3463
79,0.4271256694741624,0.42870259216034534,58.04339028907598,57.92776726841045,1.03,0.001,642,1424,2128,2706,3463
80,0.43150568498780206,0.43292741124766154,57.821074110812965,57.713176927072944,1.04,0.001,641,1424,2128,2706,3463
81,0.43591807213279476,0.4372358437043735,57.596246724233254,57.4935161086122,1.05,0.001,640,1423,2128,2706,3464
82,0.44031862896705876,0.44155918247171644,57.37114681029241,57.27224978733702,1.06,0.001,639,1423,2128,2706,3464
83,0.4447074364749115,0.445925802436794,57.14576046788707,57.047895687253444,1.07,0.001,638,1423,2128,2705,3464
84,0.44905883258506185,0.45023963178337323,56.921418214609695,56.82538400730896,1.08,0.001,638,1423,2128,2705,3464
85,0.4533860370494799,0.4546116162445353,56.69744133129488,56.59897822344057,1.09,0.001,637,1422,2128,2705,3464
86,0.45771941351180045,0.4589053898753166,56.47225622069876,56.37574053698763,1.11,0.001,636,1422,2128,2705,3464
87,0.4620214014137185,0.4632408762405763,56.247805946793385,56.14943266910628,1.12,0.001,635,1422,2128,2704,3464
88,0.46629811891557393,0.46734874338839605,56.02378558060183,55.9341610386153,1.13,0.001,635,1421,2128,2704,3464
89,0.4705001142244568,0.47165050313354695,55.80280570903223,55.7078385979029,1.14,0.001,634,1421,2128,2704,3464
90,0.4745804496402415,0.4754645523326958,55.587379746749846,55.506402273606014,1.15,0.001,633,1420,2127,2704,3464
91,0.47858837852052827,0.47972877828410576,55.374964729108406,55.28032035326292,1.16,0.001,632,1419,2127,2704,3464
92,0.4827378464994819,0.4834563571534981,55.15418285786446,55.08193249250951,1.17,0.001,632,1419,2127,2704,3463
93,0.4871633394155819,0.48819510234085195,54.91773633055058,54.82869050720047,1.18,0.001,631,1418,2126,2704,3464
94,0.49169233360441955,0.4924214605347782,54.674703860080484,54.60184139737757,1.2,0.001,630,1417,2126,2704,3463
95,0.49597208847407404,0.4967537141455286,54.444045154032914,54.36832529075983,1.21,0.001,629,1417,2125,2704,3463
96,0.49999182964299704,0.5008748776228606,54.22651016151487,54.14525142570791,1.22,0.001,629,1416,2125,2704,3463
97,0.5038290588512956,0.5043398105847943,54.01803174779927,53.956986992534155,1.23,0.001,628,1415,2124,2704,3463
98,0.5075454273710814,0.5086003460681128,53.81535361916941,53.72458747005997,1.24,0.001,627,1414,2124,2704,3463
99,0.511329152524987,0.5116756911535549,53.60821142354266,53.556211799058616,1.25,0.001,626,1414,2123,2704,3463
100,0.515322273695777,0.5165031386782672,53.38873643133329,53.29083033370985,1.26,0.001,626,1413,2123,2705,3463
101,0.5197677903203606,0.5201893609509326,53.143326342689775,53.0872936039077,1.27,0.001,625,1412,2122,2705,3463
102,0.5242822304929843,0.525290445544078,52.89294908113935,52.80434478454401,1.29,0.001,624,1411,2122,2705,3463
103,0.5284574107730047,0.5292566068997998,52.660329960630705,52.58329051520312,1.3,0.001,624,1410,2121,2705,3463
104,0.5321886342530661,0.5328422076671593,52.451568062237186,52.38264879262264,1.31,0.001,623,1410,2120,2705,3463
105,0.5355772425121239,0.5368056477993576,52.26125729134226,52.15996419893686,1.32,0.001,622,1409,2120,2706,3463
106,0.5387214500915565,0.5391112607320485,52.08405025548248,52.0299877849904,1.33,0.001,621,1408,2119,2706,3463
107,0.541636270160758,0.5432906926182757,51.91922766347623,51.7935377884213,1.34,0.001,621,1407,2118,2706,3463
108,0.5447982313965121,0.5450009942411507,51.73983945015799,51.69647131559731,1.35,0.001,620,1406,2118,2706,3463
109,0.5487112180910244,0.5505591509041381,51.516978011501216,51.37974478165618,1.36,0.001,619,1405,2117,2706,3463
