epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25,band_26,band_27,band_28,band_29,band_30
0,0,0,97.2273079646994,100.52472682442365,0.15,0.001,138,272,407,540,675,809,943,1077,1211,1345,1479,1611,1745,1879,2015,2147,2281,2417,2549,2683,2817,2951,3085,3219,3353,3487,3622,3756,3890,4024
1,0,0,86.64297928496573,90.16290865791903,0.17,0.001,138,273,407,540,675,809,944,1078,1212,1346,1480,1610,1745,1878,2016,2146,2281,2418,2548,2682,2816,2950,3084,3219,3353,3487,3621,3755,3889,4024
2,0,0,80.62746786436215,84.18322244608036,0.18,0.001,139,273,407,540,676,810,944,1078,1213,1347,1481,1610,1744,1877,2017,2145,2282,2419,2547,2682,2816,2949,3084,3218,3352,3486,3621,3755,3889,4024
3,0,0,79.00958889096152,82.41293346048604,0.2,0.001,139,273,408,540,676,811,945,1079,1214,1348,1482,1609,1744,1876,2018,2145,2282,2420,2547,2681,2815,2949,3083,3217,3351,3486,3620,3755,3889,4023
4,0,0,80.63644238087237,83.7807691845584,0.22,0.001,139,273,408,540,677,811,946,1080,1214,1348,1482,1609,1744,1876,2018,2144,2283,2421,2546,2680,2815,2948,3083,3217,3351,3486,3620,3754,3889,4023
5,0,0,82.99158113364572,85.91163815405046,0.24,0.001,139,274,408,541,677,812,946,1081,1215,1349,1483,1609,1744,1875,2019,2144,2283,2421,2546,2679,2814,2948,3082,3216,3350,3485,3619,3754,3888,4023
6,0,0,84.23325478062391,87.03661058446181,0.26,0.001,139,274,409,541,678,813,947,1081,1216,1349,1483,1610,1744,1875,2019,2144,2283,2421,2545,2679,2814,2947,3081,3215,3350,3485,3619,3754,3888,4023
7,0,0,84.07024534485284,86.86539121771254,0.28,0.001,139,274,409,542,678,813,948,1082,1217,1350,1484,1610,1743,1874,2020,2144,2282,2421,2545,2678,2813,2947,3081,3215,3349,3484,3618,3754,3888,4023
8,0,0,83.00783272058577,85.86596170139975,0.3,0.001,139,274,409,542,679,814,948,1082,1218,1350,1484,1610,1743,1874,2021,2144,2282,2420,2544,2677,2812,2947,3081,3215,3348,3484,3618,3753,3888,4023
9,0,0,81.45422350832246,84.41792889398555,0.32,0.001,140,275,409,542,679,814,949,1083,1219,1350,1484,1611,1743,1873,2021,2144,2282,2420,2544,2677,2811,2947,3080,3215,3348,3484,3618,3753,3888,4022
10,0,0,79.85523706507138,82.94275428439335,0.34,0.001,140,275,410,543,680,815,950,1083,1220,1351,1484,1611,1742,1873,2022,2144,2282,2420,2544,2676,2810,2947,3080,3215,3347,3484,3617,3753,3888,4022
11,0,0,78.54846483620797,81.7550379516073,0.35,0.001,140,275,410,543,680,815,950,1084,1220,1351,1484,1611,1742,1873,2022,2145,2282,2420,2544,2675,2810,2947,3079,3215,3346,3483,3617,3753,3888,4022
12,0,0,77.71787356260946,81.00954804836279,0.37,0.001,140,275,410,544,681,816,951,1085,1221,1351,1484,1612,1742,1872,2023,2145,2282,2421,2544,2675,2809,2948,3079,3215,3346,3483,3616,3752,3887,4022
13,0,0,77.40227268243646,80.74796219371422,0.39,0.001,140,276,410,544,681,816,951,1085,1222,1352,1484,1612,1742,1872,2023,2145,2282,2421,2544,2674,2808,2948,3079,3214,3345,3483,3616,3752,3887,4022
14,0,0,77.39121334068713,80.76740693768434,0.41,0.001,140,276,410,545,682,817,952,1086,1223,1352,1485,1613,1742,1872,2023,2146,2282,2421,2543,2673,2808,2948,3078,3214,3344,3483,3615,3752,3887,4021
15,0,0,77.51672576571781,80.90638880830116,0.43,0.001,140,276,411,545,682,818,953,1086,1224,1352,1485,1613,1742,1871,2023,2146,2282,2421,2543,2673,2807,2948,3078,3214,3344,3482,3615,3752,3887,4021
16,0,0,77.61836978528343,81.00701647851253,0.45,0.001,140,277,411,546,683,818,953,1087,1225,1353,1485,1614,1742,1871,2023,2146,2283,2422,2544,2672,2806,2948,3078,3213,3343,3482,3614,3751,3887,4021
17,0,0,77.57677648626553,80.954417271581,0.46,0.001,141,277,411,546,683,819,953,1088,1226,1353,1485,1614,1742,1871,2023,2146,2283,2422,2544,2671,2806,2947,3077,3213,3342,3482,3614,3751,3887,4021
18,0,0,77.33619281261524,80.69872174580122,0.48,0.001,141,277,412,547,684,819,954,1089,1227,1353,1485,1615,1742,1871,2023,2146,2283,2422,2544,2671,2805,2947,3077,3212,3342,3481,3614,3751,3886,4021
19,0,0,76.90506589397249,80.2489047822461,0.5,0.001,141,277,412,547,684,820,954,1089,1228,1354,1485,1615,1742,1871,2022,2146,2283,2422,2544,2670,2805,2947,3076,3212,3341,3481,3613,3751,3886,4021
20,0.005983931402198328,0.001436520330047042,76.35406257098407,79.67216764262787,0.52,0.001,141,278,412,547,684,821,954,1090,1229,1354,1485,1616,1742,1870,2022,2146,2283,2423,2544,2669,2804,2947,3076,3211,3341,3481,3613,3751,3886,4020
21,0.0202690219324424,0.01600723206567234,75.8034310321769,79.08875552188186,0.54,0.001,141,278,413,548,685,821,954,1091,1229,1355,1486,1617,1743,1870,2022,2146,2283,2423,2544,2669,2803,2946,3075,3211,3340,3480,3613,3750,3886,4020
22,0.03156734791429072,0.027969023335724374,75.36507824935399,78.60656580400902,0.55,0.001,141,278,413,548,685,822,954,1092,1230,1355,1486,1617,1743,1870,2022,2145,2284,2423,2544,2668,2803,2946,3075,3210,3339,3480,3612,3750,3885,4020
23,0.03854353481238282,0.03598386424213873,75.0931420335356,78.28182385019207,0.57,0.001,141,278,413,549,685,822,954,1093,1231,1356,1486,1618,1743,1869,2021,2145,2284,2423,2545,2667,2802,2946,3074,3209,3339,3480,3612,3750,3885,4020
24,0.04192239546441734,0.04059248648522462,74.96107388275765,78.09448153919072,0.59,0.001,142,279,414,549,686,823,954,1094,1232,1356,1486,1619,1744,1869,2021,2145,2284,2423,2545,2667,2802,2945,3074,3209,3338,3479,3611,3750,3885,4020
25,0.044450412790802196,0.04417358411220895,74.86210630844887,77.94859772131088,0.61,0.001,142,279,414,550,686,824,954,1094,1233,1357,1486,1619,1744,1869,2021,2145,2285,2423,2545,2666,2801,2945,3073,3208,3337,3479,3611,3750,3885,4020
26,0.049207699969448404,0.04945189035227382,74.67552859078066,77.73307002673477,0.63,0.001,142,279,414,550,686,824,954,1095,1234,1357,1487,1620,1744,1869,2020,2145,2285,2423,2545,2665,2801,2944,3072,3207,3337,3479,3611,3749,3884,4019
27,0.05745302977243094,0.057659232356990664,74.35102686118397,77.39675582671408,0.65,0.001,142,279,415,550,687,825,954,1096,1235,1357,1487,1621,1745,1869,2020,2145,2285,2423,2545,2665,2800,2944,3072,3207,3336,3479,3610,3749,3884,4019
28,0.06820162917503525,0.0679152489720074,73.9258628838717,76.97442757175918,0.66,0.001,142,280,415,551,687,826,954,1097,1236,1358,1487,1622,1745,1869,2020,2144,2285,2423,2546,2664,2800,2943,3071,3206,3336,3478,3610,3749,3884,4019
29,0.07918395918846821,0.07817269730874898,73.48892481396432,76.54971513153234,0.68,0.001,142,280,415,551,687,826,953,1098,1236,1358,1487,1622,1746,1869,2020,2144,2285,2423,2546,2664,2799,2943,3071,3206,3335,3478,3610,3749,3884,4019
30,0.08826625870080096,0.08656422163220823,73.12560429771675,76.20049622541838,0.7,0.001,142,280,416,552,687,827,953,1098,1237,1359,1487,1623,1746,1869,2020,2144,2285,2423,2546,2663,2799,2942,3070,3205,3334,3478,3609,3749,3883,4019
31,0.09469360832189433,0.0925350869104914,72.86739481113963,75.95103724501563,0.72,0.001,143,281,416,552,687,828,952,1099,1238,1359,1487,1624,1747,1869,2020,2144,2286,2423,2547,2663,2798,2942,3070,3204,3334,3477,3609,3749,3883,4019
32,0.09946595875399622,0.09716814183663347,72.67508156492671,75.75690330549091,0.74,0.001,143,281,416,553,688,828,952,1100,1239,1360,1487,1625,1747,1870,2019,2144,2286,2423,2547,2662,2798,2941,3069,3204,3333,3477,3609,3748,3883,4018
33,0.10457258124350632,0.10239747129397225,72.46872978654311,75.5371907572687,0.76,0.001,143,281,417,553,688,829,951,1101,1239,1360,1488,1626,1748,1870,2019,2144,2286,2422,2547,2662,2797,2941,3069,3203,3332,3477,3608,3748,3883,4018
34,0.11142853158833554,0.10952538878288853,72.19076697152829,75.23666436028714,0.77,0.001,143,281,417,553,688,829,951,1102,1240,1360,1488,1627,1749,1870,2019,2144,2286,2422,2547,2661,2797,2940,3068,3202,3332,3477,3608,3748,3882,4018
35,0.11977510406757486,0.11826056767660775,71.85090968565568,74.86673707536946,0.79,0.001,143,282,417,554,687,830,950,1103,1241,1361,1488,1627,1749,1870,2019,2144,2286,2422,2548,2661,2796,2939,3067,3201,3331,3476,3608,3748,3882,4018
36,0.12795491006899218,0.12699664651559917,71.51628215505369,74.49493350012133,0.81,0.001,143,282,418,554,687,831,949,1103,1241,1361,1488,1628,1750,1870,2019,2144,2287,2422,2548,2660,2796,2939,3067,3201,3331,3476,3608,3748,3882,4018
37,0.13436901891277897,0.1341701757139635,71.25278914496961,74.18823714882299,0.83,0.001,143,282,418,554,687,831,948,1104,1242,1362,1488,1629,1751,1870,2018,2144,2287,2422,2548,2660,2795,2938,3066,3200,3330,3476,3607,3748,3881,4018
38,0.13902610922574354,0.13965429281235986,71.06085777565944,73.95291206656435,0.85,0.001,144,283,418,555,687,832,948,1105,1243,1362,1488,1630,1751,1870,2018,2143,2287,2422,2549,2659,2795,2938,3066,3199,3329,3475,3607,3748,3881,4017
39,0.14374456929711632,0.14499943810040183,70.86587105008658,73.72283000578925,0.87,0.001,144,283,419,555,687,832,947,1106,1243,1363,1489,1631,1752,1870,2018,2143,2287,2421,2549,2659,2795,2937,3065,3199,3329,3475,3607,3747,3881,4017
40,0.1501776526414531,0.1516746357506602,70.5991621707988,73.4344746717269,0.88,0.001,144,283,419,555,686,833,946,1107,1244,1363,1489,1632,1753,1870,2018,2143,2287,2421,2549,2659,2794,2936,3065,3198,3328,3475,3607,3747,3881,4017
41,0.15772945966126029,0.15915034275506323,70.28477578417143,73.11020149404595,0.9,0.001,144,283,419,556,686,834,945,1108,1245,1363,1489,1632,1753,1870,2018,2143,2287,2421,2550,2658,2794,2936,3064,3197,3328,3474,3607,3747,3880,4017
42,0.16441896261993838,0.16572200142003335,70.00511281551155,72.82393955201132,0.92,0.001,144,284,420,556,686,834,944,1109,1245,1364,1489,1633,1754,1870,2017,2143,2287,2421,2550,2658,2793,2935,3064,3197,3327,3474,3606,3747,3880,4017
43,0.1694604281428146,0.17079512867159574,69.79359916478731,72.60218754775059,0.94,0.001,144,284,420,556,685,835,943,1110,1246,1364,1490,1634,1755,1870,2017,2143,2287,2420,2551,2657,2793,2935,3063,3196,3327,3474,3606,3747,3880,4016
