epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,lr,band_1,band_2,band_3,band_4,band_5
75,0.3600770991446814,0.38678223185265437,0.19642411571486673,0.20826803992470921,0.5,0.001,31,67,98,136,164
76,0.3600770991446814,0.38678223185265437,0.19652056540648144,0.20843238951542387,0.5,0.001,31,67,98,136,164
77,0.35995663173111675,0.38678223185265437,0.19638308721366993,0.20843238951542387,0.51,0.001,31,67,98,136,164
78,0.35995663173111675,0.38678223185265437,0.19638308721366993,0.20859667088814693,0.52,0.001,31,67,98,136,164
79,0.35995663173111675,0.38678223185265437,0.1963555282793913,0.20843238951542387,0.52,0.001,31,67,98,136,164
80,0.35995663173111675,0.38678223185265437,0.19631418633368236,0.20859667088814693,0.53,0.001,31,67,97,136,164
81,0.35995663173111675,0.38678223185265437,0.19625905712237268,0.20859667088814693,0.54,0.001,31,67,97,136,164
82,0.35995663173111675,0.38678223185265437,0.19621770525026605,0.208760884085343,0.54,0.001,31,67,97,136,164
83,0.35995663173111675,0.38678223185265437,0.19620392034731515,0.208760884085343,0.55,0.001,31,67,97,136,164
84,0.35995663173111675,0.38678223185265437,0.19623148968040982,0.208760884085343,0.56,0.001,31,67,97,136,164
85,0.35995663173111675,0.38678223185265437,0.19627284013424073,0.208760884085343,0.56,0.001,31,67,97,136,164
86,0.35995663173111675,0.38678223185265437,0.1963279674548566,0.208760884085343,0.57,0.001,31,67,97,136,164
87,0.35995663173111675,0.38678223185265437,0.19638308721366993,0.208760884085343,0.58,0.001,31,67,97,136,164
88,0.35995663173111675,0.38678223185265437,0.19642442207128286,0.2089250291494419,0.58,0.001,31,67,97,136,164
89,0.35995663173111675,0.38678223185265437,0.1964446120835649,0.2089250291494419,0.59,0.001,31,67,97,136,164
90,0.3598361643175521,0.38678223185265437,0.19632092684428448,0.2089250291494419,0.6,0.001,31,67,97,136,164
91,0.3598361643175521,0.38678223185265437,0.19643113999171935,0.2089250291494419,0.6,0.001,31,67,97,136,164
92,0.3598361643175521,0.38678223185265437,0.19648528386257014,0.20898372143377375,0.61,0.001,31,67,97,136,164
93,0.3612817732803277,0.3856988082340195,0.19856053051142686,0.20775050864699918,0.62,0.001,31,67,97,136,164
94,0.36200457776171546,0.3856988082340195,0.1996180925678378,0.20780927152317885,0.62,0.001,31,67,97,136,164
95,0.36357065413805567,0.39003250270855905,0.20182488925807918,0.21417823890297782,0.63,0.001,31,67,97,136,164
96,0.36429345861944346,0.39003250270855905,0.20302483712310526,0.21445739785583418,0.64,0.001,31,67,97,137,164
97,0.36549813275508974,0.39003250270855905,0.20482145762582027,0.21457375448524374,0.64,0.001,31,67,97,137,164
98,0.3668232743043007,0.39111592632719394,0.20674594166890214,0.21625905215461305,0.65,0.001,31,67,97,137,164
99,0.36778701361281774,0.39328277356446373,0.20835600760045425,0.21955638768515295,0.66,0.001,31,67,97,137,164
100,0.36935308998915795,0.39328277356446373,0.210790217640054,0.219787286070951,0.66,0.001,31,67,97,137,164
101,0.37332851463679073,0.39544962080173346,0.21632329369458214,0.22304522030870966,0.67,0.001,31,67,97,137,164
102,0.3777858089386821,0.39761646803900325,0.22250608150067752,0.22651610608371664,0.68,0.001,31,67,97,137,164
103,0.38188170099987956,0.4008667388949079,0.22834032434488993,0.23148418608712928,0.68,0.001,31,67,97,137,164
104,0.38561619082038306,0.40520043336944744,0.23372761952811805,0.2381110611598679,0.69,0.001,31,67,98,137,164
105,0.38947114805445127,0.40628385698808234,0.23924156976955513,0.23955486196932385,0.69,0.001,31,67,98,137,164
106,0.39296470304782555,0.4106175514626219,0.24430436182677828,0.2456057321175571,0.7,0.001,31,67,98,137,164
107,0.3977833995904108,0.41170097508125675,0.25108385810061273,0.24710334229157815,0.71,0.001,31,67,98,137,164
108,0.40224069389230216,0.41386782231852653,0.25746594028192404,0.25015241933788435,0.71,0.001,31,67,98,137,164
109,0.4056137814721118,0.4171180931744312,0.26221104989400124,0.2548040344134689,0.72,0.001,31,67,98,137,164
110,0.40983014094687387,0.42145178764897073,0.2681500294456126,0.26163650336387867,0.73,0.001,31,67,98,137,164
111,0.41368509818094207,0.4236186348862405,0.27338191150586233,0.2650492949630381,0.73,0.001,31,67,98,137,164
112,0.4158535116251054,0.4279523293607801,0.2765111478331731,0.27110980824425557,0.74,0.001,31,67,98,137,164
113,0.41838332730996264,0.4312026002166847,0.27998631879384195,0.276195213321324,0.75,0.001,31,67,98,137,164
114,0.41994940368630285,0.4355362946912243,0.28224922346636694,0.28260253373036004,0.75,0.001,31,67,98,137,164
115,0.4218768823033369,0.4398699891657638,0.28493916324031665,0.28863039388437184,0.76,0.001,31,67,98,138,164
116,0.42332249126611254,0.4420368364030336,0.2869354217940516,0.29169274325733874,0.77,0.001,31,67,98,138,164
117,0.42500903505601734,0.447453954496208,0.2892497022505538,0.29909172126265626,0.77,0.001,31,67,98,138,164
118,0.4275388507408746,0.4507042253521127,0.2926323128543554,0.3033267431681623,0.78,0.001,31,67,98,138,164
119,0.4299481990121672,0.4528710725893825,0.2958059269011497,0.3062773848645045,0.79,0.001,31,67,98,138,164
120,0.43247801469702446,0.4561213434452871,0.29924814253144694,0.31070012109527245,0.79,0.001,31,67,98,138,164
121,0.4345259607276232,0.4582881906825569,0.3020291901805907,0.3135065904854839,0.8,0.001,31,67,97,138,164
122,0.4356101674497049,0.4593716143011918,0.3035597686318007,0.3149295112642161,0.81,0.001,31,67,97,138,164
123,0.43633297193109266,0.46045503791982667,0.3046410887366705,0.31650166096160315,0.81,0.001,31,67,97,138,164
124,0.4381399831345621,0.46153846153846156,0.30704135869341287,0.3180728945232483,0.82,0.001,31,67,97,138,164
125,0.4397060595109023,0.4626218851570964,0.30917635870669447,0.3196432127497051,0.83,0.001,31,67,98,138,164
126,0.44066979881941937,0.4647887323943662,0.3105193363318399,0.32268251959333794,0.83,0.001,31,67,98,138,164
127,0.44151307071437174,0.466955579631636,0.31172737766451786,0.3258663151378577,0.84,0.001,31,67,98,138,164
128,0.4429586796771473,0.46912242686890576,0.3138177491656645,0.32870435651235586,0.85,0.001,31,67,98,138,164
129,0.44380195157209973,0.46912242686890576,0.3150072622170168,0.3287531761297523,0.85,0.001,31,67,98,138,164
130,0.4452475605348753,0.47020585048754066,0.3169623150100185,0.3301717805068082,0.86,0.001,31,66,98,138,164
131,0.4465727020840863,0.4723726977248104,0.3187477818095368,0.33300837039246334,0.86,0.001,31,66,98,138,164
132,0.4475364413926033,0.4745395449620802,0.3200529477409869,0.33598895230862347,0.87,0.001,31,66,98,138,164
133,0.448620648114685,0.47562296858071507,0.3215761665613417,0.33760859282675715,0.88,0.001,31,66,98,138,164
134,0.44970485483676664,0.47562296858071507,0.3230312379776529,0.3376184142828125,0.89,0.001,31,66,98,138,164
135,0.450909528972413,0.47778981581798485,0.3247124308896323,0.3405569497168115,0.89,0.001,31,66,98,138,164
136,0.45127093121310685,0.47778981581798485,0.3252345114946601,0.3406527283963974,0.9,0.001,31,66,98,138,164
137,0.45175280086736536,0.4799566630552546,0.325945726694412,0.3435792886108696,0.91,0.001,31,66,98,138,164
138,0.4522346705216239,0.4810400866738895,0.3266128326547215,0.34499438503545277,0.91,0.001,31,66,98,138,164
139,0.4525960727623178,0.4810400866738895,0.3271239702581068,0.34499438503545277,0.92,0.001,31,66,98,138,164
140,0.45307794241657634,0.48212351029252437,0.3277740668276399,0.34640927601843474,0.93,0.001,31,66,98,139,164
141,0.45331887724370556,0.48320693391115926,0.32816921046679504,0.3478712957079314,0.93,0.001,31,66,98,139,164
142,0.45355981207083484,0.48429035752979416,0.3285185333597479,0.3493328910129483,0.94,0.001,31,66,98,139,164
143,0.4538007468979641,0.48429035752979416,0.3288565392494378,0.3495217071376012,0.95,0.001,31,66,97,139,164
144,0.45440308396578727,0.48320693391115926,0.32965949031358954,0.348249721326206,0.95,0.001,31,66,97,139,164
145,0.45476448620648113,0.48429035752979416,0.33014862209629214,0.3496632473318827,0.96,0.001,31,66,97,139,164
146,0.4550054210336104,0.48429035752979416,0.3304812225202498,0.3496632473318827,0.97,0.001,31,66,97,139,164
147,0.4552463558607397,0.48645720476706394,0.33081901179490725,0.35245230740539557,0.97,0.001,31,66,98,139,164
148,0.4562100951692567,0.48645720476706394,0.33212485943608305,0.35245230740539557,0.98,0.001,31,66,98,139,164
149,0.456451029996386,0.48645720476706394,0.33249118236570085,0.3526870393002246,0.99,0.001,31,66,98,139,164
150,0.4565714974099506,0.48645720476706394,0.3327048652379928,0.3527339652593565,0.99,0.001,31,66,98,139,164
151,0.45681243223707985,0.48645720476706394,0.33309124194166817,0.35295892380183325,1.0,0.001,31,65,98,139,164
152,0.45717383447777377,0.48645720476706394,0.3335738249096607,0.35295892380183325,1.01,0.001,31,65,97,139,164
