epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25,band_26,band_27,band_28,band_29,band_30
27,0.2384050114444043,0.26652221018418204,0.0,0.0,0.21,0.001,7,13,20,26,32,39,45,50,59,64,70,78,83,89,97,101,108,114,122,129,135,142,148,153,160,167,173,178,185,192
28,0.2384050114444043,0.26652221018418204,0.0,0.0,0.22,0.001,7,13,20,26,32,39,45,50,59,64,70,78,83,89,97,101,108,114,122,129,135,142,148,153,160,167,173,178,185,192
29,0.24719913263462234,0.27410617551462624,0.013027242666764138,0.012097772623218206,0.22,0.001,7,13,20,26,32,39,45,50,59,64,70,78,83,89,97,101,108,113,122,129,135,142,148,153,160,166,173,178,185,192
30,0.33887483435730636,0.3629469122426869,0.14841751280064008,0.15220702292079646,0.23,0.001,7,13,20,26,32,39,45,50,59,64,70,78,83,89,97,101,108,113,122,129,135,142,148,153,160,166,173,178,185,192
31,0.35995663173111675,0.3781148429035753,0.17916688605137066,0.1770385616092578,0.24,0.001,7,13,20,26,32,39,45,50,59,64,70,78,83,89,97,101,108,113,122,129,135,142,148,153,160,166,173,178,185,192
32,0.36200457776171546,0.38028169014084506,0.18277666830809935,0.18096706685758346,0.25,0.001,7,13,20,26,32,39,45,50,59,64,70,78,83,89,97,101,108,113,122,129,135,141,148,153,160,166,173,178,185,192
33,0.3626069148295386,0.38028169014084506,0.18455666537327564,0.1823775283752581,0.26,0.001,7,13,20,26,32,39,45,50,59,64,70,78,83,89,97,101,108,113,122,129,135,141,148,153,160,166,173,178,185,192
34,0.3630887844837971,0.38136511375947996,0.18677180102951285,0.18660843127117266,0.26,0.001,7,12,20,26,32,39,45,50,59,64,70,78,83,89,97,101,108,113,122,129,135,141,148,153,160,166,173,178,185,192
35,0.3629683170702325,0.38244853737811485,0.18926434746896525,0.19150178646893856,0.27,0.001,7,12,20,26,32,39,45,50,59,65,70,78,83,89,97,101,108,113,122,129,135,141,148,153,160,166,173,178,185,192
36,0.36320925189736175,0.38244853737811485,0.19176698429399974,0.1940840367028691,0.28,0.001,7,12,20,26,31,39,45,50,59,65,70,78,83,89,97,101,108,113,122,129,135,141,148,153,160,166,173,178,185,192
37,0.3633297193109264,0.38244853737811485,0.19339554084600752,0.19664984463158208,0.29,0.001,7,12,20,27,31,39,45,50,59,65,70,78,82,89,97,101,108,113,122,129,135,141,148,153,160,166,173,178,185,192
38,0.3633297193109264,0.38244853737811485,0.19445024526595578,0.1978416388663573,0.29,0.001,7,12,20,27,31,39,45,50,59,65,70,78,82,89,97,101,108,113,122,129,135,141,148,153,160,166,173,178,185,192
39,0.3633297193109264,0.38244853737811485,0.19508728009483522,0.19886036588894196,0.3,0.001,7,12,20,27,31,39,45,50,59,65,70,78,82,89,97,101,108,113,122,129,135,141,148,153,160,166,173,178,185,192
40,0.36320925189736175,0.38244853737811485,0.19530849210397438,0.2000456152354887,0.31,0.001,7,12,20,27,31,39,45,50,59,65,70,78,82,89,97,101,108,113,122,129,135,141,148,153,160,166,173,178,185,192
41,0.36320925189736175,0.38244853737811485,0.1956954734052122,0.20038361402714167,0.32,0.001,7,12,20,27,31,39,45,50,59,65,70,78,82,89,97,101,108,113,121,129,135,141,148,153,160,166,173,178,185,192
42,0.3629683170702325,0.38244853737811485,0.19569506907880707,0.20038361402714167,0.32,0.001,7,12,20,27,31,39,45,50,59,65,70,78,82,89,97,101,108,113,121,129,135,141,148,153,160,166,173,178,185,192
43,0.3629683170702325,0.38244853737811485,0.1960401435526169,0.2005525063365,0.33,0.001,7,12,20,27,31,39,45,50,59,65,70,78,82,89,97,101,108,113,121,129,136,141,148,153,160,166,173,178,185,192
44,0.3629683170702325,0.38244853737811485,0.1962470461466166,0.20072132731518266,0.34,0.001,7,12,20,27,31,39,45,50,59,65,70,78,82,89,97,101,108,113,121,129,136,141,149,153,160,166,173,178,185,192
45,0.3629683170702325,0.38244853737811485,0.19652275067053926,0.201058755461201,0.35,0.001,7,12,20,27,31,39,45,50,59,65,70,78,82,89,97,101,108,112,121,129,136,141,149,153,160,166,173,178,185,192
46,0.3629683170702325,0.38244853737811485,0.1968808839056866,0.20139589882617592,0.35,0.001,7,12,20,27,31,39,45,50,59,65,70,78,82,89,97,101,108,112,121,129,136,141,149,153,160,166,173,178,185,192
47,0.3628478496566679,0.38244853737811485,0.19712816344136874,0.20190108069732593,0.36,0.001,7,12,20,27,31,39,45,50,59,65,70,78,82,89,97,101,108,112,121,129,136,141,149,153,160,166,173,178,185,192
48,0.36272738224310325,0.38244853737811485,0.1972927124304047,0.20290952945133456,0.37,0.001,7,12,20,27,31,39,45,50,59,65,70,77,82,89,97,101,108,112,121,129,136,141,149,153,160,166,173,178,185,192
49,0.3626069148295386,0.38244853737811485,0.19759451499653202,0.20358041399104443,0.38,0.001,7,12,20,27,31,39,45,50,59,65,70,77,82,89,97,101,108,112,121,129,136,141,149,154,160,166,173,178,185,192
50,0.36248644741597397,0.38244853737811485,0.19784108080502338,0.2044174332251104,0.38,0.001,7,12,20,27,31,39,45,50,59,65,70,77,82,89,97,101,108,112,121,129,136,141,149,154,160,166,173,178,185,192
51,0.36248644741597397,0.38244853737811485,0.19826632811591027,0.204751748500152,0.39,0.001,7,12,20,27,31,39,45,50,59,65,71,77,82,89,97,101,108,112,121,129,136,141,149,154,160,166,173,178,185,192
52,0.3623659800024093,0.38244853737811485,0.19845750677724305,0.205085782925005,0.4,0.001,7,12,20,27,31,39,45,50,59,65,71,77,82,89,97,101,108,112,121,129,136,141,149,154,160,166,173,178,185,192
53,0.36224551258884474,0.38136511375947996,0.19868959642563233,0.20419260051158006,0.41,0.001,7,12,20,27,31,39,45,50,59,66,71,77,82,89,97,101,108,112,121,129,136,141,149,154,160,166,173,178,185,192
54,0.36224551258884474,0.38136511375947996,0.19905907585998117,0.20502687202940761,0.41,0.001,7,12,20,27,31,39,45,50,59,66,71,77,82,89,97,101,108,112,121,129,136,141,149,154,160,166,173,178,185,192
55,0.36224551258884474,0.38136511375947996,0.1992915363051294,0.20569303088259017,0.42,0.001,7,12,20,27,31,39,45,50,59,66,71,77,82,89,97,101,108,112,121,130,136,141,149,154,160,166,173,178,185,192
56,0.36200457776171546,0.38136511375947996,0.1993171134419578,0.20635807423626162,0.43,0.001,7,12,20,27,31,39,45,50,59,66,71,77,82,89,96,101,108,112,121,130,136,141,149,154,160,166,173,178,185,192
57,0.36200457776171546,0.38136511375947996,0.1994537315240782,0.20635807423626162,0.44,0.001,7,12,20,27,31,39,45,50,59,66,71,77,82,89,96,101,108,112,121,130,136,141,149,154,160,166,173,178,185,191
58,0.36200457776171546,0.38136511375947996,0.19956299242690878,0.20652416110615945,0.44,0.001,7,12,20,27,31,39,45,50,59,66,71,77,82,89,96,101,108,112,121,130,136,141,149,154,160,166,173,178,185,191
59,0.36200457776171546,0.38136511375947996,0.19960395757673555,0.20669017847600735,0.45,0.001,7,12,20,27,31,39,45,50,59,66,71,77,82,89,96,101,108,112,121,130,136,141,149,154,160,166,173,178,185,191
60,0.36200457776171546,0.38136511375947996,0.19961761169490078,0.20685612638941975,0.46,0.001,7,12,20,27,31,39,45,50,59,66,71,77,82,89,96,101,108,112,121,130,136,141,149,154,160,166,173,178,185,191
61,0.36200457776171546,0.38136511375947996,0.19961761169490078,0.20685612638941975,0.47,0.001,7,12,20,27,31,39,45,50,59,66,71,77,82,89,96,101,108,112,121,130,136,141,149,154,160,166,173,178,185,191
62,0.36200457776171546,0.38136511375947996,0.1996312653472172,0.20669017847600735,0.47,0.001,7,12,21,27,31,39,45,50,59,66,71,77,82,89,96,101,108,112,121,130,136,141,149,154,160,166,173,178,185,191
63,0.36200457776171546,0.38136511375947996,0.19960395757673555,0.20669017847600735,0.48,0.001,7,12,21,27,31,39,45,50,59,66,71,77,82,89,96,101,108,112,121,130,136,140,149,154,160,166,173,179,185,191
64,0.36248644741597397,0.38136511375947996,0.2003080011411873,0.20673674640946693,0.49,0.001,7,12,21,27,31,39,45,50,59,66,71,77,82,89,96,101,108,112,121,130,136,140,149,154,160,165,173,179,185,191
65,0.3645343934465727,0.3856988082340195,0.2039173293678075,0.2134799545528323,0.5,0.001,7,12,21,27,31,39,45,50,59,66,71,77,82,89,96,101,108,112,121,130,136,140,149,154,160,165,173,179,185,191
66,0.3669437417178653,0.39003250270855905,0.20781003591298297,0.2198750957049137,0.5,0.001,7,12,21,27,31,39,45,50,59,66,71,77,82,89,96,101,108,112,121,130,136,140,149,154,160,165,173,179,185,192
67,0.37260571015540295,0.39761646803900325,0.21586082419158037,0.23099700003896062,0.51,0.001,7,12,21,27,31,39,45,50,59,66,71,77,82,89,96,101,108,112,121,130,136,140,149,154,160,165,173,179,185,192
68,0.37959282014215157,0.40303358613217766,0.22603898425241986,0.2388261195582383,0.52,0.001,7,12,21,27,31,39,45,50,59,66,71,76,82,89,96,101,108,111,121,130,136,140,149,154,160,165,173,179,185,192
69,0.3847729189254307,0.40736728060671723,0.2336010627462406,0.24556571998959975,0.53,0.001,7,12,21,27,31,39,45,50,59,66,71,76,82,89,96,101,108,111,121,130,136,140,149,154,160,165,173,179,185,192
70,0.39019395253583905,0.4160346695557963,0.24138956235715125,0.25789913334029446,0.53,0.001,7,12,21,27,31,39,45,50,59,66,72,76,82,89,96,101,108,111,121,130,136,140,149,154,160,165,173,179,185,192
71,0.3959763883869413,0.4182015167930661,0.2496435956109433,0.26095481492968153,0.54,0.001,7,12,21,27,31,39,45,50,60,66,72,76,82,89,96,101,108,111,121,130,136,140,149,154,160,165,173,179,185,192
72,0.40031321527526803,0.4257854821235103,0.25566416073011033,0.27213942118129486,0.55,0.001,7,12,21,27,31,39,45,50,60,66,72,76,82,89,96,101,108,111,121,130,136,140,149,154,160,165,173,179,185,192
73,0.404890976990724,0.4301191765980498,0.2620192533946184,0.27851297270226605,0.56,0.001,7,12,21,27,31,39,45,50,60,66,72,76,82,89,96,101,108,111,121,130,136,140,149,154,160,165,173,179,185,192
74,0.40898686905192144,0.4355362946912243,0.2677160588573173,0.28648986302020263,0.56,0.001,7,12,21,27,31,39,45,50,60,66,72,76,82,89,96,101,108,111,121,130,136,140,149,154,160,165,173,179,185,192
75,0.4122394892181665,0.4409534127843987,0.27227741265293115,0.293847625119541,0.57,0.001,7,12,21,27,31,39,45,50,60,66,72,76,82,89,96,101,108,111,121,130,136,140,149,154,160,165,173,178,185,192
76,0.4145283700758945,0.4442036836403034,0.2754311040943107,0.2983942306694978,0.58,0.001,7,12,21,27,30,39,45,50,60,66,72,76,81,89,96,101,108,111,121,130,136,140,149,154,160,165,173,178,185,192
77,0.417299120587881,0.4463705308775731,0.2792089920219555,0.30137177035548124,0.59,0.001,7,12,21,27,30,39,45,50,60,66,72,76,81,89,96,101,108,111,121,130,136,140,149,154,160,165,173,178,185,192
78,0.4209131429948199,0.447453954496208,0.2840299331198104,0.30281949848265166,0.59,0.001,7,12,21,27,30,39,45,50,60,66,72,77,81,89,96,101,108,111,121,130,136,140,149,154,160,165,173,178,185,192
79,0.42344295867967713,0.4507042253521127,0.28749340710666416,0.30723862732993734,0.6,0.001,7,12,21,27,30,39,45,50,60,66,72,77,81,89,96,101,108,111,122,130,136,140,149,154,160,165,173,178,185,192
80,0.42500903505601734,0.4550379198266522,0.2897251270383552,0.3128628875302113,0.61,0.001,7,12,21,27,30,39,45,50,60,66,72,77,81,89,96,101,108,111,122,130,136,140,149,154,160,165,173,178,185,192
81,0.42741838332730997,0.4593716143011918,0.2928954318367065,0.31856320027933493,0.62,0.001,7,12,21,27,30,39,45,50,60,66,72,77,81,89,96,101,108,111,122,131,136,140,149,154,160,165,173,178,185,192
82,0.42934586194434404,0.46153846153846156,0.29549151038847066,0.3214299450021153,0.62,0.001,7,12,21,27,30,39,45,50,60,66,72,77,81,89,96,101,108,111,122,131,136,140,149,154,160,165,173,178,185,192
83,0.43163474280207204,0.4637053087757313,0.2985528926850771,0.3242565690807281,0.63,0.001,7,12,21,27,30,39,45,50,60,66,72,77,81,88,96,101,108,111,122,131,136,140,149,154,160,165,173,178,185,192
84,0.4346464281411878,0.46912242686890576,0.3025663541904998,0.3313522424027382,0.64,0.001,7,12,21,28,30,39,45,50,60,66,72,77,81,88,96,101,108,111,122,131,136,140,149,154,160,165,173,178,185,192
85,0.4365739067582219,0.46912242686890576,0.3051743031206683,0.3316585513628538,0.65,0.001,7,12,21,28,30,39,45,50,60,66,72,77,81,88,96,101,108,111,122,131,136,140,149,154,160,165,173,178,185,192
86,0.4386218527888206,0.47020585048754066,0.3079689428229695,0.33309938340649814,0.65,0.001,7,12,21,28,30,39,45,50,60,65,72,77,81,88,96,101,108,111,122,131,136,140,149,154,160,165,173,178,185,192
87,0.44006746175159617,0.4712892741061755,0.309978159797757,0.3346765140324963,0.66,0.001,7,12,21,28,30,39,45,50,60,65,72,77,81,88,96,101,108,111,122,131,136,140,149,154,160,165,173,178,185,192
88,0.44079026623298395,0.4723726977248104,0.3110416886622792,0.33627027545829724,0.67,0.001,7,12,21,28,30,39,45,50,60,65,72,77,81,88,96,101,108,111,122,131,136,140,149,154,160,165,173,178,185,192
89,0.44211540778219494,0.4734561213434453,0.31280475216334525,0.3378805233450629,0.68,0.001,7,12,21,28,30,39,45,50,60,65,71,77,81,89,96,101,108,111,122,131,137,140,149,154,160,165,173,178,185,192
90,0.4435610167449705,0.4734561213434453,0.31472955670044755,0.337956745173164,0.68,0.001,7,12,21,28,30,39,45,50,60,65,71,77,81,89,96,101,108,111,122,131,137,140,149,153,160,165,173,178,185,192
91,0.44464522346705215,0.4734561213434453,0.31624376790616937,0.337956745173164,0.69,0.001,7,12,21,28,30,39,45,50,60,65,71,77,81,89,96,101,108,111,122,131,137,140,149,153,160,165,173,178,185,192
92,0.44536802794843994,0.47562296858071507,0.3172958912266606,0.3407950324856902,0.7,0.001,7,12,21,28,30,39,45,50,60,65,71,77,81,89,96,101,108,111,122,131,137,140,149,153,160,165,173,178,185,192
93,0.44669316949765087,0.47670639219934996,0.31915977409525553,0.3422705812924166,0.71,0.001,7,12,21,28,30,39,45,50,60,65,71,77,81,89,97,101,108,111,122,131,137,140,149,153,160,165,173,178,185,192
94,0.44777737621973257,0.4788732394366197,0.3205937935394374,0.34506946677720773,0.71,0.001,7,12,21,28,30,39,45,50,60,65,71,77,81,89,97,101,108,111,122,131,137,140,149,153,160,165,173,178,185,192
95,0.4493434525960728,0.4810400866738895,0.3227115868583753,0.3479225324588172,0.72,0.001,7,12,21,28,30,39,45,50,60,65,71,77,81,89,97,101,108,111,122,131,137,140,149,153,160,165,173,178,185,192
96,0.4498253222503313,0.4810400866738895,0.3234049440649024,0.3479773474715,0.73,0.001,7,12,22,28,30,39,45,50,60,65,71,77,81,89,97,101,108,111,122,131,137,140,149,153,160,165,173,178,185,192
97,0.4499457896638959,0.48320693391115926,0.3236872652480355,0.3508117967463251,0.74,0.001,7,12,22,28,30,39,45,50,60,65,71,77,81,89,97,100,108,111,122,131,137,140,149,153,160,165,173,178,185,192
98,0.45127093121310685,0.48429035752979416,0.3254298792685194,0.3522100302848904,0.74,0.001,7,12,22,28,30,39,45,50,60,65,71,77,81,89,97,100,108,111,122,131,137,140,149,153,160,165,173,178,185,192
99,0.45163233345380077,0.48537378114842905,0.32600735684643634,0.3536795707167497,0.75,0.001,7,12,22,28,30,39,45,50,60,65,71,77,81,89,97,100,108,111,122,131,137,140,149,153,160,165,173,178,185,192
100,0.45235513793518856,0.48537378114842905,0.3269932959259463,0.3537167276699308,0.76,0.001,7,12,22,28,30,39,45,50,60,65,71,77,81,89,97,100,108,111,122,131,137,140,149,153,160,165,174,178,185,192
101,0.4527165401758824,0.48537378114842905,0.3275861653945289,0.3537167276699308,0.77,0.001,7,12,22,28,30,39,45,50,60,65,71,77,81,89,97,100,108,111,122,131,137,140,149,153,160,165,174,178,185,192
102,0.4529574750030117,0.48537378114842905,0.32797666943368986,0.3537167276699308,0.77,0.001,7,12,22,28,30,39,45,50,60,65,71,77,81,89,97,100,108,110,122,131,137,140,149,153,160,165,174,178,185,192
103,0.45355981207083484,0.48645720476706394,0.32881306552738876,0.35511439849768145,0.78,0.001,7,12,22,28,30,39,45,50,60,65,71,77,81,89,97,100,108,110,122,131,137,140,149,153,160,165,174,178,185,192
104,0.4548849536200458,0.4875406283856988,0.33059258805275904,0.35652898043406167,0.79,0.001,7,12,22,28,30,39,45,50,60,65,71,77,81,89,97,100,108,110,122,131,137,140,149,153,160,165,174,178,185,192
105,0.45584869292856284,0.4886240520043337,0.33191190925512093,0.35799725607105337,0.8,0.001,7,12,22,28,30,39,45,50,60,65,71,77,81,89,97,100,108,110,122,131,137,140,149,153,160,165,174,178,185,192
106,0.4562100951692567,0.4886240520043337,0.3324708172651504,0.35803415125812676,0.8,0.001,7,12,22,28,30,39,45,50,60,65,71,77,81,89,97,100,108,110,122,131,137,140,149,153,160,165,174,178,185,192
107,0.45681243223707985,0.4875406283856988,0.3332966457646681,0.3567479880832054,0.81,0.001,7,12,22,28,30,39,45,50,60,65,71,77,81,89,97,100,108,110,122,132,137,140,149,153,160,165,174,178,185,192
108,0.45717383447777377,0.49079089924160346,0.33382590108731314,0.36120334852489666,0.82,0.001,7,12,22,28,30,39,45,50,60,65,71,77,81,89,97,100,108,110,122,132,137,140,149,153,160,165,174,178,185,192
