epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15
32,0.18019073398209107,0.1823652605249685,69.4351759005747,69.30033637071143,0.63,0.001,272,533,772,1031,1314,1562,1820,2100,2336,2618,2841,3106,3358,3630,3892
33,0.18289489795752956,0.1848196104053379,69.32056211566125,69.19624351933781,0.65,0.001,272,533,772,1030,1315,1562,1820,2101,2335,2619,2840,3105,3358,3629,3892
34,0.18449193111688,0.1862851292710752,69.25278508614292,69.1340162802021,0.67,0.001,272,533,771,1029,1315,1562,1820,2102,2335,2620,2840,3105,3357,3629,3892
35,0.18654584559325127,0.18835254809903257,69.16552341236384,69.04613423171314,0.68,0.001,273,534,770,1029,1316,1562,1820,2103,2334,2621,2839,3104,3357,3629,3891
36,0.18997573049865124,0.19194416016468152,69.01954617285055,68.89320312991696,0.7,0.001,273,534,769,1028,1317,1562,1821,2103,2334,2622,2839,3103,3357,3628,3891
37,0.19429126340168734,0.19656795694598594,68.83544406317867,68.69580605489138,0.72,0.001,273,534,769,1028,1317,1562,1821,2104,2333,2623,2838,3103,3356,3628,3891
38,0.1982128919160152,0.20077432387619387,68.66772420618183,68.51574080662961,0.73,0.001,273,534,768,1027,1318,1563,1821,2105,2333,2624,2838,3102,3356,3628,3891
39,0.20098589755341034,0.2037849660309452,68.54887484260773,68.3865749457633,0.75,0.001,274,534,767,1026,1319,1563,1821,2106,2332,2626,2837,3101,3356,3627,3890
40,0.20319183906818816,0.2061752802809994,68.45418603662964,68.28384577445826,0.77,0.001,274,534,766,1026,1319,1563,1822,2107,2332,2627,2837,3101,3355,3627,3890
41,0.20600531101456987,0.20906095692847526,68.33322535560575,68.15962064682249,0.78,0.001,274,534,765,1025,1320,1563,1822,2107,2331,2628,2837,3100,3355,3627,3890
42,0.20994440873617326,0.21290424742541048,68.16350689243475,67.9938208072524,0.8,0.001,274,535,764,1024,1321,1563,1822,2108,2331,2629,2836,3099,3355,3626,3890
43,0.21451025495011233,0.21749945904062618,67.96626073027889,67.79505103849765,0.82,0.001,275,535,764,1024,1321,1563,1822,2109,2330,2630,2836,3098,3355,3626,3889
44,0.21831798372433886,0.22122691654383975,67.80132036301912,67.63338600383504,0.83,0.001,275,535,763,1023,1322,1563,1822,2110,2330,2632,2835,3098,3355,3626,3889
45,0.22150488153210524,0.22428114453923687,67.66297238542843,67.50062933734397,0.85,0.001,275,535,762,1022,1322,1563,1823,2111,2329,2633,2835,3097,3355,3625,3889
46,0.22438210566847905,0.22707228441555716,67.53781492847173,67.3790836830596,0.86,0.001,276,535,761,1022,1323,1564,1823,2111,2329,2634,2835,3096,3355,3625,3889
47,0.22736602214529011,0.23005693050585874,67.4077748146959,67.24886732317505,0.88,0.001,276,535,760,1021,1324,1564,1823,2112,2328,2635,2834,3095,3355,3624,3888
48,0.2307096767425153,0.23349120368371634,67.26176128566661,67.09872041440134,0.9,0.001,276,535,759,1020,1324,1564,1823,2113,2328,2637,2834,3095,3356,3624,3888
49,0.23416807548204122,0.23708234856972088,67.11039907542273,66.94135507689735,0.91,0.001,276,535,759,1020,1325,1564,1823,2113,2327,2638,2833,3094,3356,3624,3888
50,0.23732558659725556,0.2403991939883,66.97191065219992,66.79568164138682,0.93,0.001,277,535,758,1019,1326,1564,1824,2114,2326,2639,2833,3093,3357,3623,3888
51,0.24027438734735784,0.24348629957613643,66.8423145883747,66.65980636902758,0.95,0.001,277,535,757,1018,1327,1564,1824,2115,2326,2640,2832,3092,3357,3623,3887
52,0.24334656137424748,0.24663014996954968,66.70703205060168,66.52115426572024,0.96,0.001,277,535,756,1017,1327,1565,1825,2115,2325,2642,2832,3091,3358,3622,3887
53,0.24649755090214465,0.24976768660287185,66.56798686305603,66.38249207363528,0.98,0.001,278,534,755,1017,1328,1565,1825,2116,2325,2643,2832,3090,3358,3622,3887
54,0.25024173477482536,0.25342630709486325,66.4023895936735,66.22043119621391,1.0,0.001,278,534,754,1016,1329,1565,1826,2116,2324,2644,2831,3089,3359,3622,3887
55,0.25397576528920995,0.25702069911192105,66.23683905242045,66.06082587164461,1.01,0.001,278,534,753,1015,1329,1565,1826,2117,2324,2645,2831,3088,3360,3621,3886
56,0.2572990981046539,0.2602081763100602,66.08913621603213,65.91897325623519,1.03,0.001,278,534,752,1014,1330,1565,1827,2117,2324,2647,2830,3087,3360,3621,3886
57,0.2605186385007491,0.2633445107920187,65.94573778517646,65.77908992890522,1.05,0.001,279,534,752,1014,1331,1565,1827,2118,2323,2648,2830,3086,3361,3620,3886
58,0.2639944701433766,0.26680213170978906,65.79056495805459,65.6245386888548,1.06,0.001,279,533,751,1013,1331,1566,1828,2118,2323,2649,2830,3085,3362,3620,3885
59,0.2675371847480811,0.27036743513755546,65.63203831304494,65.46478955801355,1.08,0.001,279,533,750,1012,1332,1566,1828,2119,2323,2650,2829,3084,3362,3620,3885
60,0.27087256578951757,0.2737470802179961,65.48243815735063,65.3129934191888,1.1,0.001,280,532,749,1011,1333,1566,1829,2119,2322,2651,2829,3083,3363,3619,3885
61,0.27420811939536105,0.2770925183477627,65.33248049640011,65.16239104753025,1.11,0.001,280,532,748,1011,1333,1566,1829,2120,2322,2652,2828,3082,3364,3619,3885
62,0.27783127701669674,0.2807177187298636,65.16920584620469,64.99880182188937,1.13,0.001,280,532,747,1010,1334,1567,1830,2120,2322,2653,2828,3081,3365,3619,3884
63,0.28162167338369315,0.2844526883242402,64.99795669865323,64.829821546251,1.15,0.001,281,531,746,1009,1335,1567,1830,2121,2321,2654,2828,3080,3366,3618,3884
64,0.285259816782536,0.2880056251992973,64.83316178613765,64.66867177679622,1.17,0.001,281,531,745,1008,1335,1567,1831,2121,2321,2655,2827,3079,3367,3618,3884
65,0.2888698627656211,0.2915649873099404,64.66922673666934,64.50682422111439,1.18,0.001,281,530,744,1008,1336,1567,1831,2122,2321,2656,2827,3078,3368,3618,3884
66,0.29270019855342555,0.29541144425828647,64.49482931067033,64.3314666213685,1.2,0.001,281,530,744,1007,1337,1567,1831,2122,2321,2657,2827,3077,3369,3617,3883
67,0.29663312955933185,0.299377768715432,64.31526354606657,64.15014203145812,1.22,0.001,282,529,743,1006,1337,1568,1832,2123,2321,2657,2826,3076,3370,3617,3883
68,0.30060519347432146,0.30335712006299864,64.13340968856443,63.96770616209889,1.23,0.001,282,529,742,1005,1338,1568,1832,2123,2320,2658,2826,3076,3370,3617,3883
69,0.30504866120371676,0.3077627139421406,63.92935286864028,63.76511577841269,1.25,0.001,282,528,741,1004,1339,1568,1833,2124,2320,2658,2826,3075,3371,3617,3882
70,0.30979389873242225,0.31251969127258816,63.71071476432555,63.54564558068181,1.27,0.001,283,528,740,1004,1339,1568,1833,2124,2320,2658,2825,3074,3372,3616,3882
71,0.3139274964419595,0.3165242949044528,63.51965124077745,63.36029785086241,1.28,0.001,283,527,739,1003,1340,1568,1833,2125,2320,2659,2825,3073,3374,3616,3882
72,0.3179024591438865,0.3203813603626712,63.33537230304741,63.18126360173956,1.3,0.001,283,526,738,1002,1341,1569,1834,2125,2320,2659,2825,3072,3375,3616,3882
