epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,lr,band_1,band_2,band_3,band_4,band_5
0,0.19836182336182337,0.21474358974358973,0.0016355604807520852,-0.005981404346881991,0.01,0.001,22,43,65,86,108
1,0.38425925925925924,0.3685897435897436,0.1568984312423075,0.13022436373670687,0.01,0.001,22,43,65,86,108
2,0.4291310541310541,0.3974358974358974,0.14458241745398315,0.09940811140709804,0.02,0.001,22,43,65,86,108
3,0.4277065527065527,0.41346153846153844,0.09393828259020309,0.08503665718520892,0.02,0.001,22,43,65,86,108
4,0.4237891737891738,0.4150641025641026,0.08412371154802734,0.08560233176223098,0.03,0.001,22,43,65,86,108
5,0.41915954415954415,0.4166666666666667,0.07856685430592147,0.08945279615153334,0.03,0.001,22,43,65,86,108
6,0.416488603988604,0.40705128205128205,0.07592592276446075,0.07563698092660498,0.04,0.001,22,43,65,86,108
7,0.4150641025641026,0.40705128205128205,0.07342101882222174,0.0754667115158213,0.04,0.001,22,43,65,86,108
8,0.41524216524216523,0.40544871794871795,0.07278920915008957,0.0719422730006013,0.05,0.001,22,43,65,86,108
9,0.4150641025641026,0.40865384615384615,0.07211156212076841,0.0774556469061013,0.06,0.001,22,43,65,86,108
10,0.4131054131054131,0.40544871794871795,0.06856570477903168,0.07211338057523964,0.06,0.001,22,43,65,86,108
11,0.4132834757834758,0.40705128205128205,0.06868109054288085,0.07444377630787724,0.07,0.001,22,43,65,86,108
12,0.41257122507122507,0.40544871794871795,0.06708981136438186,0.07159986846221089,0.07,0.001,22,43,65,86,108
13,0.41096866096866097,0.40064102564102566,0.06399820797722211,0.06357435197817185,0.08,0.001,22,43,64,86,108
14,0.4079415954415954,0.39903846153846156,0.05853221940194431,0.060550340851607154,0.08,0.001,22,43,64,86,108
15,0.40402421652421655,0.3974358974358974,0.05134302066017149,0.05700023311334934,0.09,0.001,22,43,64,86,108
16,0.40046296296296297,0.3958333333333333,0.0444483209663078,0.05361740473738419,0.09,0.001,22,43,64,86,108
17,0.39725783475783477,0.38782051282051283,0.0379739507197826,0.03982211766980592,0.1,0.001,22,43,64,86,108
18,0.3956552706552707,0.38301282051282054,0.03478435772386046,0.031743216882426095,0.1,0.001,22,43,64,86,108
19,0.3924501424501424,0.3814102564102564,0.02896357129609073,0.028507816659406493,0.11,0.001,22,43,64,86,108
20,0.38977920227920226,0.3814102564102564,0.023944608263969158,0.028507816659406493,0.11,0.001,22,43,64,86,108
21,0.3869301994301994,0.3798076923076923,0.01878836305487419,0.025448558076466732,0.12,0.001,22,43,64,86,108
22,0.3856837606837607,0.3782051282051282,0.01639274354600384,0.022567439907630993,0.12,0.001,22,43,64,86,109
23,0.3847934472934473,0.3782051282051282,0.014744146411487136,0.022567439907630993,0.13,0.001,22,43,64,86,109
24,0.3839031339031339,0.3782051282051282,0.013094802395589134,0.022567439907630993,0.13,0.001,22,43,64,86,109
