epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25,band_26,band_27,band_28,band_29,band_30
0,0,0,97.33483606859366,91.1273094271827,0.15,0.001,138,272,407,540,675,809,943,1077,1211,1345,1479,1611,1745,1879,2015,2147,2281,2417,2549,2683,2817,2951,3085,3219,3353,3487,3622,3756,3890,4024
1,0,0,86.75779244990764,80.11988088171374,0.17,0.001,138,273,407,540,675,809,944,1078,1212,1346,1480,1610,1745,1878,2016,2146,2281,2418,2548,2682,2816,2950,3084,3219,3353,3487,3621,3755,3889,4024
2,0,0,80.73018514142495,73.9400854102073,0.18,0.001,139,273,407,540,676,810,944,1078,1213,1347,1481,1610,1744,1877,2017,2145,2282,2419,2547,2682,2816,2949,3084,3218,3352,3486,3621,3755,3889,4024
3,0,0,79.08890369388111,72.50002357219445,0.2,0.001,139,273,408,540,676,811,945,1079,1214,1348,1482,1610,1744,1876,2018,2145,2282,2420,2547,2681,2815,2949,3083,3217,3351,3486,3620,3755,3889,4023
4,0,0,80.69544524204882,74.52691614758221,0.22,0.001,139,273,408,540,677,811,946,1080,1214,1348,1482,1609,1744,1876,2018,2144,2283,2421,2546,2680,2815,2948,3083,3217,3351,3486,3620,3754,3889,4023
5,0,0,83.05088625072733,77.23226497977545,0.24,0.001,139,274,408,541,677,812,946,1081,1215,1349,1483,1609,1744,1875,2019,2144,2283,2421,2546,2679,2814,2948,3082,3216,3350,3485,3619,3754,3888,4023
6,0,0,84.3053271365087,78.64358819918984,0.26,0.001,139,274,409,541,678,813,947,1081,1216,1349,1483,1610,1744,1875,2019,2144,2283,2421,2545,2679,2814,2947,3081,3215,3350,3485,3619,3754,3888,4023
7,0,0,84.15272806406813,78.47847224219359,0.28,0.001,139,274,409,542,678,813,948,1082,1217,1350,1484,1610,1743,1874,2020,2144,2282,2421,2545,2678,2813,2947,3081,3215,3349,3484,3618,3754,3888,4023
8,0,0,83.10072777678454,77.3037270184142,0.3,0.001,139,274,409,542,679,814,948,1082,1218,1350,1484,1610,1743,1874,2021,2144,2282,2420,2544,2677,2812,2947,3081,3215,3348,3484,3618,3753,3888,4023
9,0,0,81.5539836310511,75.56323988988461,0.31,0.001,140,275,409,542,679,814,949,1083,1219,1350,1484,1611,1743,1873,2021,2144,2282,2420,2544,2677,2811,2947,3080,3215,3348,3484,3618,3753,3888,4022
10,0,0,79.95708993246784,73.74023041753566,0.33,0.001,140,275,410,543,680,815,950,1083,1220,1351,1484,1611,1742,1873,2022,2144,2282,2420,2544,2676,2810,2947,3080,3215,3347,3484,3617,3753,3888,4022
11,0,0,78.64672357387973,72.2098585504431,0.35,0.001,140,275,410,543,680,815,950,1084,1220,1351,1484,1611,1742,1873,2022,2145,2282,2420,2544,2675,2810,2948,3079,3215,3346,3483,3617,3753,3888,4022
12,0,0,77.80713146641027,71.16915300777262,0.37,0.001,140,275,410,544,681,816,951,1085,1221,1351,1484,1612,1742,1872,2023,2145,2282,2421,2543,2675,2809,2948,3079,3215,3346,3483,3616,3752,3887,4022
13,0,0,77.48295553499169,70.71146532299412,0.39,0.001,140,276,410,544,681,816,951,1085,1222,1351,1485,1612,1742,1872,2023,2145,2282,2421,2543,2674,2808,2948,3079,3214,3345,3483,3616,3752,3887,4022
14,0,0,77.46634223769378,70.60482634994756,0.41,0.001,140,276,410,545,682,817,952,1086,1223,1352,1485,1613,1742,1872,2023,2146,2282,2421,2542,2673,2808,2948,3078,3214,3344,3483,3615,3752,3887,4021
15,0,0,77.58827507869665,70.6697590469219,0.42,0.001,140,276,411,545,682,818,953,1086,1224,1352,1485,1613,1742,1871,2023,2146,2283,2421,2542,2673,2807,2948,3078,3214,3344,3482,3615,3752,3887,4021
16,0,0,77.6894043913808,70.73760726820812,0.44,0.001,140,277,411,546,683,818,953,1087,1225,1352,1485,1614,1742,1871,2023,2146,2283,2422,2542,2672,2806,2948,3078,3213,3343,3482,3614,3751,3887,4021
17,0,0,77.64979223652179,70.6759564513456,0.46,0.001,141,277,411,546,683,819,953,1088,1226,1353,1485,1614,1742,1871,2023,2146,2283,2422,2541,2671,2806,2947,3077,3213,3342,3482,3614,3751,3887,4021
18,0,0,77.41261139080473,70.41891253198604,0.48,0.001,141,277,412,547,684,819,954,1089,1227,1353,1485,1615,1742,1871,2023,2146,2283,2422,2541,2671,2805,2947,3077,3212,3342,3481,3614,3751,3886,4021
