epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,lr,band_1,band_2,band_3,band_4,band_5
40,0.2899971223903457,0.3068968201329786,65.40255454204369,63.716709674910824,0.65,0.001,671,1411,2113,2732,3457
41,0.29331483875310904,0.3099070338346196,65.24957719570871,63.57819220013652,0.66,0.001,670,1412,2114,2731,3457
42,0.2967874945917657,0.3132135822447589,65.08905407929585,63.42569163497549,0.68,0.001,670,1412,2114,2730,3458
43,0.3006843566783759,0.3171620324531341,64.90845792465147,63.24310964815653,0.69,0.001,669,1413,2115,2729,3458
44,0.3041014065931815,0.32064547753455463,64.74968704678231,63.08158895616355,0.71,0.001,668,1413,2116,2728,3458
45,0.3076594025030128,0.324098025500581,64.58394866978365,62.921089283025765,0.72,0.001,667,1414,2116,2727,3459
46,0.3115362700025057,0.3277207424632387,64.40286866427225,62.75224099584014,0.74,0.001,667,1414,2117,2726,3459
47,0.3149712177752645,0.33097002422355837,64.24200460952319,62.60040957770863,0.76,0.001,666,1415,2117,2725,3459
48,0.31842852250734044,0.3343246042216008,64.07968900493158,62.44326917478276,0.77,0.001,665,1415,2118,2724,3460
49,0.32215725114944826,0.3379871644294443,63.90416408576205,62.27124935388522,0.79,0.001,664,1416,2118,2723,3460
50,0.3257643009377117,0.34144817472296707,63.73390575029511,62.10825863776592,0.81,0.001,664,1416,2119,2723,3460
51,0.3292646167402916,0.34475465466742383,63.56825540867961,61.95214572050754,0.82,0.001,663,1416,2119,2722,3461
52,0.3327531392742825,0.34806524213086487,63.402730619429946,61.79544285635066,0.83,0.001,662,1417,2120,2721,3461
53,0.336229369426689,0.3513927620678222,63.23735360232115,61.63753556896662,0.85,0.001,661,1417,2120,2720,3461
54,0.33971253686408287,0.35474019437836724,63.07121587130198,61.47827757249913,0.86,0.001,661,1418,2121,2720,3462
55,0.3431988604128473,0.3580677636339096,62.904487990722885,61.31955354113706,0.87,0.001,660,1418,2121,2719,3462
56,0.34670613136597783,0.36142005910147024,62.73630912336073,61.15923001490147,0.88,0.001,659,1419,2122,2718,3462
57,0.3502162554333187,0.36474827695414824,62.56754358104228,60.99964379378579,0.9,0.001,658,1419,2122,2718,3462
58,0.3537432969126588,0.368166248838102,62.39750384693385,60.83532098457996,0.91,0.001,658,1419,2123,2717,3463
