epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25
0,0.015781231176966632,0.016251354279523293,-0.024322845137889848,-0.02088835183254245,0.01,0.001,8,15,23,31,38,46,53,61,69,76,84,91,99,107,114,122,129,137,145,152,160,168,175,183,190
1,0.014697024454884954,0.016251354279523293,-0.021529355577738718,-0.017675173157439605,0.02,0.001,8,15,23,31,38,46,54,61,69,76,84,91,99,107,114,122,129,137,145,152,160,168,175,183,190
2,0.0038549572340681845,0.0065005417118093175,-0.0009680992295368895,0.0010056146819743539,0.02,0.001,8,15,23,31,38,46,54,61,69,76,84,91,99,107,114,122,129,137,145,152,160,167,175,183,190
3,0.14179014576557042,0.13867822318526543,0.05103398793271563,0.04909482032475021,0.03,0.001,8,15,23,31,38,46,54,61,69,76,84,91,99,107,114,122,129,137,145,152,160,167,175,183,190
4,0.14142874352487653,0.13759479956663057,0.04250988301577885,0.03947810512416572,0.04,0.001,8,15,23,31,38,46,54,61,69,76,84,91,99,107,114,122,129,137,145,152,160,167,175,183,190
5,0.14070593904348874,0.13651137594799567,0.03625937201471041,0.033297019983731246,0.05,0.001,8,15,23,30,38,46,54,61,69,76,84,91,99,107,114,122,129,137,145,152,160,167,175,183,190
6,0.140946873870618,0.13651137594799567,0.03150476009473946,0.0284326013426508,0.05,0.001,8,15,23,30,38,46,54,61,69,76,84,91,99,107,114,122,129,137,145,152,160,167,175,183,190
7,0.1382965907721961,0.13759479956663057,0.025728205042377494,0.026519663505683577,0.06,0.001,8,15,23,30,38,46,54,61,69,76,84,91,99,107,114,122,129,137,145,152,160,167,175,183,190
8,0.12769545837850863,0.12134344528710726,0.002931163904120626,-0.008721419898906069,0.07,0.001,8,15,23,30,38,46,54,61,69,76,84,91,99,107,114,122,129,137,145,152,160,167,175,183,190
9,0.2059992771955186,0.21451787648970747,0.06340376444235918,0.059905846586973954,0.08,0.001,8,15,23,30,38,46,54,61,69,76,84,91,99,107,114,121,129,138,145,152,160,167,175,183,190
