epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25,band_26,band_27,band_28,band_29,band_30
0,0,0,97.97443663719123,92.73057200500276,0.15,0.001,138,272,407,540,675,809,943,1077,1211,1345,1479,1611,1745,1879,2015,2147,2281,2417,2549,2683,2817,2951,3085,3219,3353,3487,3622,3756,3890,4024
1,0,0,87.44119396682407,81.90398163112249,0.17,0.001,138,273,407,540,675,809,944,1078,1212,1346,1480,1610,1745,1878,2016,2146,2281,2418,2548,2682,2816,2950,3084,3219,3353,3487,3621,3755,3889,4024
2,0,0,81.43730813484689,75.85845294238804,0.18,0.001,139,273,407,540,676,810,944,1078,1213,1347,1481,1610,1744,1877,2017,2145,2282,2419,2547,2682,2816,2949,3084,3218,3352,3486,3621,3755,3889,4024
3,0,0,79.79201479471489,74.45967803008384,0.2,0.001,139,273,408,540,676,811,945,1079,1214,1348,1482,1609,1744,1876,2018,2145,2282,2420,2547,2681,2815,2949,3083,3217,3351,3486,3620,3755,3889,4023
4,0,0,81.3773101150591,76.46247611676102,0.22,0.001,139,273,408,540,677,811,946,1080,1214,1348,1482,1609,1744,1876,2018,2144,2283,2421,2546,2680,2815,2948,3083,3217,3351,3486,3620,3754,3889,4023
5,0,0,83.71664739334257,79.13228454323337,0.24,0.001,139,274,408,541,677,812,946,1081,1215,1349,1483,1609,1744,1875,2019,2144,2283,2421,2545,2679,2814,2948,3082,3216,3350,3485,3619,3754,3888,4023
6,0,0,84.96719553101804,80.53028593718639,0.26,0.001,139,274,409,541,678,813,947,1081,1216,1349,1483,1609,1744,1875,2019,2144,2283,2421,2545,2679,2814,2947,3081,3215,3350,3485,3619,3754,3888,4023
7,0,0,84.81849301781128,80.37208089080903,0.28,0.001,139,274,409,542,678,813,948,1082,1217,1350,1484,1609,1743,1874,2020,2144,2282,2421,2545,2678,2813,2947,3081,3215,3349,3484,3618,3754,3888,4023
8,0,0,83.77368776482714,79.21642624796955,0.3,0.001,139,274,409,542,679,814,948,1082,1218,1350,1484,1609,1743,1874,2021,2144,2282,2420,2544,2677,2812,2947,3081,3215,3348,3484,3618,3753,3888,4023
9,0,0,82.23504150166916,77.50172314112604,0.32,0.001,140,275,409,542,679,814,949,1083,1219,1350,1484,1609,1743,1873,2021,2144,2282,2420,2544,2677,2811,2947,3080,3215,3348,3484,3618,3753,3888,4022
10,0,0,80.64390827214571,75.70210751380209,0.34,0.001,140,275,410,543,680,815,950,1083,1220,1351,1484,1609,1742,1873,2022,2144,2282,2420,2544,2676,2810,2947,3080,3215,3347,3484,3617,3753,3888,4022
11,0,0,79.33582633239381,74.18892821919252,0.35,0.001,140,275,410,543,680,815,950,1084,1220,1351,1484,1609,1742,1873,2022,2145,2282,2420,2544,2675,2810,2947,3079,3215,3346,3483,3617,3753,3888,4022
12,0,0,78.49558668426047,73.15671721337351,0.37,0.001,140,275,410,544,681,816,951,1085,1221,1351,1484,1609,1742,1872,2023,2145,2282,2421,2543,2675,2809,2948,3079,3215,3346,3483,3616,3752,3887,4022
13,0,0,78.16757902197209,72.69489563623088,0.39,0.001,140,276,410,544,681,816,951,1085,1222,1352,1484,1609,1742,1872,2023,2145,2282,2421,2543,2674,2808,2948,3079,3214,3345,3483,3616,3752,3887,4022
14,0,0,78.14528799074357,72.5798724897268,0.41,0.001,140,276,410,545,682,817,952,1086,1223,1352,1485,1609,1742,1872,2023,2146,2282,2421,2542,2673,2808,2948,3078,3214,3344,3483,3615,3752,3887,4021
15,0,0,78.2614807871663,72.63479185818082,0.43,0.001,140,276,411,545,682,818,953,1086,1224,1352,1485,1609,1742,1871,2023,2146,2283,2421,2542,2673,2807,2948,3078,3214,3344,3482,3615,3752,3887,4021
16,0,0,78.35743859770909,72.69133225602795,0.45,0.001,140,277,411,546,683,818,953,1087,1225,1353,1485,1609,1742,1871,2023,2146,2283,2422,2542,2672,2806,2948,3078,3213,3343,3482,3614,3751,3887,4021
17,0,0,78.31447959888229,72.62332923529979,0.46,0.001,141,277,411,546,683,819,953,1088,1226,1353,1485,1610,1742,1871,2023,2146,2283,2422,2541,2671,2806,2947,3077,3213,3342,3482,3614,3751,3887,4021
18,0,0,78.07542802276207,72.36715671555537,0.48,0.001,141,277,412,547,684,819,954,1089,1227,1353,1485,1610,1742,1871,2023,2146,2283,2422,2541,2671,2805,2947,3077,3212,3342,3481,3614,3751,3886,4021
19,0,0,77.64607264798555,71.92867900414444,0.5,0.001,141,277,412,547,684,820,954,1089,1228,1354,1485,1611,1742,1870,2023,2146,2284,2422,2541,2670,2805,2947,3076,3212,3341,3481,3613,3751,3886,4021
20,0.005886237224654978,0.012218621160065224,77.09661590234522,71.38503856179354,0.52,0.001,141,278,412,547,684,821,954,1090,1229,1354,1485,1611,1742,1870,2022,2146,2284,2423,2540,2669,2804,2947,3076,3211,3341,3481,3613,3751,3886,4020
21,0.020038736458434236,0.026762701970201808,76.54586235041545,70.85755406976733,0.54,0.001,141,278,413,548,685,821,954,1091,1229,1355,1486,1612,1743,1870,2022,2146,2284,2423,2540,2669,2803,2946,3075,3210,3340,3480,3613,3750,3886,4020
22,0.03135674005845257,0.03770730030467595,76.10254697610324,70.45800915926804,0.56,0.001,141,278,413,548,685,822,954,1092,1230,1355,1486,1612,1743,1870,2022,2145,2285,2423,2540,2668,2803,2946,3075,3210,3339,3480,3612,3750,3885,4020
23,0.038514033408400095,0.04367556323770794,75.82086593370917,70.23917357078064,0.58,0.001,141,278,413,549,685,822,954,1093,1231,1356,1486,1613,1743,1869,2021,2145,2285,2423,2539,2667,2802,2946,3074,3209,3339,3480,3612,3750,3885,4020
24,0.04208910349639139,0.04569014751919076,75.67977097200414,70.16515116138496,0.59,0.001,142,279,414,549,686,823,954,1094,1232,1356,1486,1613,1744,1869,2021,2145,2285,2423,2539,2667,2802,2945,3074,3209,3338,3479,3611,3750,3885,4020
25,0.04470643133498042,0.04708485343677793,75.57631439065416,70.11385829491913,0.61,0.001,142,279,414,550,686,824,954,1094,1233,1357,1486,1614,1744,1869,2021,2145,2286,2423,2539,2666,2801,2945,3073,3208,3337,3479,3611,3750,3885,4020
26,0.049427978103103176,0.051584624920853805,75.38931507929357,69.94812181962965,0.63,0.001,142,279,414,550,686,824,954,1095,1234,1357,1487,1615,1744,1869,2020,2145,2286,2423,2539,2666,2801,2944,3073,3207,3337,3479,3611,3749,3884,4019
27,0.057553045845081696,0.06073470520125479,75.06642241000633,69.60988530957727,0.65,0.001,142,279,415,550,687,825,954,1096,1235,1357,1487,1615,1745,1869,2020,2144,2286,2423,2539,2665,2800,2944,3072,3207,3336,3479,3610,3749,3884,4019
28,0.06812724223877775,0.07337878552703381,74.64411658412872,69.13976517826951,0.67,0.001,142,280,415,551,687,826,954,1097,1236,1358,1487,1616,1745,1869,2020,2144,2286,2423,2539,2664,2800,2943,3071,3206,3336,3478,3610,3749,3884,4019
