epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15
0,0.0019274786170340923,0.0032502708559046588,-4.9425344217146616e-05,0.0,0.01,0.001,13,25,37,50,62,74,87,99,112,124,136,149,161,173,186
1,0.007468979641007107,0.007583965330444204,-0.005485481570300044,-0.007466617095764683,0.02,0.001,13,25,37,50,62,74,87,99,112,124,136,149,161,173,186
2,0.08372485242741838,0.08450704225352113,0.0317257049936851,0.0323231019855158,0.02,0.001,13,25,37,50,62,75,87,99,112,124,136,149,161,173,186
3,0.09950608360438501,0.10075839653304441,0.029112355482024954,0.028845971008246152,0.03,0.001,13,25,37,50,62,75,87,99,112,124,136,149,161,173,186
4,0.23864594627153354,0.2502708559046587,0.109344290098489,0.11160503786746045,0.04,0.001,13,25,37,50,62,75,87,99,112,124,136,149,161,173,186
5,0.23021322732200938,0.2600216684723727,0.06344525135909607,0.07743629293906396,0.05,0.001,13,25,37,50,62,75,86,99,112,124,136,149,161,173,186
6,0.23129743404409106,0.26543878656554715,0.048310246870732154,0.0622083421998304,0.05,0.001,13,25,37,50,62,75,86,99,112,124,136,149,161,173,186
7,0.23539332610528851,0.2676056338028169,0.03820291475385784,0.04443443875753872,0.06,0.001,13,25,37,50,62,75,86,99,112,124,136,149,161,173,186
8,0.23623659800024094,0.2676056338028169,0.017458537048003486,0.017706373633293748,0.07,0.001,13,25,37,50,62,74,86,100,112,124,136,149,161,173,186
9,0.23623659800024094,0.2676056338028169,0.004829348850442394,0.005456101732467689,0.07,0.001,13,25,37,50,62,74,86,100,112,124,136,149,161,174,186
10,0.23623659800024094,0.2676056338028169,0.000570013997398422,0.0007831054213635058,0.08,0.001,13,25,37,50,62,74,86,100,112,124,137,149,161,174,185
11,0.23623659800024094,0.2676056338028169,0.00010187389061100394,0.0,0.08,0.001,13,25,37,50,62,74,86,100,112,124,137,148,161,174,185
12,0.23623659800024094,0.2676056338028169,0.00011152442489392733,0.0,0.09,0.001,13,25,37,50,62,74,86,100,112,124,137,148,161,174,185
13,0.23623659800024094,0.2676056338028169,6.69176401169036e-05,0.0,0.1,0.001,13,25,37,50,62,74,86,100,112,124,137,148,161,174,185
14,0.23623659800024094,0.2676056338028169,6.69176401169036e-05,0.0,0.1,0.001,13,25,37,50,63,75,86,100,112,125,137,148,161,174,185
15,0.23623659800024094,0.2676056338028169,4.461275520462049e-05,0.0,0.11,0.001,13,25,37,50,63,75,86,100,112,125,137,148,161,174,185
16,0.23623659800024094,0.2676056338028169,4.461275520462049e-05,0.0,0.12,0.001,13,25,37,50,63,75,86,100,112,125,137,148,161,174,185
17,0.23623659800024094,0.2676056338028169,4.461275520462049e-05,0.0,0.12,0.001,13,25,37,50,63,75,86,100,112,125,137,148,161,174,185
18,0.23623659800024094,0.2676056338028169,4.461275520462049e-05,0.0,0.13,0.001,13,25,37,50,63,75,86,100,112,125,137,148,161,174,185
19,0.23623659800024094,0.2676056338028169,4.461275520462049e-05,0.0,0.14,0.001,13,25,37,50,63,75,86,100,112,125,137,148,161,174,185
20,0.23623659800024094,0.2676056338028169,4.461275520462049e-05,0.0,0.14,0.001,13,25,37,50,63,75,86,100,112,125,137,148,161,174,185
21,0.23623659800024094,0.2676056338028169,0.0,0.0,0.15,0.001,13,25,37,50,63,75,86,100,112,125,137,148,161,174,185
22,0.23623659800024094,0.2676056338028169,0.0,0.0,0.16,0.001,13,25,37,50,63,75,86,100,112,125,137,148,161,174,185
